,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0798,0.04,rain,26.99,28.43,19.69,0.64,1008.8,1.52,2.2,216,0.13,11,16.093,264.6
1,2020-09-05 13:00:00,Clear,clear-day,0.1783,0.06,rain,28.0,30.0,20.73,0.65,1007.6,1.56,2.27,222,0.28,10,16.093,264.2
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.3254,0.07,rain,28.14,30.65,21.66,0.68,1006.4,1.55,2.2,205,0.44,7,16.093,263.7
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4534,0.07,rain,27.51,30.25,22.57,0.75,1005.7,1.49,2.09,208,0.55,5,16.093,263.4
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5173,0.08,rain,26.72,29.44,23.94,0.85,1005.4,1.37,1.93,205,0.56,3,16.093,263.3
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5306,0.09,rain,25.56,27.3,24.92,0.96,1005.4,1.22,1.73,247,0.54,1,16.093,263.3
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4749,0.1,rain,24.15,25.31,24.15,1.0,1005.8,1.05,1.53,233,0.49,0,16.093,263.4
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3523,0.09,rain,22.65,23.92,22.65,1.0,1006.9,0.86,1.35,223,0.41,0,16.093,263.7
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.2372,0.1,rain,21.14,22.4,21.14,1.0,1008.1,0.68,1.18,55,0.32,0,16.093,264.1
9,2020-09-05 21:00:00,Clear,clear-night,0.1582,0.09,rain,20.02,21.11,20.02,1.0,1009.0,0.61,1.12,46,0.25,0,16.093,264.1
