,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0654,0.04,rain,21.48,21.79,18.02,0.81,1010.1,1.54,2.53,244,0.05,12,16.093,262.7
1,2020-09-05 13:00:00,Clear,clear-day,0.1261,0.05,rain,22.32,22.82,19.64,0.85,1008.5,1.6,2.9,251,0.1,11,16.093,262.2
2,2020-09-05 14:00:00,Clear,clear-day,0.2008,0.05,rain,22.13,22.87,21.23,0.95,1007.3,1.59,3.14,255,0.15,9,16.093,261.7
3,2020-09-05 15:00:00,Clear,clear-day,0.236,0.06,rain,21.01,21.92,21.01,1.0,1006.5,1.57,3.29,266,0.18,6,16.093,261.4
4,2020-09-05 16:00:00,Clear,clear-day,0.1992,0.06,rain,19.51,20.49,19.51,1.0,1006.1,1.56,3.32,302,0.17,3,16.093,261.4
5,2020-09-05 17:00:00,Clear,clear-day,0.1436,0.06,rain,17.61,18.58,17.61,1.0,1006.2,1.52,3.23,287,0.15,1,16.093,261.6
6,2020-09-05 18:00:00,Clear,clear-day,0.1046,0.07,rain,15.97,16.87,15.97,1.0,1006.9,1.4,2.98,283,0.13,0,16.093,261.8
7,2020-09-05 19:00:00,Clear,clear-night,0.0794,0.06,rain,14.15,14.88,14.15,1.0,1008.3,1.16,2.51,305,0.11,0,16.093,262.1
8,2020-09-05 20:00:00,Clear,clear-night,0.0595,0.05,rain,12.25,12.72,12.25,1.0,1010.0,0.89,1.95,338,0.1,0,14.899,262.5
9,2020-09-05 21:00:00,Clear,clear-night,0.044,0.04,rain,11.0,11.27,11.0,1.0,1011.1,0.71,1.5,357,0.08,0,14.245,262.5
10,2020-09-05 22:00:00,Clear,clear-night,0.0305,0.04,rain,10.64,10.75,10.64,1.0,1011.3,0.63,1.19,16,0.07,0,15.115,262.0
11,2020-09-05 23:00:00,Clear,clear-night,0.021,0.03,rain,10.67,10.67,10.67,1.0,1011.1,0.59,0.95,33,0.06,0,16.093,261.4
12,2020-09-06 00:00:00,Clear,clear-night,0.014,0.02,rain,10.61,10.61,10.61,1.0,1011.1,0.57,0.81,46,0.07,0,16.093,261.1
13,2020-09-06 01:00:00,Clear,clear-night,0.0067,0.02,rain,10.52,10.52,10.52,1.0,1010.9,0.57,0.81,44,0.09,0,16.093,261.4
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,,10.45,10.45,10.45,1.0,1010.5,0.59,0.88,37,0.12,0,16.093,261.7
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,10.48,10.48,10.48,1.0,1010.3,0.6,0.96,34,0.15,0,16.093,261.9
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,10.1,10.1,10.1,1.0,1010.2,0.63,1.06,35,0.18,0,16.093,261.7
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,9.74,9.74,9.74,1.0,1010.3,0.65,1.15,38,0.2,0,16.093,261.4
18,2020-09-06 06:00:00,Clear,clear-night,0.0,0.0,,9.93,9.93,9.93,1.0,1010.4,0.62,1.11,46,0.24,0,16.093,261.4
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,10.94,10.94,10.94,1.0,1010.7,0.53,0.86,57,0.31,0,16.093,262.0
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,12.42,12.46,12.42,1.0,1011.0,0.44,0.61,72,0.37,2,16.093,262.7
