,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:15:00,Humid,clear-day,0.1842,0.06,rain,32.97,43.99,27.11,0.71,1006.0,1.74,2.16,287,0.16,10,16.093,269.1
1,2020-09-05 13:15:00,Humid,clear-day,0.1724,0.07,rain,33.77,44.87,26.95,0.68,1005.0,1.72,2.34,276,0.18,9,16.093,269.3
2,2020-09-05 14:15:00,Humid,clear-day,0.1608,0.06,rain,34.29,45.54,26.9,0.66,1004.0,1.64,2.52,272,0.22,7,16.093,269.6
3,2020-09-05 15:15:00,Humid,clear-day,0.1278,0.06,rain,34.28,45.77,27.03,0.66,1003.3,1.57,2.6,275,0.28,5,16.093,269.9
4,2020-09-05 16:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.1042,0.07,rain,33.8,45.57,27.29,0.69,1002.7,1.53,2.56,303,0.35,2,16.093,270.3
5,2020-09-05 17:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.1356,0.07,rain,32.95,44.75,27.53,0.73,1002.3,1.49,2.44,310,0.43,1,16.093,270.6
6,2020-09-05 18:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.1284,0.07,rain,31.92,43.19,27.57,0.78,1002.5,1.52,2.24,304,0.49,0,16.093,270.7
7,2020-09-05 19:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0546,0.05,rain,30.71,40.37,27.14,0.81,1003.1,1.61,1.96,348,0.54,0,16.093,270.7
8,2020-09-05 20:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0069,0.02,rain,29.48,37.14,26.49,0.84,1003.9,1.64,1.77,11,0.57,0,16.093,270.5
9,2020-09-05 21:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,28.68,35.16,26.13,0.86,1004.5,1.53,1.63,24,0.59,0,16.093,269.9
10,2020-09-05 22:15:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,28.12,33.92,25.95,0.88,1004.7,1.26,1.47,54,0.61,0,16.093,269.0
11,2020-09-05 23:15:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0062,0.02,rain,27.66,32.86,25.75,0.89,1004.6,1.02,1.41,80,0.6,0,16.093,268.0
12,2020-09-06 00:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0062,0.02,rain,27.2,31.83,25.55,0.91,1004.4,0.98,1.46,88,0.55,0,16.093,267.2
13,2020-09-06 01:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,26.74,30.44,25.38,0.92,1004.1,1.17,1.58,79,0.45,0,16.093,266.6
