,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:15:00,Humid,clear-day,0.2003,0.07,rain,33.0,44.07,27.13,0.71,1005.9,1.49,1.99,295,0.17,10,16.093,269.3
1,2020-09-05 13:15:00,Humid,clear-day,0.1447,0.07,rain,33.82,44.82,26.88,0.67,1005.0,1.5,2.21,277,0.18,9,16.093,269.5
2,2020-09-05 14:15:00,Humid,clear-day,0.1041,0.05,rain,34.35,45.36,26.76,0.65,1004.0,1.47,2.42,267,0.21,7,16.093,269.8
3,2020-09-05 15:15:00,Humid,clear-day,0.0797,0.05,rain,34.34,45.63,26.91,0.65,1003.3,1.44,2.55,271,0.26,5,16.093,270.0
4,2020-09-05 16:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.0906,0.06,rain,33.81,45.55,27.28,0.69,1002.6,1.42,2.59,311,0.35,2,16.093,270.3
5,2020-09-05 17:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.1521,0.07,rain,32.86,44.76,27.61,0.74,1002.3,1.41,2.54,319,0.43,1,16.093,270.6
6,2020-09-05 18:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.1495,0.07,rain,31.78,43.04,27.62,0.79,1002.4,1.48,2.38,322,0.49,0,16.093,270.7
7,2020-09-05 19:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0636,0.05,rain,30.58,40.07,27.1,0.82,1003.0,1.6,2.08,1,0.52,0,16.093,270.6
8,2020-09-05 20:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0076,0.02,rain,29.4,36.86,26.39,0.84,1003.8,1.67,1.86,12,0.54,0,16.093,270.5
9,2020-09-05 21:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,28.63,34.93,26.02,0.86,1004.4,1.55,1.72,26,0.57,0,16.093,269.9
10,2020-09-05 22:15:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0036,0.01,rain,28.05,33.63,25.81,0.88,1004.5,1.26,1.51,56,0.6,0,16.093,269.0
11,2020-09-05 23:15:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0093,0.03,rain,27.57,32.52,25.6,0.89,1004.4,0.99,1.39,83,0.61,0,16.093,268.1
12,2020-09-06 00:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0094,0.03,rain,27.1,31.52,25.43,0.91,1004.3,0.96,1.45,91,0.55,0,16.093,267.3
13,2020-09-06 01:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0037,0.01,rain,26.66,30.22,25.29,0.92,1004.0,1.19,1.61,81,0.4,0,16.093,266.8
14,2020-09-06 02:15:00,Humid,clear-night,0.0,0.0,,26.3,29.03,25.31,0.94,1003.7,1.45,1.79,68,0.26,0,16.093,266.4
15,2020-09-06 03:15:00,Humid,clear-night,0.0071,0.01,rain,25.94,28.1,25.25,0.96,1003.6,1.49,1.86,61,0.2,0,16.093,266.4
16,2020-09-06 04:15:00,Humid,clear-night,0.0587,0.03,rain,25.61,27.0,24.94,0.96,1003.5,1.33,1.84,60,0.23,0,16.093,266.6
17,2020-09-06 05:15:00,Humid,clear-night,0.1458,0.05,rain,25.53,26.79,24.85,0.96,1003.5,1.17,1.78,66,0.3,0,16.093,267.0
18,2020-09-06 06:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.1844,0.06,rain,25.87,27.88,25.13,0.96,1003.9,1.17,1.66,82,0.43,0,16.093,267.4
19,2020-09-06 07:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.158,0.05,rain,26.83,30.73,25.62,0.93,1004.7,1.32,1.56,106,0.63,1,16.093,267.8
20,2020-09-06 08:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1323,0.05,rain,28.15,34.41,26.26,0.9,1005.4,1.52,1.57,130,0.8,2,16.093,268.1
21,2020-09-06 09:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1818,0.07,rain,29.33,37.33,26.83,0.86,1005.7,1.73,1.73,148,0.83,4,16.093,267.8
22,2020-09-06 10:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4164,0.11,rain,30.46,39.98,27.19,0.83,1005.5,1.97,1.97,162,0.73,5,16.093,266.7
23,2020-09-06 11:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.7335,0.14,rain,31.54,42.31,27.43,0.79,1005.0,2.17,2.17,169,0.59,7,16.093,265.7
24,2020-09-06 12:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.721,0.14,rain,32.62,44.07,27.45,0.74,1004.4,2.21,2.21,159,0.44,9,16.093,265.0
25,2020-09-06 13:15:00,Humid,clear-day,0.39,0.11,rain,33.62,45.21,27.25,0.69,1003.7,2.1,2.19,131,0.28,9,16.093,265.0
26,2020-09-06 14:15:00,Humid,clear-day,0.1581,0.08,rain,34.21,45.76,27.09,0.67,1003.1,1.96,2.38,139,0.15,8,16.093,265.0
27,2020-09-06 15:15:00,Humid,clear-day,0.0809,0.07,rain,34.15,45.85,27.18,0.67,1002.6,1.84,2.67,168,0.12,5,16.093,264.8
28,2020-09-06 16:15:00,Humid,clear-day,0.0642,0.09,rain,33.55,45.6,27.49,0.71,1002.2,1.74,2.78,178,0.22,2,16.093,264.6
29,2020-09-06 17:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.1047,0.1,rain,32.56,44.65,27.79,0.76,1002.1,1.63,2.82,203,0.32,1,16.093,264.4
30,2020-09-06 18:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.1476,0.1,rain,31.24,42.47,27.83,0.82,1002.6,1.54,2.85,162,0.32,0,16.093,264.5
31,2020-09-06 19:15:00,Humid,clear-night,0.2883,0.11,rain,29.65,38.8,27.4,0.88,1003.5,1.5,2.87,92,0.24,0,16.093,265.0
32,2020-09-06 20:15:00,Humid,clear-night,0.6162,0.13,rain,28.22,35.22,26.83,0.92,1004.4,1.49,2.84,66,0.15,0,16.093,265.4
33,2020-09-06 21:15:00,Humid,clear-night,0.9829,0.15,rain,27.43,33.27,26.53,0.95,1005.0,1.46,2.74,64,0.09,0,16.093,265.3
34,2020-09-06 22:15:00,Humid,clear-night,1.2987,0.16,rain,27.07,32.32,26.31,0.96,1005.1,1.4,2.55,59,0.06,0,16.093,264.6
35,2020-09-06 23:15:00,Humid,clear-night,1.4611,0.16,rain,26.83,31.6,26.03,0.95,1005.0,1.35,2.34,54,0.06,0,16.093,263.9
36,2020-09-07 00:15:00,Humid,clear-night,1.2274,0.16,rain,26.49,30.13,25.75,0.96,1004.9,1.37,2.15,47,0.07,0,16.093,263.8
37,2020-09-07 01:15:00,Humid,clear-night,0.6925,0.13,rain,26.1,28.52,25.47,0.96,1004.7,1.48,1.97,37,0.1,0,16.093,264.1
38,2020-09-07 02:15:00,Humid,clear-night,0.272,0.07,rain,25.76,27.59,25.31,0.97,1004.5,1.58,1.83,27,0.16,0,16.093,264.6
39,2020-09-07 03:15:00,Humid,clear-night,0.0912,0.03,rain,25.48,26.81,25.21,0.98,1004.4,1.51,1.79,18,0.24,0,16.093,265.0
40,2020-09-07 04:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0228,0.02,rain,25.27,26.4,24.99,0.98,1004.6,1.26,1.84,7,0.37,0,16.093,265.1
41,2020-09-07 05:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0005,0.01,rain,25.24,26.33,24.92,0.98,1004.7,1.05,1.94,359,0.49,0,16.093,265.3
42,2020-09-07 06:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.0024,0.01,rain,25.53,26.93,25.24,0.98,1005.1,1.11,2.1,27,0.57,0,16.093,265.6
43,2020-09-07 07:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0346,0.04,rain,26.29,29.62,25.8,0.97,1005.8,1.46,2.33,64,0.6,1,16.093,266.1
44,2020-09-07 08:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1148,0.06,rain,27.26,32.82,26.35,0.95,1006.4,1.83,2.48,94,0.6,2,16.093,266.4
45,2020-09-07 09:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.2546,0.08,rain,28.08,34.85,26.76,0.93,1006.8,1.99,2.37,118,0.58,4,16.093,266.1
46,2020-09-07 10:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.4976,0.12,rain,28.95,37.03,27.11,0.9,1006.7,1.98,2.08,143,0.54,6,16.093,265.2
47,2020-09-07 11:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.7593,0.17,rain,29.87,39.37,27.5,0.87,1006.4,1.94,1.96,163,0.49,8,15.616,264.2
48,2020-09-07 12:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.7911,0.19,rain,30.98,41.65,27.63,0.82,1006.0,1.99,2.04,162,0.47,8,16.093,263.7
