,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:15:00,Humid,clear-day,0.1587,0.07,rain,32.95,43.59,26.91,0.71,1005.8,1.7,2.02,275,0.19,10,16.093,269.4
1,2020-09-05 13:15:00,Humid,clear-day,0.1083,0.06,rain,33.57,44.03,26.64,0.67,1004.9,1.69,2.23,277,0.23,9,16.093,269.5
2,2020-09-05 14:15:00,Humid,clear-day,0.073,0.05,rain,33.91,44.25,26.49,0.65,1003.9,1.64,2.46,280,0.29,7,16.093,269.7
3,2020-09-05 15:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.0577,0.04,rain,33.9,44.47,26.62,0.66,1003.2,1.61,2.6,287,0.36,5,16.093,270.1
4,2020-09-05 16:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.0603,0.05,rain,33.55,44.61,26.98,0.69,1002.5,1.59,2.66,303,0.46,2,16.093,270.5
5,2020-09-05 17:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.0872,0.05,rain,32.82,44.03,27.26,0.73,1002.1,1.59,2.63,307,0.54,1,16.093,270.9
6,2020-09-05 18:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.0812,0.05,rain,31.8,42.3,27.2,0.77,1002.2,1.63,2.43,319,0.59,0,16.093,271.0
7,2020-09-05 19:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0338,0.04,rain,30.57,39.36,26.66,0.8,1002.8,1.71,2.07,5,0.59,0,16.093,271.0
8,2020-09-05 20:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0042,0.01,rain,29.38,36.35,26.02,0.82,1003.8,1.73,1.81,11,0.58,0,16.093,270.9
9,2020-09-05 21:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,28.56,34.42,25.69,0.85,1004.4,1.57,1.63,20,0.59,0,16.093,270.2
10,2020-09-05 22:15:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,27.92,33.01,25.48,0.87,1004.5,1.24,1.37,58,0.62,0,16.093,269.2
11,2020-09-05 23:15:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0057,0.02,rain,27.4,31.9,25.31,0.88,1004.4,0.94,1.24,95,0.63,0,16.093,268.1
12,2020-09-06 00:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0055,0.02,rain,26.91,30.96,25.2,0.9,1004.2,0.9,1.33,107,0.58,0,16.093,267.3
13,2020-09-06 01:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,26.49,29.73,25.08,0.92,1003.9,1.14,1.57,92,0.45,0,16.093,266.7
14,2020-09-06 02:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,,26.17,28.63,25.12,0.94,1003.6,1.41,1.81,74,0.34,0,16.093,266.3
15,2020-09-06 03:15:00,Humid,clear-night,0.0089,0.01,rain,25.85,27.83,25.13,0.96,1003.5,1.48,1.9,65,0.28,0,16.093,266.3
16,2020-09-06 04:15:00,Humid,clear-night,0.0741,0.04,rain,25.58,26.93,24.94,0.96,1003.3,1.34,1.86,65,0.3,0,16.093,266.6
17,2020-09-06 05:15:00,Humid and Partly Cloudy,partly-cloudy-night,0.18,0.06,rain,25.53,26.8,24.88,0.96,1003.3,1.2,1.76,71,0.35,0,16.093,267.0
18,2020-09-06 06:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.2135,0.06,rain,25.88,27.91,25.19,0.96,1003.8,1.25,1.68,86,0.48,0,16.093,267.4
19,2020-09-06 07:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1617,0.05,rain,26.78,30.65,25.66,0.94,1004.6,1.45,1.7,108,0.69,1,16.093,267.8
20,2020-09-06 08:15:00,Humid and Overcast,cloudy,0.1234,0.05,rain,28.02,34.13,26.22,0.9,1005.3,1.71,1.78,130,0.88,2,16.093,268.0
21,2020-09-06 09:15:00,Humid and Overcast,cloudy,0.1674,0.07,rain,29.2,36.94,26.73,0.87,1005.6,1.97,1.97,147,0.91,3,16.093,267.6
22,2020-09-06 10:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3717,0.11,rain,30.34,39.47,27.01,0.82,1005.3,2.24,2.24,161,0.8,5,16.093,266.5
23,2020-09-06 11:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6532,0.14,rain,31.4,41.58,27.15,0.78,1004.9,2.45,2.45,167,0.65,7,15.472,265.5
24,2020-09-06 12:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.6838,0.14,rain,32.44,43.18,27.12,0.74,1004.3,2.46,2.46,152,0.49,8,15.959,264.9
25,2020-09-06 13:15:00,Humid,clear-day,0.4416,0.11,rain,33.42,44.28,26.9,0.69,1003.6,2.27,2.31,115,0.31,9,16.093,264.9
26,2020-09-06 14:15:00,Humid,clear-day,0.2296,0.09,rain,34.0,44.78,26.72,0.66,1002.9,2.04,2.42,129,0.17,8,16.093,264.9
27,2020-09-06 15:15:00,Humid,clear-day,0.1221,0.09,rain,33.99,44.88,26.78,0.66,1002.4,1.89,2.67,180,0.14,5,16.093,264.8
28,2020-09-06 16:15:00,Humid,clear-day,0.0657,0.1,rain,33.51,44.71,27.07,0.69,1002.1,1.79,2.74,201,0.24,2,16.093,264.6
29,2020-09-06 17:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.0583,0.09,rain,32.57,43.75,27.31,0.74,1002.0,1.69,2.72,225,0.35,1,16.093,264.4
30,2020-09-06 18:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.0922,0.09,rain,31.17,41.44,27.32,0.8,1002.4,1.58,2.74,191,0.37,0,16.093,264.5
31,2020-09-06 19:15:00,Humid,clear-night,0.3006,0.11,rain,29.49,37.84,26.96,0.86,1003.3,1.48,2.78,95,0.29,0,16.093,264.9
32,2020-09-06 20:15:00,Humid,clear-night,0.7309,0.14,rain,28.01,34.42,26.53,0.92,1004.3,1.43,2.78,57,0.21,0,16.093,265.3
33,2020-09-06 21:15:00,Humid,clear-night,1.146,0.17,rain,27.18,32.5,26.28,0.95,1004.8,1.4,2.67,53,0.14,0,16.093,265.2
34,2020-09-06 22:15:00,Humid,clear-night,1.4324,0.18,rain,26.8,31.51,25.99,0.95,1004.9,1.38,2.45,54,0.11,0,16.093,264.6
35,2020-09-06 23:15:00,Humid,clear-night,1.5332,0.17,rain,26.52,30.19,25.68,0.95,1004.8,1.38,2.21,53,0.09,0,16.093,264.0
36,2020-09-07 00:15:00,Humid,clear-night,1.2378,0.16,rain,26.17,28.7,25.44,0.96,1004.7,1.43,2.04,49,0.1,0,16.093,263.8
37,2020-09-07 01:15:00,Humid,clear-night,0.6622,0.12,rain,25.81,27.74,25.21,0.96,1004.5,1.55,1.92,40,0.14,0,16.093,264.3
38,2020-09-07 02:15:00,Humid,clear-night,0.2377,0.07,rain,25.56,26.94,25.1,0.97,1004.3,1.65,1.84,30,0.2,0,16.093,264.8
39,2020-09-07 03:15:00,Humid,clear-night,0.0735,0.03,rain,25.35,26.48,25.1,0.99,1004.2,1.56,1.82,24,0.29,0,16.093,265.1
