,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0442,0.03,rain,33.63,45.41,27.34,0.7,1006.1,1.26,1.7,217,0.51,8,16.093,270.0
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0209,0.02,rain,34.43,45.84,26.96,0.65,1005.2,1.51,1.99,225,0.49,8,16.093,269.2
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,34.94,45.93,26.62,0.62,1004.4,1.82,2.34,262,0.48,7,16.093,268.2
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0,0.0,,34.95,45.98,26.64,0.62,1003.3,2.01,2.94,250,0.49,5,16.093,267.7
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0019,0.01,rain,34.38,46.08,27.12,0.66,1002.7,2.0,3.99,66,0.55,2,16.093,267.8
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0088,0.03,rain,33.26,45.87,27.86,0.73,1002.4,1.89,5.06,296,0.6,1,16.093,268.2
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0194,0.04,rain,32.0,44.7,28.28,0.81,1002.1,1.79,5.37,255,0.56,0,16.093,268.3
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0411,0.04,rain,30.64,41.7,27.99,0.86,1002.8,1.71,4.64,249,0.38,0,16.093,268.1
8,2020-09-05 20:00:00,Humid,clear-night,0.0858,0.06,rain,29.2,37.66,27.22,0.89,1003.7,1.64,3.5,15,0.15,0,16.093,267.7
9,2020-09-05 21:00:00,Humid,clear-night,0.1278,0.06,rain,28.27,35.24,26.77,0.92,1004.2,1.63,2.7,25,0.02,0,16.093,267.3
10,2020-09-05 22:00:00,Humid,clear-night,0.1575,0.07,rain,27.77,33.96,26.54,0.93,1004.4,1.73,2.41,79,0.03,0,16.093,266.9
11,2020-09-05 23:00:00,Humid,clear-night,0.1905,0.08,rain,27.46,33.07,26.29,0.93,1004.4,1.86,2.25,58,0.07,0,16.093,266.5
12,2020-09-06 00:00:00,Humid,clear-night,0.1766,0.09,rain,27.15,32.33,26.16,0.94,1004.3,1.84,2.04,48,0.09,0,16.093,266.0
13,2020-09-06 01:00:00,Humid,clear-night,0.0856,0.07,rain,26.71,31.07,25.97,0.96,1004.1,1.61,1.72,47,0.06,0,16.093,265.3
