,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.3873,0.09,rain,32.54,42.96,26.9,0.72,1006.0,1.11,1.52,354,0.18,10,16.093,269.7
1,2020-09-05 13:00:00,Humid,clear-day,0.193,0.08,rain,33.4,43.63,26.55,0.67,1005.2,1.16,1.78,147,0.14,10,16.093,269.6
2,2020-09-05 14:00:00,Humid,clear-day,0.0322,0.06,rain,34.02,43.98,26.25,0.64,1004.3,1.2,2.04,234,0.11,8,16.093,269.7
3,2020-09-05 15:00:00,Humid,clear-day,0.003,0.02,rain,34.13,44.05,26.2,0.63,1003.7,1.19,2.2,256,0.13,6,16.093,269.8
4,2020-09-05 16:00:00,Humid,clear-day,0.0298,0.03,rain,33.68,44.01,26.54,0.66,1002.8,1.08,2.19,209,0.22,3,16.093,269.8
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0964,0.05,rain,32.85,43.54,26.97,0.71,1002.3,0.96,2.14,55,0.34,1,16.093,269.9
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1272,0.05,rain,31.61,41.76,27.06,0.77,1002.3,1.01,2.18,349,0.46,0,16.093,269.9
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0679,0.05,rain,30.31,39.01,26.73,0.81,1002.8,1.3,2.39,26,0.6,0,16.093,269.8
8,2020-09-05 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0157,0.04,rain,29.0,35.82,26.17,0.85,1003.5,1.64,2.62,32,0.72,0,16.093,269.8
9,2020-09-05 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0126,0.03,rain,28.14,33.73,25.76,0.87,1004.1,1.72,2.63,32,0.78,0,16.093,269.6
10,2020-09-05 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0379,0.04,rain,27.57,32.34,25.44,0.88,1004.1,1.44,2.27,64,0.79,0,16.093,269.1
11,2020-09-05 23:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0858,0.05,rain,27.09,31.18,25.12,0.89,1004.0,1.07,1.8,123,0.75,0,16.093,268.6
12,2020-09-06 00:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1007,0.05,rain,26.71,30.26,25.0,0.9,1003.9,0.91,1.53,148,0.64,0,16.093,268.2
13,2020-09-06 01:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0435,0.03,rain,26.32,28.96,24.95,0.92,1003.9,1.09,1.5,105,0.42,0,16.093,267.7
14,2020-09-06 02:00:00,Humid,clear-night,0.0017,0.02,rain,26.09,28.44,25.04,0.94,1004.0,1.37,1.57,79,0.17,0,16.093,267.3
15,2020-09-06 03:00:00,Humid,clear-night,0.0,0.0,,25.81,27.71,25.1,0.96,1003.7,1.49,1.65,62,0.05,0,16.093,267.1
16,2020-09-06 04:00:00,Humid,clear-night,0.0986,0.04,rain,25.5,26.87,24.98,0.97,1003.4,1.36,1.73,63,0.1,0,16.093,267.1
17,2020-09-06 05:00:00,Humid,clear-night,0.3511,0.08,rain,25.29,26.37,24.85,0.97,1003.4,1.17,1.83,72,0.23,0,16.093,267.2
18,2020-09-06 06:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.529,0.09,rain,25.48,26.76,25.02,0.97,1003.7,1.11,1.83,83,0.35,0,16.093,267.6
19,2020-09-06 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4165,0.09,rain,26.2,28.95,25.51,0.96,1004.4,1.23,1.73,94,0.46,0,16.093,268.2
20,2020-09-06 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2338,0.06,rain,27.61,33.04,25.93,0.91,1005.2,1.39,1.64,106,0.57,2,15.438,268.8
21,2020-09-06 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1753,0.06,rain,28.92,36.05,26.47,0.87,1005.6,1.54,1.62,122,0.6,3,15.296,268.9
