,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.4712,0.09,rain,32.22,42.75,27.06,0.74,1006.3,1.17,1.48,32,0.14,10,16.093,269.4
1,2020-09-05 13:00:00,Humid,clear-day,0.2603,0.08,rain,33.32,43.89,26.77,0.69,1005.4,1.21,1.71,164,0.1,10,16.093,269.2
2,2020-09-05 14:00:00,Humid,clear-day,0.0762,0.07,rain,34.18,44.78,26.57,0.65,1004.5,1.24,1.95,240,0.07,9,16.093,269.2
3,2020-09-05 15:00:00,Humid,clear-day,0.0274,0.04,rain,34.41,45.12,26.59,0.64,1003.7,1.21,2.11,250,0.09,6,16.093,269.2
4,2020-09-05 16:00:00,Humid,clear-day,0.042,0.05,rain,33.86,44.85,26.87,0.67,1003.1,1.08,2.14,215,0.17,3,16.093,269.3
5,2020-09-05 17:00:00,Humid,clear-day,0.098,0.06,rain,32.91,44.19,27.27,0.72,1002.6,0.95,2.13,5,0.27,1,16.093,269.3
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1286,0.07,rain,31.61,42.45,27.45,0.79,1002.6,0.98,2.19,327,0.37,0,16.093,269.3
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0849,0.07,rain,30.33,39.81,27.22,0.84,1003.2,1.25,2.39,10,0.46,0,16.093,269.1
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0478,0.05,rain,28.91,36.23,26.6,0.87,1003.9,1.58,2.58,33,0.54,0,16.093,268.9
9,2020-09-05 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0423,0.04,rain,28.01,33.98,26.17,0.9,1004.4,1.69,2.6,37,0.58,0,16.093,268.8
10,2020-09-05 22:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0495,0.04,rain,27.5,32.7,25.88,0.91,1004.5,1.49,2.35,57,0.58,0,16.093,268.7
11,2020-09-05 23:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0783,0.04,rain,27.13,31.66,25.54,0.91,1004.5,1.2,2.0,86,0.55,0,16.093,268.6
12,2020-09-06 00:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0878,0.05,rain,26.78,30.63,25.3,0.92,1004.4,1.06,1.76,87,0.46,0,16.093,268.5
