,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.5158,0.09,rain,31.92,42.46,27.17,0.76,1006.6,1.23,1.45,55,0.12,10,16.093,269.0
1,2020-09-05 13:00:00,Humid,clear-day,0.3091,0.08,rain,33.28,44.23,26.99,0.7,1005.6,1.26,1.65,289,0.1,10,16.093,268.8
2,2020-09-05 14:00:00,Humid,clear-day,0.1179,0.07,rain,34.39,45.76,26.95,0.65,1004.7,1.27,1.89,256,0.09,8,16.093,268.7
3,2020-09-05 15:00:00,Humid,clear-day,0.052,0.06,rain,34.64,46.04,26.9,0.64,1003.9,1.25,2.07,251,0.11,6,16.093,268.7
4,2020-09-05 16:00:00,Humid,clear-day,0.052,0.07,rain,34.04,45.63,27.14,0.67,1003.3,1.13,2.16,232,0.17,3,16.093,268.8
5,2020-09-05 17:00:00,Humid,clear-day,0.0921,0.08,rain,33.08,45.11,27.61,0.73,1002.9,1.01,2.23,305,0.24,1,16.093,269.0
6,2020-09-05 18:00:00,Humid,clear-day,0.1201,0.08,rain,31.76,43.44,27.84,0.8,1002.9,1.02,2.29,297,0.29,0,16.093,268.9
7,2020-09-05 19:00:00,Humid,clear-night,0.0968,0.07,rain,30.45,40.74,27.65,0.85,1003.5,1.25,2.38,343,0.29,0,16.093,268.7
8,2020-09-05 20:00:00,Humid,clear-night,0.0781,0.06,rain,28.96,36.93,27.04,0.89,1004.2,1.52,2.44,32,0.28,0,16.093,268.4
9,2020-09-05 21:00:00,Humid,clear-night,0.0692,0.04,rain,27.95,34.27,26.5,0.92,1004.7,1.63,2.43,40,0.28,0,16.093,268.2
10,2020-09-05 22:00:00,Humid,clear-night,0.0526,0.04,rain,27.51,33.11,26.25,0.93,1004.8,1.51,2.31,51,0.28,0,16.093,268.4
11,2020-09-05 23:00:00,Humid,clear-night,0.0521,0.04,rain,27.22,32.26,25.96,0.93,1004.8,1.31,2.14,60,0.27,0,16.093,268.6
12,2020-09-06 00:00:00,Humid,clear-night,0.053,0.04,rain,26.91,31.19,25.65,0.93,1004.7,1.2,1.97,59,0.24,0,16.093,268.6
13,2020-09-06 01:00:00,Humid,clear-night,0.0254,0.03,rain,26.48,29.55,25.46,0.94,1004.7,1.22,1.79,61,0.15,0,16.093,268.2
14,2020-09-06 02:00:00,Humid,clear-night,0.0038,0.02,rain,26.1,28.53,25.26,0.95,1004.7,1.27,1.62,56,0.06,0,16.093,267.7
15,2020-09-06 03:00:00,Humid,clear-night,0.0,0.0,,25.69,27.35,25.01,0.96,1004.4,1.29,1.55,52,0.02,0,16.093,267.3
16,2020-09-06 04:00:00,Humid,clear-night,0.0254,0.01,rain,25.24,26.28,24.59,0.96,1004.4,1.27,1.65,54,0.05,0,16.093,267.1
17,2020-09-06 05:00:00,Humid,clear-night,0.0916,0.02,rain,24.97,26.01,24.24,0.96,1004.1,1.23,1.8,60,0.11,0,16.093,267.1
18,2020-09-06 06:00:00,Humid,clear-night,0.1388,0.03,rain,25.2,26.32,24.34,0.95,1004.4,1.17,1.8,68,0.19,0,16.093,267.3
19,2020-09-06 07:00:00,Humid,clear-day,0.1089,0.03,rain,26.08,28.37,24.8,0.93,1005.1,1.07,1.58,79,0.29,0,16.093,268.0
20,2020-09-06 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.063,0.02,rain,27.8,33.01,25.61,0.88,1005.8,0.96,1.34,96,0.39,2,16.093,268.8
21,2020-09-06 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0631,0.03,rain,29.2,36.39,26.34,0.85,1006.2,0.98,1.27,118,0.43,4,16.093,268.9
22,2020-09-06 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1765,0.06,rain,30.2,38.77,26.71,0.82,1006.1,1.18,1.36,136,0.4,6,16.093,268.2
23,2020-09-06 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4107,0.11,rain,31.16,41.0,27.05,0.79,1005.6,1.44,1.53,160,0.33,8,16.093,267.0
24,2020-09-06 12:00:00,Humid,clear-day,0.517,0.13,rain,32.15,43.04,27.29,0.76,1005.0,1.62,1.77,177,0.27,9,16.093,266.1
25,2020-09-06 13:00:00,Humid,clear-day,0.3282,0.11,rain,33.28,45.0,27.4,0.71,1004.4,1.7,2.06,188,0.23,9,16.093,265.5
26,2020-09-06 14:00:00,Humid,clear-day,0.1493,0.09,rain,34.09,46.47,27.53,0.69,1003.8,1.72,2.37,192,0.19,8,16.093,265.1
27,2020-09-06 15:00:00,Humid,clear-day,0.1341,0.07,rain,34.06,46.63,27.64,0.69,1003.2,1.66,2.5,181,0.19,6,16.093,264.9
28,2020-09-06 16:00:00,Humid,clear-day,0.2385,0.11,rain,33.24,45.98,27.92,0.74,1002.8,1.45,2.21,145,0.25,3,16.093,265.1
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.422,0.13,rain,32.24,45.29,28.37,0.8,1002.7,1.21,1.82,106,0.32,1,16.093,265.3
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.505,0.14,rain,30.93,43.09,28.44,0.87,1003.0,1.13,1.71,102,0.33,0,16.093,265.5
31,2020-09-06 19:00:00,Humid,clear-night,0.3939,0.13,rain,29.66,40.15,28.2,0.92,1003.8,1.28,2.01,79,0.25,0,16.093,265.6
32,2020-09-06 20:00:00,Humid,clear-night,0.3111,0.1,rain,28.34,36.75,27.76,0.97,1004.9,1.54,2.43,62,0.14,0,16.093,265.6
33,2020-09-06 21:00:00,Humid,clear-night,0.3312,0.1,rain,27.42,34.06,27.21,0.99,1005.6,1.73,2.66,60,0.07,0,16.093,265.4
34,2020-09-06 22:00:00,Humid,clear-night,0.3899,0.1,rain,26.94,32.48,26.7,0.99,1005.8,1.8,2.62,53,0.05,0,16.093,264.7
35,2020-09-06 23:00:00,Humid,clear-night,0.472,0.1,rain,26.62,31.1,26.23,0.98,1005.8,1.81,2.47,47,0.04,0,16.093,264.0
36,2020-09-07 00:00:00,Humid,clear-night,0.5498,0.13,rain,26.27,29.06,25.75,0.97,1005.8,1.71,2.28,42,0.03,0,16.093,263.7
37,2020-09-07 01:00:00,Humid,clear-night,0.6125,0.15,rain,25.82,27.76,25.35,0.97,1005.6,1.46,2.05,41,0.02,0,16.093,264.1
38,2020-09-07 02:00:00,Humid,clear-night,0.6332,0.13,rain,25.41,26.65,25.09,0.98,1005.4,1.16,1.81,40,0.02,0,16.093,264.7
39,2020-09-07 03:00:00,Humid,clear-night,0.5221,0.1,rain,25.03,26.17,24.88,0.99,1005.3,0.97,1.67,36,0.04,0,16.093,265.1
40,2020-09-07 04:00:00,Humid,clear-night,0.2572,0.08,rain,24.74,25.85,24.55,0.99,1005.1,0.93,1.67,30,0.09,0,16.093,264.9
41,2020-09-07 05:00:00,Humid,clear-night,0.0583,0.04,rain,24.6,25.69,24.35,0.98,1005.2,0.96,1.73,24,0.17,0,16.093,264.6
42,2020-09-07 06:00:00,Humid,clear-night,0.0104,0.02,rain,24.77,25.82,24.49,0.98,1005.6,1.0,1.78,28,0.27,0,16.093,264.7
43,2020-09-07 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.028,0.04,rain,25.48,26.96,25.02,0.97,1006.2,1.02,1.81,52,0.42,0,16.093,265.2
44,2020-09-07 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0987,0.06,rain,26.71,30.4,25.8,0.95,1006.8,1.07,1.83,82,0.57,2,16.093,265.7
45,2020-09-07 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1834,0.07,rain,27.72,33.55,26.23,0.92,1007.3,1.14,1.76,106,0.65,3,16.093,265.6
46,2020-09-07 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2519,0.07,rain,28.71,35.91,26.65,0.89,1007.3,1.24,1.58,120,0.63,5,16.093,264.7
47,2020-09-07 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3478,0.09,rain,29.73,38.59,27.17,0.86,1007.1,1.37,1.46,153,0.58,7,16.093,263.4
48,2020-09-07 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.448,0.11,rain,30.7,41.02,27.55,0.83,1006.7,1.48,1.54,191,0.56,8,16.093,262.6
