,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3009,0.06,rain,25.67,26.63,22.42,0.82,1007.5,1.4,2.05,204,0.46,9,12.238,267.6
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4952,0.07,rain,25.8,27.37,23.03,0.85,1006.3,1.52,2.34,212,0.59,8,13.781,267.1
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7518,0.08,rain,25.13,26.07,23.87,0.93,1005.3,1.58,2.56,224,0.73,6,16.093,266.5
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9011,0.1,rain,24.34,25.48,24.34,1.0,1004.6,1.49,2.59,232,0.81,4,16.093,265.8
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8437,0.1,rain,23.65,24.92,23.65,1.0,1004.1,1.27,2.36,240,0.82,2,16.093,265.1
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7106,0.1,rain,23.01,24.28,23.01,1.0,1003.9,1.0,2.0,256,0.79,1,14.783,264.5
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.5586,0.1,rain,21.99,23.21,21.99,1.0,1004.1,0.78,1.67,236,0.69,0,14.646,263.9
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.3577,0.09,rain,21.03,22.22,21.03,1.0,1005.0,0.6,1.39,128,0.51,0,16.093,263.4
8,2020-09-05 20:00:00,Clear,clear-night,0.1828,0.08,rain,20.25,21.45,20.25,1.0,1006.1,0.46,1.13,9,0.3,0,16.093,263.0
9,2020-09-05 21:00:00,Clear,clear-night,0.1058,0.07,rain,19.64,20.81,19.64,1.0,1007.1,0.4,0.97,268,0.17,0,16.093,262.7
10,2020-09-05 22:00:00,Clear,clear-night,0.1218,0.07,rain,19.17,20.24,19.17,1.0,1007.4,0.42,0.94,279,0.14,0,16.093,262.7
11,2020-09-05 23:00:00,Clear,clear-night,0.1826,0.08,rain,18.83,19.83,18.83,1.0,1007.2,0.48,0.99,339,0.14,0,16.093,262.6
12,2020-09-06 00:00:00,Clear,clear-night,0.2016,0.09,rain,18.42,19.36,18.42,1.0,1007.2,0.52,1.01,18,0.17,0,16.093,262.5
13,2020-09-06 01:00:00,Clear,clear-night,0.1439,0.08,rain,18.2,19.07,18.2,1.0,1007.1,0.53,0.99,27,0.24,0,16.093,262.3
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0941,0.07,rain,18.11,18.93,18.11,1.0,1007.2,0.53,0.98,34,0.33,0,16.093,262.0
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0737,0.06,rain,18.24,19.04,18.24,1.0,1007.0,0.55,0.99,35,0.38,0,16.093,261.7
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0497,0.05,rain,18.29,19.07,18.29,1.0,1007.1,0.57,1.06,31,0.37,0,16.093,261.2
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.031,0.04,rain,18.13,18.89,18.13,1.0,1007.2,0.59,1.13,29,0.35,0,16.093,260.8
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0271,0.04,rain,18.05,18.76,18.05,1.0,1007.5,0.61,1.15,41,0.34,0,16.093,260.7
