,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.2142,0.06,rain,25.2,25.87,21.57,0.8,1007.6,1.2,1.65,234,0.45,9,16.093,265.7
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.2999,0.07,rain,25.52,26.24,21.94,0.81,1006.5,1.29,1.82,182,0.43,8,16.093,264.2
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.417,0.09,rain,24.93,25.7,22.26,0.85,1005.5,1.37,1.95,56,0.41,7,16.093,262.9
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.497,0.1,rain,23.82,24.7,22.66,0.93,1004.9,1.31,1.88,257,0.42,5,16.093,262.2
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4946,0.11,rain,22.44,23.48,22.44,1.0,1004.6,1.08,1.5,259,0.48,2,14.434,262.5
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,0.4811,0.12,rain,21.45,22.66,21.45,1.0,1004.6,0.78,1.05,286,0.56,1,11.5,263.0
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.4737,0.14,rain,20.53,21.76,20.53,1.0,1005.0,0.67,0.9,305,0.66,0,9.547,263.2
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.4461,0.14,rain,19.91,20.96,19.91,1.0,1006.1,0.84,1.2,341,0.79,0,8.766,262.4
8,2020-09-05 20:00:00,Overcast,cloudy,0.4257,0.12,rain,19.35,20.15,19.35,1.0,1007.3,1.08,1.61,11,0.93,0,8.736,261.4
9,2020-09-05 21:00:00,Overcast,cloudy,0.4124,0.11,rain,18.92,19.55,18.92,1.0,1008.1,1.17,1.69,3,1.0,0,9.817,260.6
10,2020-09-05 22:00:00,Overcast,cloudy,0.3825,0.11,rain,18.69,19.22,18.65,1.0,1008.3,1.04,1.31,11,1.0,0,12.635,259.8
11,2020-09-05 23:00:00,Overcast,cloudy,0.3586,0.12,rain,18.57,19.05,18.28,0.98,1008.2,0.85,0.86,24,1.0,0,15.881,259.2
12,2020-09-06 00:00:00,Overcast,cloudy,0.3454,0.13,rain,18.49,18.93,17.99,0.97,1008.1,0.76,0.77,30,0.99,0,16.093,258.7
13,2020-09-06 01:00:00,Overcast,cloudy,0.3219,0.14,rain,18.44,18.81,17.53,0.94,1007.9,0.8,0.81,33,0.91,0,15.984,258.6
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.2937,0.13,rain,18.37,18.67,17.13,0.93,1007.7,0.89,0.9,32,0.84,0,13.713,258.8
