,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0653,0.03,rain,35.7,39.19,20.75,0.42,1006.7,1.37,1.76,215,0.23,10,16.093,270.3
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.0508,0.03,rain,36.29,40.5,21.35,0.42,1005.7,1.61,2.09,227,0.35,9,16.093,270.3
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0388,0.03,rain,36.3,41.51,22.31,0.45,1004.6,1.84,2.42,225,0.49,7,16.093,270.2
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0418,0.04,rain,35.95,42.48,23.49,0.49,1003.8,1.99,2.63,225,0.55,4,16.093,270.0
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0615,0.05,rain,35.37,43.26,24.63,0.54,1003.2,2.04,2.79,233,0.52,2,16.093,269.7
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0999,0.05,rain,34.32,43.07,25.44,0.6,1002.8,2.01,2.89,235,0.45,1,16.093,269.1
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1318,0.05,rain,33.2,42.51,26.07,0.66,1003.0,1.8,2.69,218,0.36,0,16.093,268.5
7,2020-09-05 19:00:00,Humid,clear-night,0.14,0.06,rain,31.76,40.65,26.24,0.73,1003.8,1.32,2.07,173,0.27,0,16.093,267.6
8,2020-09-05 20:00:00,Humid,clear-night,0.1565,0.06,rain,30.2,38.0,26.17,0.79,1004.8,0.78,1.34,104,0.17,0,16.093,266.5
9,2020-09-05 21:00:00,Humid,clear-night,0.193,0.05,rain,28.96,35.51,25.96,0.84,1005.5,0.53,0.93,37,0.1,0,16.093,265.8
10,2020-09-05 22:00:00,Humid,clear-night,0.2597,0.06,rain,28.06,32.98,25.2,0.84,1005.8,0.7,0.98,38,0.07,0,16.093,265.2
11,2020-09-05 23:00:00,Humid,clear-night,0.352,0.07,rain,27.54,31.47,24.56,0.84,1005.8,1.03,1.28,28,0.06,0,16.093,264.8
