,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0599,0.03,rain,35.88,40.18,21.55,0.44,1006.5,1.68,1.83,208,0.15,10,16.093,270.2
1,2020-09-05 13:00:00,Humid,clear-day,0.0525,0.04,rain,36.45,41.9,22.48,0.45,1005.4,2.02,2.24,223,0.3,9,16.093,270.1
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0444,0.05,rain,36.4,42.9,23.37,0.47,1004.4,2.4,2.68,226,0.47,7,16.093,270.1
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0425,0.05,rain,35.9,43.33,24.18,0.51,1003.6,2.63,3.0,229,0.55,4,16.093,269.9
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0422,0.04,rain,35.37,43.78,24.98,0.55,1003.0,2.7,3.39,236,0.52,2,16.093,269.4
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0502,0.02,rain,34.49,43.5,25.56,0.6,1002.6,2.65,3.81,238,0.42,1,16.093,268.9
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0623,0.03,rain,33.45,42.68,25.94,0.65,1002.7,2.33,3.68,223,0.32,0,16.093,268.4
7,2020-09-05 19:00:00,Humid,clear-night,0.0752,0.05,rain,32.02,40.81,26.09,0.71,1003.5,1.62,2.78,184,0.22,0,16.093,267.8
8,2020-09-05 20:00:00,Humid,clear-night,0.1049,0.05,rain,30.49,38.48,26.15,0.78,1004.4,0.81,1.63,124,0.1,0,16.093,267.2
9,2020-09-05 21:00:00,Humid,clear-night,0.1525,0.05,rain,29.18,35.8,25.86,0.82,1005.1,0.43,0.91,47,0.03,0,16.093,266.6
10,2020-09-05 22:00:00,Humid,clear-night,0.2281,0.06,rain,28.39,33.76,25.34,0.84,1005.3,0.65,0.8,30,0.0,0,16.093,266.0
11,2020-09-05 23:00:00,Humid,clear-night,0.3285,0.08,rain,27.87,32.3,24.82,0.84,1005.4,1.08,1.08,20,0.0,0,16.093,265.4
12,2020-09-06 00:00:00,Humid,clear-night,0.4061,0.1,rain,27.27,30.82,24.35,0.84,1005.4,1.3,1.31,10,0.09,0,16.093,265.2
13,2020-09-06 01:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.4575,0.09,rain,26.55,29.3,24.16,0.87,1005.3,1.19,1.24,9,0.36,0,16.093,265.2
14,2020-09-06 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5237,0.1,rain,25.85,27.61,24.06,0.9,1005.0,1.01,1.31,13,0.68,0,16.093,265.4
