,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0631,0.03,rain,35.49,38.72,20.52,0.42,1006.8,1.34,1.82,223,0.3,9,16.093,270.3
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.0449,0.03,rain,36.16,40.02,21.03,0.42,1005.7,1.52,2.08,232,0.38,8,16.093,270.3
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.0322,0.03,rain,36.25,41.0,21.89,0.44,1004.7,1.68,2.32,226,0.47,7,16.093,270.3
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0378,0.03,rain,35.92,41.96,23.11,0.48,1003.8,1.77,2.47,223,0.51,4,16.093,270.1
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0661,0.04,rain,35.26,42.76,24.38,0.54,1003.2,1.8,2.54,231,0.49,2,16.093,269.8
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1187,0.05,rain,34.08,42.66,25.39,0.61,1002.9,1.78,2.54,234,0.43,1,16.093,269.3
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1565,0.06,rain,32.89,42.28,26.2,0.68,1003.1,1.61,2.34,218,0.36,0,16.093,268.5
7,2020-09-05 19:00:00,Humid,clear-night,0.1524,0.07,rain,31.41,40.47,26.47,0.75,1003.9,1.22,1.84,173,0.28,0,16.093,267.5
8,2020-09-05 20:00:00,Humid,clear-night,0.1519,0.06,rain,29.81,37.63,26.4,0.82,1004.9,0.79,1.28,107,0.18,0,16.093,266.2
9,2020-09-05 21:00:00,Humid,clear-night,0.1754,0.05,rain,28.63,35.15,26.19,0.87,1005.6,0.61,1.02,47,0.12,0,16.093,265.3
10,2020-09-05 22:00:00,Humid,clear-night,0.2302,0.05,rain,27.83,32.86,25.49,0.87,1005.9,0.77,1.17,49,0.1,0,16.093,264.8
11,2020-09-05 23:00:00,Humid,clear-night,0.3097,0.06,rain,27.34,31.28,24.79,0.86,1006.0,1.05,1.52,42,0.09,0,16.093,264.6
12,2020-09-06 00:00:00,Humid,clear-night,0.3666,0.08,rain,26.92,30.06,24.24,0.85,1005.9,1.17,1.68,30,0.13,0,16.093,264.5
13,2020-09-06 01:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3633,0.08,rain,26.46,28.94,23.79,0.85,1005.8,1.04,1.5,22,0.32,0,16.093,264.7
14,2020-09-06 02:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3454,0.07,rain,25.9,27.53,23.21,0.85,1005.6,0.86,1.29,15,0.54,0,16.093,265.2
15,2020-09-06 03:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3407,0.07,rain,25.33,26.06,22.59,0.85,1005.5,0.79,1.24,12,0.65,0,16.093,265.4
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.3512,0.06,rain,24.59,25.31,21.83,0.85,1005.5,0.91,1.4,14,0.63,0,16.093,265.3
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.4048,0.05,rain,23.93,24.58,21.16,0.85,1005.6,1.06,1.6,16,0.55,0,16.093,265.2
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.4853,0.05,rain,23.95,24.53,20.88,0.83,1005.9,1.07,1.59,15,0.44,0,15.29,265.2
