,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.129,0.04,rain,23.3,24.43,23.3,1.0,1008.8,1.09,1.75,242,0.27,10,16.093,266.9
1,2020-09-05 13:00:00,Humid,clear-day,0.2589,0.06,rain,24.36,25.47,24.36,1.0,1007.6,1.34,2.13,250,0.3,10,16.093,266.5
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4321,0.07,rain,24.78,25.92,24.75,1.0,1006.5,1.56,2.44,242,0.32,8,16.093,266.2
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5367,0.07,rain,24.45,25.69,24.45,1.0,1005.7,1.63,2.59,236,0.32,6,16.093,265.8
4,2020-09-05 16:00:00,Humid,clear-day,0.4991,0.07,rain,23.57,25.02,23.57,1.0,1005.3,1.51,2.53,242,0.31,3,16.093,265.1
5,2020-09-05 17:00:00,Humid,clear-day,0.408,0.09,rain,22.27,23.97,22.27,1.0,1005.1,1.3,2.35,248,0.28,1,16.093,264.5
6,2020-09-05 18:00:00,Clear,clear-day,0.3599,0.11,rain,20.93,22.79,20.93,1.0,1005.3,1.09,2.11,233,0.28,0,16.093,264.3
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.4055,0.12,rain,19.6,21.5,19.6,1.0,1006.2,0.9,1.76,181,0.33,0,16.093,264.6
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.5173,0.14,rain,18.43,20.22,18.43,1.0,1007.2,0.74,1.39,101,0.39,0,16.093,265.1
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.5123,0.13,rain,17.81,19.44,17.81,1.0,1007.8,0.67,1.22,27,0.4,0,16.093,265.4
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.2895,0.1,rain,17.53,18.98,17.53,1.0,1007.9,0.74,1.33,40,0.34,0,16.093,265.3
11,2020-09-05 23:00:00,Clear,clear-night,0.0887,0.06,rain,17.29,18.57,17.29,1.0,1008.1,0.84,1.54,59,0.26,0,16.093,265.2
12,2020-09-06 00:00:00,Clear,clear-night,0.0217,0.03,rain,17.02,18.18,17.02,1.0,1008.0,0.91,1.67,62,0.19,0,16.093,265.4
13,2020-09-06 01:00:00,Clear,clear-night,0.008,0.01,rain,17.03,18.11,17.03,1.0,1007.5,0.88,1.66,64,0.13,0,16.093,265.8
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,,17.08,18.11,17.08,1.0,1006.6,0.84,1.61,66,0.09,0,16.093,266.3
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,17.17,18.15,17.17,1.0,1006.1,0.8,1.55,68,0.06,0,16.093,266.4
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,17.1,18.03,17.1,1.0,1006.1,0.81,1.5,65,0.07,0,16.093,265.7
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,17.05,17.99,17.05,1.0,1006.2,0.81,1.43,63,0.08,0,16.093,264.9
18,2020-09-06 06:00:00,Clear,clear-night,0.0,0.0,,17.1,18.08,17.1,1.0,1006.6,0.75,1.29,71,0.08,0,16.093,264.3
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,17.63,18.64,17.63,1.0,1007.1,0.58,1.04,88,0.09,0,16.093,264.3
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,18.85,19.84,18.85,1.0,1008.0,0.4,0.79,113,0.1,2,16.093,264.3
21,2020-09-06 09:00:00,Clear,clear-day,0.0098,0.02,rain,20.24,21.21,20.24,1.0,1008.7,0.37,0.75,141,0.11,4,16.093,263.9
22,2020-09-06 10:00:00,Clear,clear-day,0.0306,0.02,rain,21.72,22.67,21.72,1.0,1008.5,0.56,0.96,176,0.17,7,16.093,263.1
23,2020-09-06 11:00:00,Humid,clear-day,0.0813,0.04,rain,23.12,24.04,22.74,0.98,1007.7,0.83,1.29,208,0.24,9,16.093,262.3
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1792,0.06,rain,24.03,25.03,23.52,0.97,1006.7,1.04,1.61,226,0.34,10,16.093,261.8
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3755,0.07,rain,23.82,25.0,23.82,1.0,1006.1,1.19,1.92,228,0.48,9,16.093,262.1
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6544,0.08,rain,22.99,24.46,22.99,1.0,1005.3,1.29,2.22,221,0.63,7,16.093,262.6
27,2020-09-06 15:00:00,Mostly Cloudy,partly-cloudy-day,0.8507,0.13,rain,21.96,23.68,21.96,1.0,1004.9,1.3,2.38,213,0.71,5,16.093,262.8
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,0.859,0.15,rain,21.25,23.14,21.25,1.0,1004.8,1.18,2.36,206,0.68,3,16.093,262.7
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.762,0.15,rain,20.64,22.64,20.64,1.0,1005.0,1.0,2.24,198,0.6,1,16.093,262.5
30,2020-09-06 18:00:00,Partly Cloudy,partly-cloudy-day,0.625,0.16,rain,19.96,21.97,19.96,1.0,1005.4,0.85,2.05,184,0.49,0,16.093,262.3
31,2020-09-06 19:00:00,Partly Cloudy,partly-cloudy-night,0.4726,0.15,rain,19.06,20.92,19.06,1.0,1006.3,0.75,1.75,156,0.33,0,16.093,262.0
32,2020-09-06 20:00:00,Clear,clear-night,0.3504,0.12,rain,18.22,19.98,18.22,1.0,1007.3,0.68,1.43,116,0.16,0,16.093,261.8
33,2020-09-06 21:00:00,Clear,clear-night,0.2489,0.11,rain,17.65,19.27,17.65,1.0,1008.1,0.66,1.26,87,0.05,0,16.093,261.4
34,2020-09-06 22:00:00,Clear,clear-night,0.1189,0.09,rain,17.46,18.91,17.46,1.0,1008.5,0.69,1.33,73,0.02,0,16.093,260.9
35,2020-09-06 23:00:00,Clear,clear-night,0.0348,0.06,rain,17.25,18.56,17.25,1.0,1008.8,0.74,1.47,61,0.03,0,16.093,260.4
36,2020-09-07 00:00:00,Clear,clear-night,0.0176,0.03,rain,17.02,18.23,17.02,1.0,1008.8,0.78,1.55,52,0.04,0,16.093,260.3
37,2020-09-07 01:00:00,Clear,clear-night,0.0334,0.06,rain,17.03,18.21,17.03,1.0,1008.7,0.79,1.54,49,0.06,0,16.093,260.7
38,2020-09-07 02:00:00,Clear,clear-night,0.092,0.07,rain,17.15,18.31,17.15,1.0,1008.4,0.79,1.49,48,0.07,0,16.093,261.4
39,2020-09-07 03:00:00,Clear,clear-night,0.1212,0.06,rain,17.22,18.33,17.22,1.0,1008.2,0.79,1.44,50,0.09,0,16.093,262.0
40,2020-09-07 04:00:00,Clear,clear-night,0.0627,0.05,rain,17.11,18.17,17.11,1.0,1008.1,0.78,1.37,54,0.09,0,16.093,262.3
41,2020-09-07 05:00:00,Clear,clear-night,0.0135,0.03,rain,17.01,18.08,17.01,1.0,1008.1,0.77,1.31,62,0.08,0,16.093,262.7
42,2020-09-07 06:00:00,Clear,clear-night,0.0134,0.03,rain,16.98,18.04,16.98,1.0,1008.2,0.72,1.23,70,0.08,0,16.093,262.9
43,2020-09-07 07:00:00,Clear,clear-day,0.0359,0.05,rain,17.37,18.44,17.37,1.0,1008.9,0.61,1.09,80,0.06,0,16.093,263.4
44,2020-09-07 08:00:00,Clear,clear-day,0.0854,0.06,rain,18.27,19.33,18.27,1.0,1009.5,0.5,0.99,99,0.05,2,16.093,263.7
45,2020-09-07 09:00:00,Clear,clear-day,0.1494,0.06,rain,19.48,20.52,19.48,1.0,1009.6,0.5,1.01,121,0.04,4,15.108,263.1
