,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.273,0.06,rain,30.64,41.74,28.03,0.86,1007.7,1.29,1.77,221,0.09,10,16.093,268.6
1,2020-09-05 13:00:00,Humid,clear-day,0.2176,0.06,rain,31.6,43.48,28.01,0.81,1007.0,1.43,2.09,234,0.16,10,16.093,268.3
2,2020-09-05 14:00:00,Humid,clear-day,0.1956,0.06,rain,32.12,45.05,28.36,0.81,1005.9,1.53,2.39,237,0.25,8,16.093,267.9
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2323,0.07,rain,32.14,46.44,28.97,0.83,1005.1,1.5,2.47,227,0.32,6,16.093,267.4
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2904,0.09,rain,31.77,48.3,30.09,0.91,1004.6,1.28,2.26,207,0.37,3,16.093,266.7
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.364,0.11,rain,30.82,47.58,30.6,0.99,1004.3,1.02,1.94,302,0.41,1,16.093,266.0
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3778,0.12,rain,29.59,44.74,29.59,1.0,1004.4,0.89,1.7,266,0.4,0,16.093,265.8
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2976,0.12,rain,28.32,39.89,28.32,1.0,1005.1,0.93,1.57,247,0.32,0,16.093,266.1
8,2020-09-05 20:00:00,Humid,clear-night,0.2249,0.11,rain,26.98,33.79,26.98,1.0,1005.9,1.04,1.49,54,0.22,0,16.093,266.7
9,2020-09-05 21:00:00,Humid,clear-night,0.1809,0.09,rain,26.11,28.92,26.11,1.0,1006.4,1.16,1.51,36,0.15,0,16.093,267.1
10,2020-09-05 22:00:00,Humid,clear-night,0.1147,0.07,rain,25.77,27.71,25.77,1.0,1006.4,1.24,1.66,31,0.13,0,16.093,267.2
11,2020-09-05 23:00:00,Humid,clear-night,0.0609,0.05,rain,25.56,27.07,25.56,1.0,1006.3,1.31,1.86,33,0.11,0,16.093,267.2
12,2020-09-06 00:00:00,Humid,clear-night,0.0402,0.03,rain,25.16,26.32,25.14,1.0,1006.3,1.37,1.99,34,0.09,0,16.093,267.5
13,2020-09-06 01:00:00,Humid,clear-night,0.0308,0.02,rain,24.79,25.89,24.53,0.98,1006.3,1.4,2.02,33,0.05,0,16.093,267.9
14,2020-09-06 02:00:00,Humid,clear-night,0.0292,0.02,rain,24.55,25.61,24.17,0.98,1006.1,1.4,2.01,33,0.02,0,16.093,268.4
15,2020-09-06 03:00:00,Humid,clear-night,0.0333,0.02,rain,24.29,25.31,23.84,0.97,1006.0,1.38,2.0,34,0.01,0,16.093,268.2
16,2020-09-06 04:00:00,Humid,clear-night,0.0402,0.02,rain,23.78,24.75,23.34,0.97,1005.7,1.36,2.04,31,0.03,0,16.093,267.2
17,2020-09-06 05:00:00,Humid,clear-night,0.05,0.03,rain,23.32,24.26,22.95,0.98,1005.6,1.31,2.05,30,0.06,0,16.093,266.0
18,2020-09-06 06:00:00,Humid,clear-night,0.0506,0.03,rain,23.52,24.49,23.31,0.99,1005.8,1.17,1.92,38,0.09,0,16.093,265.2
19,2020-09-06 07:00:00,Humid,clear-day,0.0329,0.03,rain,24.43,25.56,24.13,0.98,1006.4,0.9,1.59,57,0.14,0,16.093,265.3
20,2020-09-06 08:00:00,Humid,clear-day,0.0185,0.02,rain,26.23,28.81,25.25,0.94,1007.1,0.62,1.21,89,0.18,2,16.093,265.6
21,2020-09-06 09:00:00,Humid,clear-day,0.0304,0.03,rain,27.97,34.25,26.4,0.91,1007.3,0.58,1.05,128,0.19,4,16.093,265.5
22,2020-09-06 10:00:00,Humid,clear-day,0.1101,0.04,rain,29.74,38.74,27.25,0.87,1007.0,0.87,1.17,157,0.19,7,16.093,264.9
23,2020-09-06 11:00:00,Humid,clear-day,0.2798,0.06,rain,31.27,42.44,27.77,0.82,1006.3,1.28,1.44,184,0.18,9,16.093,264.3
24,2020-09-06 12:00:00,Humid,clear-day,0.4643,0.08,rain,31.97,43.79,27.84,0.79,1005.8,1.54,1.78,201,0.19,10,16.093,264.0
25,2020-09-06 13:00:00,Humid,clear-day,0.6499,0.09,rain,31.6,44.09,28.33,0.83,1005.2,1.61,2.16,202,0.25,9,16.093,264.3
26,2020-09-06 14:00:00,Humid,clear-day,0.8973,0.1,rain,30.85,44.15,29.06,0.9,1004.7,1.62,2.58,191,0.31,8,16.093,264.8
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0382,0.13,rain,30.05,43.7,29.64,0.98,1004.3,1.55,2.69,171,0.34,5,16.093,264.9
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9344,0.15,rain,29.45,43.24,29.45,1.0,1004.2,1.37,2.39,138,0.34,3,16.093,264.4
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7357,0.16,rain,28.72,41.61,28.72,1.0,1004.2,1.18,1.92,67,0.31,1,16.093,263.8
30,2020-09-06 18:00:00,Humid,clear-day,0.525,0.15,rain,28.1,38.97,28.1,1.0,1004.5,1.08,1.64,31,0.27,0,16.093,263.5
31,2020-09-06 19:00:00,Humid,clear-night,0.2763,0.13,rain,27.42,35.78,27.42,1.0,1005.2,1.09,1.6,46,0.19,0,16.093,263.5
32,2020-09-06 20:00:00,Humid,clear-night,0.1046,0.09,rain,26.7,32.43,26.7,1.0,1006.1,1.16,1.66,52,0.09,0,16.093,263.7
33,2020-09-06 21:00:00,Humid,clear-night,0.0608,0.07,rain,26.11,28.82,26.11,1.0,1006.7,1.22,1.74,49,0.04,0,16.093,263.6
34,2020-09-06 22:00:00,Humid,clear-night,0.0845,0.07,rain,25.87,28.06,25.87,1.0,1007.0,1.25,1.89,45,0.03,0,16.093,263.1
35,2020-09-06 23:00:00,Humid,clear-night,0.1519,0.08,rain,25.71,27.5,25.71,1.0,1007.1,1.27,2.05,42,0.04,0,16.093,262.5
36,2020-09-07 00:00:00,Humid,clear-night,0.1867,0.08,rain,25.31,26.4,25.31,1.0,1007.1,1.26,2.14,38,0.04,0,16.093,262.2
37,2020-09-07 01:00:00,Humid,clear-night,0.1444,0.08,rain,24.92,26.14,24.92,1.0,1006.9,1.2,2.14,30,0.04,0,16.093,262.5
38,2020-09-07 02:00:00,Humid,clear-night,0.1135,0.07,rain,24.62,25.8,24.62,1.0,1006.8,1.12,2.1,22,0.04,0,16.093,263.0
39,2020-09-07 03:00:00,Humid,clear-night,0.0977,0.06,rain,24.3,25.45,24.3,1.0,1006.6,1.09,2.08,23,0.04,0,16.093,263.5
40,2020-09-07 04:00:00,Humid,clear-night,0.0793,0.05,rain,23.81,24.93,23.81,1.0,1006.4,1.12,2.11,33,0.03,0,16.093,264.0
41,2020-09-07 05:00:00,Humid,clear-night,0.115,0.05,rain,23.37,24.47,23.37,1.0,1006.4,1.15,2.11,48,0.02,0,16.093,264.5
42,2020-09-07 06:00:00,Humid,clear-night,0.1436,0.04,rain,23.43,24.56,23.43,1.0,1006.6,1.09,1.97,58,0.03,0,16.093,264.7
43,2020-09-07 07:00:00,Humid,clear-day,0.0902,0.05,rain,23.93,25.09,23.93,1.0,1007.2,0.87,1.58,54,0.07,0,16.093,264.7
44,2020-09-07 08:00:00,Humid,clear-day,0.0669,0.05,rain,25.14,26.6,25.14,1.0,1007.9,0.62,1.17,47,0.11,2,16.093,264.4
45,2020-09-07 09:00:00,Humid,clear-day,0.1379,0.06,rain,26.3,29.72,26.3,1.0,1008.3,0.57,1.04,63,0.15,4,16.093,263.7
46,2020-09-07 10:00:00,Humid,clear-day,0.3263,0.07,rain,27.46,34.77,27.46,1.0,1008.3,0.79,1.31,113,0.19,7,16.093,262.4
47,2020-09-07 11:00:00,Humid,clear-day,0.5998,0.09,rain,28.64,38.08,28.21,0.98,1008.0,1.1,1.73,167,0.23,9,16.093,261.0
48,2020-09-07 12:00:00,Humid,clear-day,0.7451,0.11,rain,29.55,39.99,28.24,0.93,1007.7,1.31,2.09,205,0.3,9,16.093,260.1
