,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0849,0.03,rain,28.24,30.36,20.87,0.64,1008.2,1.92,1.95,224,0.17,11,16.093,264.8
1,2020-09-05 13:00:00,Clear,clear-day,0.1816,0.05,rain,28.66,31.26,21.53,0.65,1007.2,1.93,2.03,224,0.31,10,16.093,264.7
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3702,0.06,rain,28.24,31.22,22.39,0.71,1006.1,1.82,2.02,225,0.46,7,12.363,264.8
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5087,0.07,rain,27.51,30.97,23.78,0.8,1005.4,1.67,1.91,227,0.56,5,10.799,264.8
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4784,0.07,rain,26.75,30.41,25.22,0.91,1005.1,1.47,1.67,235,0.57,3,14.744,264.6
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3828,0.08,rain,26.17,28.89,26.17,1.0,1004.9,1.22,1.4,239,0.54,1,16.093,264.3
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3184,0.08,rain,25.31,26.73,25.31,1.0,1005.2,1.01,1.16,214,0.48,0,16.093,264.3
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2981,0.1,rain,23.85,25.34,23.85,1.0,1006.1,0.81,0.95,146,0.38,0,16.093,264.6
8,2020-09-05 20:00:00,Clear,clear-night,0.2876,0.11,rain,22.07,23.63,22.07,1.0,1007.1,0.62,0.89,62,0.26,0,16.093,265.1
9,2020-09-05 21:00:00,Clear,clear-night,0.2414,0.1,rain,20.93,22.47,20.93,1.0,1007.8,0.54,1.02,11,0.18,0,16.093,265.4
10,2020-09-05 22:00:00,Clear,clear-night,0.1467,0.08,rain,20.61,22.04,20.61,1.0,1008.0,0.65,1.2,15,0.15,0,16.093,265.6
11,2020-09-05 23:00:00,Clear,clear-night,0.078,0.05,rain,20.52,21.76,20.52,1.0,1008.2,0.85,1.43,38,0.14,0,16.093,265.6
12,2020-09-06 00:00:00,Clear,clear-night,0.0513,0.03,rain,20.43,21.5,20.43,1.0,1008.2,0.99,1.61,52,0.12,0,16.093,265.4
13,2020-09-06 01:00:00,Clear,clear-night,0.0249,0.02,rain,20.33,21.23,20.33,1.0,1008.0,1.06,1.73,53,0.07,0,16.093,264.5
14,2020-09-06 02:00:00,Clear,clear-night,0.0052,0.01,rain,20.38,21.08,20.37,1.0,1007.3,1.11,1.8,51,0.02,0,16.093,263.4
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,20.33,20.86,19.25,0.93,1006.7,1.16,1.86,48,0.0,0,16.093,262.8
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,19.58,19.94,17.88,0.9,1006.7,1.21,1.89,40,0.0,0,16.093,262.8
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,18.69,18.92,16.7,0.88,1006.7,1.25,1.88,37,0.0,0,16.093,263.1
18,2020-09-06 06:00:00,Clear,clear-night,0.0,0.0,,18.59,18.75,16.2,0.86,1007.0,1.21,1.71,58,0.01,0,16.093,263.6
