,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.551,0.07,rain,29.71,37.51,26.44,0.83,1007.0,1.29,2.27,311,0.25,10,16.093,266.2
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8265,0.1,rain,29.47,38.19,27.24,0.88,1006.2,1.34,2.61,298,0.41,9,16.093,266.5
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0992,0.11,rain,28.68,37.34,27.69,0.94,1005.3,1.33,2.86,296,0.6,6,16.093,267.0
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.2079,0.13,rain,28.11,36.89,28.11,1.0,1004.6,1.28,2.88,297,0.71,4,16.093,267.5
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0541,0.14,rain,28.37,38.47,28.37,1.0,1004.1,1.16,2.62,42,0.72,3,16.093,268.2
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7815,0.14,rain,28.21,37.87,28.21,1.0,1003.7,1.04,2.21,359,0.67,1,16.093,268.9
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5208,0.12,rain,27.67,35.94,27.67,1.0,1003.8,1.0,1.89,328,0.58,0,16.093,269.2
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2698,0.09,rain,26.68,32.45,26.68,1.0,1004.4,1.07,1.68,352,0.43,0,16.093,269.0
8,2020-09-05 20:00:00,Humid,clear-night,0.092,0.06,rain,25.51,27.07,25.51,1.0,1005.4,1.18,1.51,10,0.25,0,16.093,268.5
9,2020-09-05 21:00:00,Humid,clear-night,0.0254,0.04,rain,24.68,26.03,24.68,1.0,1006.2,1.26,1.42,24,0.13,0,16.093,267.9
10,2020-09-05 22:00:00,Humid,clear-night,0.0121,0.03,rain,24.27,25.58,24.27,1.0,1006.4,1.3,1.4,29,0.1,0,16.093,267.3
11,2020-09-05 23:00:00,Humid,clear-night,0.0123,0.03,rain,24.15,25.39,24.15,1.0,1006.3,1.33,1.43,32,0.1,0,16.093,266.5
12,2020-09-06 00:00:00,Humid,clear-night,0.0129,0.03,rain,24.02,25.18,24.02,1.0,1006.2,1.36,1.49,33,0.11,0,16.093,265.7
13,2020-09-06 01:00:00,Humid,clear-night,0.0097,0.02,rain,23.84,24.97,23.84,1.0,1005.9,1.42,1.59,34,0.14,0,16.093,265.3
14,2020-09-06 02:00:00,Humid,clear-night,0.012,0.02,rain,23.54,24.63,23.54,1.0,1005.7,1.49,1.7,33,0.17,0,16.093,265.0
15,2020-09-06 03:00:00,Humid,clear-night,0.0142,0.02,rain,22.98,24.0,22.98,1.0,1005.5,1.5,1.78,31,0.19,0,16.093,264.9
16,2020-09-06 04:00:00,Humid,clear-night,0.007,0.02,rain,22.43,23.37,22.43,1.0,1005.3,1.47,1.82,25,0.19,0,16.093,265.2
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,22.02,22.92,22.02,1.0,1005.1,1.38,1.8,22,0.17,0,16.093,265.6
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,,22.13,23.06,22.13,1.0,1005.4,1.22,1.63,33,0.16,0,16.093,265.9
19,2020-09-06 07:00:00,Humid,clear-day,0.0195,0.02,rain,23.12,24.05,22.98,0.99,1006.3,0.9,1.18,66,0.15,0,16.093,265.8
20,2020-09-06 08:00:00,Humid,clear-day,0.0499,0.02,rain,24.98,26.16,23.81,0.93,1006.7,0.57,0.71,108,0.15,2,16.093,265.4
21,2020-09-06 09:00:00,Humid,clear-day,0.0838,0.02,rain,26.44,29.11,24.59,0.9,1007.0,0.57,0.65,143,0.16,4,16.093,264.8
22,2020-09-06 10:00:00,Humid,clear-day,0.1157,0.03,rain,27.67,32.23,25.12,0.86,1006.9,1.04,1.18,163,0.16,7,16.093,263.9
23,2020-09-06 11:00:00,Humid,clear-day,0.171,0.05,rain,28.77,34.75,25.62,0.83,1006.5,1.64,1.93,179,0.19,9,14.913,262.8
24,2020-09-06 12:00:00,Humid,clear-day,0.2485,0.06,rain,29.98,37.62,26.15,0.8,1005.9,1.97,2.51,193,0.28,10,13.131,262.2
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3439,0.08,rain,30.85,39.89,26.69,0.79,1005.0,1.93,2.89,209,0.47,8,15.169,261.9
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4698,0.08,rain,31.02,40.45,26.87,0.79,1004.2,1.75,3.14,218,0.69,6,16.093,261.9
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6291,0.09,rain,30.38,39.8,27.16,0.83,1003.7,1.52,3.1,207,0.82,4,16.093,261.9
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9258,0.11,rain,29.57,39.82,28.12,0.92,1003.5,1.21,2.63,172,0.84,2,16.093,262.1
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3706,0.16,rain,28.28,38.33,28.28,1.0,1003.6,0.89,1.99,13,0.81,1,16.093,262.4
