,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.3886,0.07,rain,33.64,43.51,26.29,0.66,1006.3,1.17,2.27,283,0.13,10,16.093,268.7
1,2020-09-05 13:00:00,Humid,clear-day,0.5356,0.08,rain,33.33,44.05,26.85,0.69,1005.5,1.35,2.63,274,0.28,9,16.093,268.9
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7062,0.1,rain,32.48,44.21,27.63,0.76,1004.7,1.5,2.91,280,0.46,7,16.093,269.2
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8101,0.12,rain,31.92,44.95,28.46,0.82,1003.9,1.52,2.98,270,0.56,5,16.093,269.5
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7678,0.13,rain,32.1,46.27,28.94,0.83,1003.4,1.32,2.81,257,0.56,3,16.093,269.9
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6447,0.13,rain,31.93,45.24,28.6,0.83,1002.9,1.07,2.49,336,0.51,1,16.093,270.3
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4628,0.11,rain,31.34,43.46,28.24,0.84,1002.9,0.97,2.18,304,0.42,0,16.093,270.4
7,2020-09-05 19:00:00,Humid,clear-night,0.214,0.07,rain,30.28,40.83,27.89,0.87,1003.6,1.05,1.89,318,0.3,0,16.093,270.0
8,2020-09-05 20:00:00,Humid,clear-night,0.0446,0.05,rain,29.08,38.08,27.66,0.92,1004.5,1.19,1.61,22,0.17,0,16.093,269.4
9,2020-09-05 21:00:00,Humid,clear-night,0.0052,0.03,rain,28.03,35.77,27.53,0.97,1005.3,1.28,1.41,17,0.08,0,16.093,268.7
10,2020-09-05 22:00:00,Humid,clear-night,0.0079,0.03,rain,27.34,33.66,27.02,0.98,1005.5,1.3,1.34,21,0.05,0,16.093,267.6
11,2020-09-05 23:00:00,Humid,clear-night,0.0211,0.01,rain,26.94,32.23,26.47,0.97,1005.2,1.3,1.37,29,0.06,0,16.093,266.5
12,2020-09-06 00:00:00,Humid,clear-night,0.0277,0.02,rain,26.65,31.02,26.05,0.97,1005.1,1.32,1.4,35,0.1,0,16.093,265.7
13,2020-09-06 01:00:00,Humid,clear-night,0.0163,0.01,rain,26.37,29.31,25.69,0.96,1005.0,1.36,1.44,37,0.19,0,16.093,265.5
