,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.1571,0.05,rain,21.08,22.05,21.08,1.0,1009.1,1.57,2.05,241,0.25,10,7.993,262.6
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.2619,0.07,rain,21.91,22.95,21.91,1.0,1008.0,1.6,2.11,246,0.39,9,10.553,262.6
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.3809,0.08,rain,22.1,23.24,22.1,1.0,1006.9,1.58,2.05,250,0.54,7,14.655,262.5
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0.4593,0.08,rain,21.41,22.75,21.41,1.0,1006.3,1.49,1.9,247,0.63,5,15.558,262.3
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,0.4693,0.09,rain,20.39,22.07,20.39,1.0,1006.0,1.3,1.6,234,0.64,3,11.383,261.7
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.441,0.1,rain,19.08,21.13,19.08,1.0,1006.0,1.07,1.29,203,0.61,1,6.241,261.0
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.3967,0.1,rain,18.27,20.34,18.27,1.0,1006.5,0.93,1.17,100,0.6,0,4.962,260.5
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.33,0.1,rain,17.26,19.12,17.26,1.0,1007.5,0.92,1.36,97,0.6,0,9.164,260.6
8,2020-09-05 20:00:00,Mostly Cloudy,partly-cloudy-night,0.2541,0.09,rain,16.51,18.09,16.51,1.0,1008.7,0.96,1.64,67,0.59,0,15.25,260.8
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.1666,0.08,rain,15.91,17.23,15.91,1.0,1009.5,0.99,1.78,46,0.58,0,16.093,261.1
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.0673,0.06,rain,15.5,16.57,15.5,1.0,1009.9,1.02,1.73,44,0.56,0,16.093,261.5
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.0096,0.03,rain,15.2,16.09,15.2,1.0,1009.7,1.05,1.64,49,0.53,0,16.093,261.8
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,14.99,15.72,14.99,1.0,1009.5,1.07,1.58,53,0.44,0,16.093,261.9
13,2020-09-06 01:00:00,Clear,clear-night,0.0,0.0,,14.91,15.46,14.91,1.0,1009.2,1.07,1.54,56,0.28,0,16.093,261.8
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,,14.93,15.32,14.93,1.0,1008.8,1.07,1.49,59,0.1,0,16.093,261.6
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,15.21,15.42,15.21,1.0,1008.6,1.08,1.49,60,0.0,0,16.093,261.5
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,15.23,15.33,14.69,0.97,1008.6,1.1,1.56,56,0.0,0,16.093,261.7
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,15.1,15.15,14.37,0.95,1008.6,1.12,1.62,54,0.02,0,16.093,261.9
18,2020-09-06 06:00:00,Clear,clear-night,0.0,0.0,,14.98,15.11,14.78,0.99,1008.8,1.1,1.57,69,0.03,0,16.093,261.9
19,2020-09-06 07:00:00,Clear,clear-day,0.0049,0.01,rain,15.64,15.94,15.64,1.0,1009.4,1.04,1.33,103,0.03,0,16.093,261.8
20,2020-09-06 08:00:00,Clear,clear-day,0.0071,0.03,rain,16.78,17.31,16.78,1.0,1009.7,0.97,1.06,142,0.04,2,16.093,261.5
21,2020-09-06 09:00:00,Clear,clear-day,0.0204,0.03,rain,17.97,18.69,17.97,1.0,1009.8,1.02,1.05,252,0.05,4,16.093,261.0
22,2020-09-06 10:00:00,Clear,clear-day,0.0705,0.04,rain,18.94,19.83,18.94,1.0,1009.5,1.25,1.34,245,0.06,7,16.093,260.0
23,2020-09-06 11:00:00,Clear,clear-day,0.1737,0.06,rain,20.11,21.14,20.11,1.0,1008.2,1.53,1.85,241,0.08,10,12.617,259.0
24,2020-09-06 12:00:00,Clear,clear-day,0.281,0.07,rain,21.28,22.4,21.28,1.0,1007.3,1.67,2.11,242,0.17,11,9.271,258.2
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.3427,0.08,rain,21.93,23.11,21.93,1.0,1006.4,1.62,2.05,246,0.35,9,9.256,258.1
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.3775,0.08,rain,21.88,23.13,21.88,1.0,1005.7,1.49,1.87,250,0.55,7,10.555,258.1
27,2020-09-06 15:00:00,Mostly Cloudy,partly-cloudy-day,0.3995,0.1,rain,21.11,22.52,21.11,1.0,1005.3,1.35,1.68,249,0.67,5,11.505,258.1
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,0.4198,0.1,rain,20.08,21.82,20.08,1.0,1005.4,1.2,1.5,239,0.67,3,11.597,257.9
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.4305,0.11,rain,18.95,21.0,18.95,1.0,1005.8,1.04,1.33,218,0.63,1,11.912,257.6
30,2020-09-06 18:00:00,Partly Cloudy,partly-cloudy-day,0.4066,0.11,rain,18.07,20.15,18.07,1.0,1006.5,0.96,1.26,94,0.58,0,13.586,257.3
31,2020-09-06 19:00:00,Partly Cloudy,partly-cloudy-night,0.3298,0.1,rain,17.0,18.84,17.0,1.0,1007.6,0.97,1.36,99,0.55,0,16.093,257.2
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,0.2362,0.08,rain,16.1,17.67,16.1,1.0,1008.9,1.01,1.57,75,0.51,0,16.093,257.2
33,2020-09-06 21:00:00,Partly Cloudy,partly-cloudy-night,0.1548,0.08,rain,15.44,16.77,15.44,1.0,1009.8,1.04,1.67,57,0.46,0,16.093,256.9
34,2020-09-06 22:00:00,Partly Cloudy,partly-cloudy-night,0.0811,0.07,rain,15.12,16.21,15.12,1.0,1010.5,1.02,1.62,52,0.39,0,16.093,256.3
35,2020-09-06 23:00:00,Clear,clear-night,0.0333,0.05,rain,14.98,15.88,14.98,1.0,1010.7,1.01,1.52,53,0.31,0,16.093,255.5
36,2020-09-07 00:00:00,Clear,clear-night,0.0195,0.03,rain,14.9,15.66,14.9,1.0,1010.3,1.03,1.5,54,0.22,0,16.093,255.6
37,2020-09-07 01:00:00,Clear,clear-night,0.0263,0.03,rain,14.91,15.5,14.91,1.0,1010.3,1.1,1.61,53,0.13,0,16.093,256.7
38,2020-09-07 02:00:00,Clear,clear-night,0.0423,0.03,rain,15.0,15.42,15.0,1.0,1010.4,1.17,1.75,53,0.05,0,16.093,258.2
39,2020-09-07 03:00:00,Clear,clear-night,0.0536,0.03,rain,15.32,15.57,15.32,1.0,1010.3,1.22,1.82,52,0.0,0,16.093,259.1
40,2020-09-07 04:00:00,Clear,clear-night,0.0569,0.04,rain,15.38,15.51,14.93,0.97,1010.2,1.23,1.81,48,0.0,0,16.093,259.3
41,2020-09-07 05:00:00,Clear,clear-night,0.0574,0.04,rain,15.23,15.31,14.58,0.96,1010.1,1.21,1.76,45,0.0,0,16.093,259.1
42,2020-09-07 06:00:00,Clear,clear-night,0.055,0.05,rain,15.03,15.18,14.9,0.99,1010.2,1.18,1.68,60,0.0,0,16.093,259.3
43,2020-09-07 07:00:00,Clear,clear-day,0.044,0.05,rain,15.55,15.89,15.55,1.0,1010.7,1.11,1.53,96,0.0,0,16.093,259.7
44,2020-09-07 08:00:00,Clear,clear-day,0.0377,0.04,rain,16.6,17.22,16.6,1.0,1011.1,1.05,1.39,139,0.0,2,16.093,260.2
45,2020-09-07 09:00:00,Clear,clear-day,0.0535,0.04,rain,17.71,18.51,17.71,1.0,1011.2,1.08,1.38,240,0.01,4,16.093,259.8
46,2020-09-07 10:00:00,Clear,clear-day,0.1157,0.06,rain,18.68,19.6,18.68,1.0,1010.6,1.26,1.63,241,0.02,8,13.06,258.4
47,2020-09-07 11:00:00,Clear,clear-day,0.2303,0.07,rain,19.86,20.85,19.86,1.0,1009.8,1.47,1.99,243,0.05,10,6.584,256.7
48,2020-09-07 12:00:00,Clear,clear-day,0.3567,0.09,rain,20.99,22.04,20.99,1.0,1009.2,1.57,2.16,245,0.16,11,4.537,255.5
