,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.2734,0.06,rain,26.2,28.53,24.48,0.9,1008.7,1.59,1.71,224,0.4,9,11.249,264.8
1,2020-09-05 13:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.4827,0.07,rain,26.37,29.33,25.5,0.95,1007.6,1.58,1.83,229,0.44,8,7.571,264.9
2,2020-09-05 14:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.7131,0.08,rain,25.79,27.56,25.79,1.0,1006.7,1.5,1.9,231,0.48,7,4.904,264.9
3,2020-09-05 15:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.8018,0.1,rain,24.98,26.23,24.98,1.0,1006.1,1.34,1.76,229,0.5,5,4.982,264.4
4,2020-09-05 16:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.7345,0.11,rain,24.4,26.34,24.4,1.0,1005.8,1.09,1.44,224,0.51,2,7.831,263.5
5,2020-09-05 17:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.6438,0.11,rain,23.75,25.83,23.75,1.0,1005.8,0.83,1.13,213,0.53,1,11.437,262.6
6,2020-09-05 18:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6119,0.12,rain,22.83,24.87,22.83,1.0,1006.4,0.66,1.01,191,0.62,0,14.061,262.3
7,2020-09-05 19:15:00,Mostly Cloudy,partly-cloudy-night,0.7312,0.13,rain,21.81,23.7,21.81,1.0,1007.5,0.55,1.03,164,0.77,0,15.809,262.5
8,2020-09-05 20:15:00,Overcast,cloudy,0.9201,0.13,rain,20.83,22.57,20.83,1.0,1008.6,0.47,1.14,141,0.91,0,16.093,262.9
9,2020-09-05 21:15:00,Overcast,cloudy,0.797,0.12,rain,20.15,21.75,20.15,1.0,1009.2,0.44,1.24,104,0.94,0,16.093,263.2
10,2020-09-05 22:15:00,Mostly Cloudy,partly-cloudy-night,0.3856,0.11,rain,19.73,21.21,19.73,1.0,1009.1,0.47,1.28,70,0.87,0,16.093,263.4
11,2020-09-05 23:15:00,Mostly Cloudy,partly-cloudy-night,0.1103,0.08,rain,19.37,20.69,19.37,1.0,1009.1,0.52,1.31,48,0.74,0,16.093,263.6
12,2020-09-06 00:15:00,Partly Cloudy,partly-cloudy-night,0.0411,0.05,rain,19.04,20.2,19.04,1.0,1009.3,0.54,1.3,38,0.56,0,16.093,263.7
13,2020-09-06 01:15:00,Partly Cloudy,partly-cloudy-night,0.0305,0.04,rain,18.76,19.78,18.76,1.0,1009.2,0.55,1.23,39,0.32,0,16.093,263.7
14,2020-09-06 02:15:00,Clear,clear-night,0.0265,0.03,rain,18.68,19.58,18.68,1.0,1009.0,0.57,1.17,44,0.08,0,16.093,263.6
15,2020-09-06 03:15:00,Clear,clear-night,0.0228,0.03,rain,18.7,19.51,18.7,1.0,1008.8,0.6,1.16,44,0.0,0,16.093,263.8
16,2020-09-06 04:15:00,Clear,clear-night,0.0169,0.03,rain,18.6,19.32,18.6,1.0,1008.5,0.65,1.21,40,0.0,0,16.093,264.4
17,2020-09-06 05:15:00,Clear,clear-night,0.0125,0.03,rain,18.54,19.21,18.54,1.0,1008.4,0.7,1.26,44,0.01,0,16.093,264.8
18,2020-09-06 06:15:00,Clear,clear-day,0.0118,0.03,rain,18.61,19.32,18.61,1.0,1008.6,0.73,1.18,75,0.01,0,16.093,264.6
19,2020-09-06 07:15:00,Clear,clear-day,0.0182,0.03,rain,19.3,20.11,19.3,1.0,1009.2,0.73,0.98,129,0.02,1,16.093,263.8
20,2020-09-06 08:15:00,Clear,clear-day,0.0385,0.04,rain,20.64,21.59,20.64,1.0,1009.7,0.75,0.83,184,0.02,2,16.093,262.8
21,2020-09-06 09:15:00,Clear,clear-day,0.0828,0.04,rain,22.01,23.05,22.01,1.0,1009.3,0.91,0.93,215,0.03,5,16.093,262.0
22,2020-09-06 10:15:00,Humid,clear-day,0.1669,0.05,rain,23.38,24.45,23.38,1.0,1008.6,1.21,1.27,220,0.04,8,13.674,261.4
23,2020-09-06 11:15:00,Humid,clear-day,0.2837,0.06,rain,24.89,25.83,24.33,0.97,1007.8,1.48,1.62,218,0.07,10,11.625,260.8
24,2020-09-06 12:15:00,Humid,clear-day,0.4066,0.07,rain,26.16,28.18,24.84,0.92,1007.0,1.57,1.76,218,0.16,10,12.261,260.4
25,2020-09-06 13:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.5301,0.07,rain,26.81,30.68,25.29,0.91,1006.2,1.5,1.71,219,0.33,9,15.701,260.1
26,2020-09-06 14:15:00,Humid and Partly Cloudy,partly-cloudy-day,0.6353,0.09,rain,26.64,30.46,25.77,0.95,1005.5,1.34,1.6,218,0.5,7,16.093,259.9
27,2020-09-06 15:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6843,0.12,rain,25.91,27.9,25.91,1.0,1005.2,1.14,1.45,219,0.61,4,16.093,259.5
28,2020-09-06 16:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6991,0.13,rain,25.0,26.4,25.0,1.0,1005.3,0.89,1.24,223,0.65,2,14.153,258.9
29,2020-09-06 17:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7065,0.14,rain,23.92,25.91,23.92,1.0,1005.7,0.65,1.04,221,0.67,1,10.145,258.4
30,2020-09-06 18:15:00,Humid and Mostly Cloudy,partly-cloudy-day,0.658,0.14,rain,22.68,24.68,22.68,1.0,1006.5,0.55,1.01,194,0.66,0,10.868,258.3
31,2020-09-06 19:15:00,Mostly Cloudy,partly-cloudy-night,0.5371,0.13,rain,21.38,23.26,21.38,1.0,1007.6,0.57,1.17,143,0.63,0,16.093,258.5
32,2020-09-06 20:15:00,Partly Cloudy,partly-cloudy-night,0.3977,0.12,rain,20.23,21.96,20.23,1.0,1008.8,0.62,1.36,95,0.58,0,16.093,258.8
33,2020-09-06 21:15:00,Partly Cloudy,partly-cloudy-night,0.2607,0.1,rain,19.51,21.07,19.51,1.0,1009.5,0.64,1.45,70,0.51,0,16.093,258.7
34,2020-09-06 22:15:00,Partly Cloudy,partly-cloudy-night,0.1328,0.09,rain,19.21,20.6,19.21,1.0,1009.9,0.65,1.47,67,0.42,0,16.093,258.3
35,2020-09-06 23:15:00,Partly Cloudy,partly-cloudy-night,0.0564,0.08,rain,19.02,20.26,19.02,1.0,1010.2,0.66,1.46,70,0.32,0,16.093,258.0
36,2020-09-07 00:15:00,Clear,clear-night,0.0458,0.08,rain,18.81,19.9,18.81,1.0,1010.2,0.69,1.44,65,0.22,0,16.093,258.3
37,2020-09-07 01:15:00,Clear,clear-night,0.0838,0.08,rain,18.58,19.54,18.58,1.0,1009.8,0.74,1.43,55,0.12,0,16.093,259.4
38,2020-09-07 02:15:00,Clear,clear-night,0.1366,0.08,rain,18.52,19.38,18.52,1.0,1009.5,0.79,1.41,46,0.03,0,16.093,260.5
39,2020-09-07 03:15:00,Clear,clear-night,0.1464,0.07,rain,18.5,19.23,18.5,1.0,1009.3,0.85,1.43,39,0.0,0,16.093,261.0
40,2020-09-07 04:15:00,Clear,clear-night,0.111,0.07,rain,18.37,18.94,18.37,1.0,1009.2,0.9,1.51,33,0.01,0,16.093,261.1
41,2020-09-07 05:15:00,Clear,clear-night,0.0796,0.07,rain,18.27,18.77,18.27,1.0,1009.4,0.94,1.54,37,0.02,0,16.093,261.1
42,2020-09-07 06:15:00,Clear,clear-day,0.0672,0.06,rain,18.36,18.86,18.36,1.0,1009.7,0.91,1.41,68,0.04,0,16.093,261.4
43,2020-09-07 07:15:00,Clear,clear-day,0.065,0.06,rain,19.11,19.72,19.11,1.0,1010.1,0.82,1.1,123,0.07,1,16.093,261.9
44,2020-09-07 08:15:00,Clear,clear-day,0.0763,0.06,rain,20.44,21.22,20.44,1.0,1010.5,0.75,0.84,181,0.1,2,16.093,262.3
45,2020-09-07 09:15:00,Clear,clear-day,0.1239,0.06,rain,21.6,22.5,21.6,1.0,1010.4,0.85,0.89,215,0.12,5,15.517,261.9
46,2020-09-07 10:15:00,Humid,clear-day,0.234,0.07,rain,22.7,23.68,22.7,1.0,1010.1,1.12,1.24,221,0.12,8,13.64,260.9
47,2020-09-07 11:15:00,Humid,clear-day,0.39,0.08,rain,23.86,24.91,23.82,1.0,1009.6,1.39,1.63,219,0.14,10,12.073,259.7
48,2020-09-07 12:15:00,Humid,clear-day,0.5384,0.08,rain,24.9,25.95,24.41,0.97,1009.0,1.5,1.81,218,0.22,10,10.847,258.8
