,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.2418,0.04,rain,32.22,34.39,19.97,0.48,1007.5,1.56,2.04,245,0.4,9,11.949,268.3
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.3864,0.05,rain,32.74,35.4,20.51,0.49,1006.3,1.62,2.26,247,0.52,8,10.721,268.4
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.5589,0.06,rain,32.44,35.61,21.2,0.52,1005.3,1.59,2.39,245,0.66,6,10.202,268.4
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0.6511,0.07,rain,31.92,35.71,22.0,0.56,1004.6,1.46,2.29,245,0.73,4,10.992,268.3
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5894,0.07,rain,31.57,36.4,23.17,0.61,1004.1,1.2,1.89,253,0.74,2,13.662,268.0
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4727,0.07,rain,30.77,35.82,23.63,0.66,1003.9,0.88,1.39,257,0.7,1,16.093,267.6
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3958,0.07,rain,29.59,34.31,23.8,0.71,1004.2,0.69,1.15,244,0.6,0,16.093,266.8
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3607,0.06,rain,28.25,32.12,23.7,0.76,1005.1,0.66,1.28,168,0.42,0,16.093,265.3
8,2020-09-05 20:00:00,Humid,clear-night,0.3644,0.07,rain,26.98,29.84,23.52,0.81,1006.2,0.68,1.53,93,0.21,0,16.093,263.6
9,2020-09-05 21:00:00,Humid,clear-night,0.4123,0.07,rain,25.98,27.69,23.11,0.84,1007.0,0.72,1.7,356,0.1,0,16.093,262.7
10,2020-09-05 22:00:00,Humid,clear-night,0.5077,0.08,rain,25.36,26.08,22.59,0.85,1007.4,0.76,1.76,0,0.12,0,13.798,262.8
11,2020-09-05 23:00:00,Clear,clear-night,0.6363,0.09,rain,24.89,25.66,22.21,0.85,1007.5,0.81,1.77,36,0.19,0,10.863,263.2
12,2020-09-06 00:00:00,Clear,clear-night,0.7363,0.11,rain,24.34,25.03,21.51,0.84,1007.5,0.82,1.69,47,0.28,0,9.697,263.5
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.7839,0.11,rain,23.83,24.45,20.86,0.83,1007.4,0.75,1.49,45,0.4,0,10.94,263.7
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.7973,0.11,rain,23.44,23.99,20.31,0.83,1007.1,0.66,1.25,43,0.54,0,13.18,263.7
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.7555,0.1,rain,23.17,23.66,19.82,0.81,1007.0,0.61,1.09,41,0.63,0,15.159,263.5
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.6476,0.09,rain,22.64,23.07,19.15,0.81,1007.0,0.62,1.05,42,0.66,0,16.093,263.0
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.5225,0.08,rain,21.95,22.3,18.41,0.8,1007.1,0.65,1.06,45,0.66,0,16.093,262.3
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.4206,0.07,rain,21.63,21.93,18.03,0.8,1007.4,0.65,1.06,60,0.64,0,16.093,262.1
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.3284,0.07,rain,22.37,22.69,18.32,0.78,1007.9,0.57,1.01,88,0.6,1,16.093,262.5
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.2628,0.06,rain,24.16,24.57,19.51,0.75,1008.5,0.5,0.98,163,0.55,2,16.093,263.0
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.2598,0.05,rain,25.92,26.7,20.49,0.72,1008.6,0.56,1.08,200,0.49,4,15.485,263.3
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.3355,0.06,rain,27.67,29.79,21.09,0.67,1008.1,0.78,1.32,219,0.42,7,12.554,263.2
