,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4461,0.07,rain,29.95,33.62,22.47,0.64,1007.3,1.56,2.14,279,0.36,9,11.993,267.8
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6061,0.07,rain,30.16,33.69,22.23,0.63,1006.2,1.61,2.34,279,0.59,8,14.172,267.5
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7536,0.08,rain,29.7,33.3,22.5,0.65,1005.2,1.58,2.44,273,0.83,5,16.093,267.2
3,2020-09-05 15:00:00,Humid and Overcast,cloudy,0.8061,0.08,rain,29.13,32.91,22.96,0.69,1004.5,1.47,2.39,258,0.95,4,16.093,266.8
4,2020-09-05 16:00:00,Humid and Overcast,cloudy,0.7111,0.08,rain,28.81,33.02,23.69,0.74,1004.0,1.3,2.18,241,0.92,2,16.093,266.5
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5549,0.08,rain,28.3,32.29,23.8,0.77,1003.8,1.12,1.86,288,0.8,1,13.595,266.1
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3998,0.08,rain,27.29,30.46,23.68,0.81,1004.1,0.94,1.6,287,0.64,0,13.221,265.3
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2375,0.07,rain,25.89,27.66,23.24,0.85,1005.0,0.78,1.39,11,0.41,0,16.093,264.1
8,2020-09-05 20:00:00,Humid,clear-night,0.1149,0.05,rain,24.47,25.26,22.84,0.91,1006.1,0.64,1.23,135,0.16,0,16.093,262.8
9,2020-09-05 21:00:00,Humid,clear-night,0.0721,0.04,rain,23.48,24.41,22.94,0.97,1006.8,0.57,1.22,201,0.02,0,16.093,262.2
10,2020-09-05 22:00:00,Humid,clear-night,0.0955,0.06,rain,23.0,24.05,23.0,1.0,1007.1,0.6,1.42,195,0.02,0,16.093,262.5
