,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.3243,0.05,rain,33.45,36.76,21.12,0.49,1007.2,1.47,2.07,259,0.41,9,14.884,268.5
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.4154,0.06,rain,34.15,37.92,21.44,0.48,1006.2,1.54,2.27,262,0.57,7,13.655,268.5
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.4917,0.06,rain,34.14,38.5,22.05,0.49,1005.1,1.53,2.36,256,0.76,6,13.117,268.4
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.53,0.06,rain,33.7,38.79,22.83,0.53,1004.4,1.43,2.28,252,0.85,4,13.908,268.3
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5084,0.06,rain,33.11,39.07,23.74,0.58,1003.9,1.24,1.97,250,0.81,2,16.093,268.1
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4539,0.06,rain,31.85,37.65,23.95,0.63,1003.7,1.0,1.58,249,0.71,1,16.093,267.8
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3812,0.07,rain,30.39,35.84,24.15,0.69,1004.0,0.82,1.33,249,0.57,0,16.093,267.0
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2828,0.06,rain,28.94,33.89,24.45,0.77,1004.8,0.71,1.27,223,0.37,0,16.093,265.4
8,2020-09-05 20:00:00,Humid,clear-night,0.2132,0.06,rain,27.42,31.23,24.54,0.84,1005.9,0.63,1.31,156,0.16,0,16.093,263.7
9,2020-09-05 21:00:00,Humid,clear-night,0.215,0.06,rain,26.25,28.69,24.45,0.9,1006.7,0.61,1.4,183,0.03,0,16.093,262.7
10,2020-09-05 22:00:00,Humid,clear-night,0.2951,0.08,rain,25.59,27.03,24.22,0.92,1007.0,0.67,1.56,151,0.04,0,16.093,262.8
11,2020-09-05 23:00:00,Humid,clear-night,0.43,0.1,rain,25.17,26.14,24.01,0.93,1007.1,0.75,1.74,109,0.06,0,13.402,263.3
12,2020-09-06 00:00:00,Humid,clear-night,0.5422,0.11,rain,24.75,25.77,23.95,0.95,1007.1,0.78,1.78,89,0.11,0,11.501,263.6
13,2020-09-06 01:00:00,Humid,clear-night,0.59,0.11,rain,24.24,25.19,23.29,0.94,1007.0,0.73,1.64,78,0.19,0,12.734,263.7
14,2020-09-06 02:00:00,Humid,clear-night,0.6136,0.1,rain,23.87,24.74,22.62,0.93,1006.7,0.64,1.43,69,0.29,0,15.024,263.6
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.6215,0.09,rain,23.46,24.24,21.92,0.91,1006.6,0.61,1.29,62,0.35,0,16.093,263.4
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.61,0.09,rain,22.78,23.48,21.12,0.9,1006.6,0.64,1.23,64,0.36,0,16.093,262.9
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.5884,0.09,rain,22.16,22.78,20.46,0.9,1006.8,0.69,1.21,69,0.36,0,15.521,262.4
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.5637,0.09,rain,22.06,22.65,20.2,0.89,1007.0,0.68,1.18,79,0.35,0,14.384,262.2
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.5239,0.08,rain,22.99,23.55,20.44,0.86,1007.6,0.55,1.09,97,0.35,1,12.56,262.6
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.4867,0.07,rain,24.99,25.93,21.66,0.82,1008.2,0.43,1.03,231,0.35,2,10.536,263.2
21,2020-09-06 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4914,0.06,rain,27.12,29.65,22.69,0.77,1008.3,0.48,1.15,231,0.33,5,9.263,263.5
22,2020-09-06 10:00:00,Humid,clear-day,0.5636,0.07,rain,29.1,32.74,22.84,0.69,1007.8,0.77,1.5,238,0.29,7,8.896,263.5
23,2020-09-06 11:00:00,Humid,clear-day,0.6792,0.08,rain,31.0,35.04,22.53,0.61,1007.0,1.15,1.93,277,0.25,9,9.078,263.3
24,2020-09-06 12:00:00,Humid,clear-day,0.7781,0.08,rain,32.46,37.14,22.77,0.57,1006.2,1.41,2.26,263,0.23,10,9.905,263.2
25,2020-09-06 13:00:00,Humid,clear-day,0.8391,0.09,rain,33.35,39.0,23.42,0.56,1005.3,1.51,2.44,264,0.25,9,11.667,263.4
26,2020-09-06 14:00:00,Humid,clear-day,0.9123,0.08,rain,33.58,40.51,24.37,0.59,1004.4,1.54,2.54,220,0.28,7,13.709,263.6
27,2020-09-06 15:00:00,Humid,clear-day,0.963,0.08,rain,33.31,41.79,25.51,0.64,1003.9,1.51,2.54,248,0.29,5,14.739,263.5
28,2020-09-06 16:00:00,Humid,clear-day,0.9377,0.08,rain,32.45,42.68,26.83,0.72,1003.8,1.39,2.4,259,0.3,3,14.292,262.8
29,2020-09-06 17:00:00,Humid,clear-day,0.8769,0.08,rain,30.87,41.6,27.71,0.83,1004.1,1.23,2.18,218,0.3,1,13.413,262.0
30,2020-09-06 18:00:00,Humid,clear-day,0.8544,0.1,rain,29.3,39.15,28.04,0.93,1004.7,1.1,2.01,229,0.29,0,13.176,261.6
31,2020-09-06 19:00:00,Humid,clear-night,0.9095,0.12,rain,27.88,35.85,27.79,0.99,1005.7,0.99,1.91,216,0.26,0,13.736,261.6
32,2020-09-06 20:00:00,Humid,clear-night,0.9893,0.14,rain,26.58,31.78,26.58,1.0,1007.0,0.88,1.82,212,0.23,0,14.755,261.8
33,2020-09-06 21:00:00,Humid,clear-night,0.9741,0.14,rain,25.58,27.16,25.58,1.0,1007.8,0.78,1.7,198,0.2,0,16.093,261.7
