,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3186,0.11,rain,30.7,41.02,27.55,0.83,1007.3,1.7,2.35,186,0.78,7,15.209,265.8
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.397,0.11,rain,31.23,43.24,28.23,0.84,1006.3,1.7,2.77,194,0.67,7,14.778,265.2
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4981,0.12,rain,31.29,44.86,28.98,0.88,1005.3,1.61,3.12,219,0.56,6,14.816,264.6
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.569,0.13,rain,31.0,45.68,29.63,0.92,1004.5,1.48,3.14,208,0.51,4,15.491,264.2
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6279,0.15,rain,30.38,45.91,30.33,1.0,1004.0,1.29,2.69,114,0.55,2,16.093,264.0
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7613,0.15,rain,29.33,43.64,29.33,1.0,1003.7,1.06,2.07,13,0.62,1,16.093,263.9
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7684,0.16,rain,28.38,40.26,28.38,1.0,1003.8,0.9,1.64,332,0.71,0,16.093,263.5
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5337,0.16,rain,27.73,37.4,27.73,1.0,1004.7,0.85,1.48,356,0.83,0,16.093,263.1
8,2020-09-05 20:00:00,Humid and Overcast,cloudy,0.4447,0.14,rain,27.12,34.74,27.12,1.0,1005.7,0.83,1.42,13,0.95,0,16.093,262.5
9,2020-09-05 21:00:00,Humid and Overcast,cloudy,0.6328,0.16,rain,26.61,32.21,26.61,1.0,1006.4,0.8,1.37,36,1.0,0,16.093,261.7
