,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3337,0.09,rain,24.44,25.25,22.39,0.88,1007.5,1.83,2.69,201,0.71,8,12.489,265.1
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4845,0.09,rain,24.77,25.68,23.19,0.91,1006.4,1.93,2.98,209,0.67,7,13.169,264.5
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6847,0.09,rain,24.34,25.42,24.2,0.99,1005.4,1.93,3.12,215,0.64,6,14.644,263.9
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8286,0.11,rain,23.41,24.68,23.41,1.0,1004.7,1.81,3.11,203,0.64,4,16.093,263.4
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9374,0.14,rain,22.28,23.81,22.28,1.0,1004.2,1.55,2.89,184,0.68,2,16.093,263.3
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,1.169,0.15,rain,21.29,23.03,21.29,1.0,1004.0,1.22,2.56,284,0.73,1,16.093,263.2
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,1.215,0.16,rain,20.43,22.21,20.43,1.0,1004.3,0.96,2.22,228,0.8,0,16.093,262.9
7,2020-09-05 19:00:00,Overcast,cloudy,0.8062,0.15,rain,19.86,21.53,19.86,1.0,1005.1,0.82,1.88,221,0.88,0,16.093,262.3
8,2020-09-05 20:00:00,Overcast,cloudy,0.4271,0.13,rain,19.29,20.8,19.29,1.0,1006.2,0.7,1.54,14,0.96,0,16.043,261.4
9,2020-09-05 21:00:00,Overcast,cloudy,0.337,0.12,rain,18.67,20.03,18.67,1.0,1006.9,0.63,1.31,32,0.97,0,13.578,260.7
10,2020-09-05 22:00:00,Overcast,cloudy,0.4214,0.13,rain,18.25,19.5,18.25,1.0,1007.0,0.57,1.18,26,0.89,0,10.69,259.8
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.5764,0.15,rain,18.01,19.17,18.01,1.0,1006.8,0.54,1.14,22,0.77,0,8.136,259.0
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.6437,0.19,rain,17.83,18.93,17.83,1.0,1006.6,0.55,1.18,19,0.68,0,8.047,258.7
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.5161,0.19,rain,17.76,18.81,17.76,1.0,1006.4,0.6,1.32,19,0.64,0,11.346,259.2
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.3483,0.14,rain,17.73,18.74,17.73,1.0,1006.1,0.67,1.5,24,0.62,0,15.966,260.0
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.2587,0.12,rain,17.68,18.65,17.68,1.0,1006.0,0.74,1.6,27,0.63,0,16.093,260.7
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.2481,0.12,rain,17.42,18.36,17.42,1.0,1006.1,0.8,1.6,27,0.67,0,16.093,261.2
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.2581,0.11,rain,17.13,18.02,17.13,1.0,1006.2,0.83,1.54,30,0.73,0,16.093,261.6
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.2246,0.1,rain,17.2,18.03,17.2,1.0,1006.6,0.79,1.38,50,0.79,0,16.093,262.4
19,2020-09-06 07:00:00,Overcast,cloudy,0.128,0.08,rain,17.99,18.8,17.99,1.0,1007.5,0.6,1.03,97,0.88,1,16.093,263.7
20,2020-09-06 08:00:00,Overcast,cloudy,0.0655,0.05,rain,19.25,20.03,19.25,1.0,1008.4,0.43,0.7,160,0.96,2,16.093,265.0
21,2020-09-06 09:00:00,Overcast,cloudy,0.0641,0.04,rain,20.53,21.34,20.53,1.0,1008.7,0.52,0.79,209,0.98,4,16.093,265.5
22,2020-09-06 10:00:00,Overcast,cloudy,0.119,0.05,rain,21.74,22.58,21.72,1.0,1008.1,0.98,1.46,211,0.91,5,16.093,264.8
23,2020-09-06 11:00:00,Mostly Cloudy,partly-cloudy-day,0.2508,0.06,rain,22.97,23.8,22.09,0.95,1007.2,1.55,2.33,203,0.8,7,15.871,263.5
24,2020-09-06 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4089,0.08,rain,24.24,25.05,22.34,0.89,1006.5,1.91,2.9,203,0.73,7,14.804,262.2
25,2020-09-06 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5375,0.09,rain,25.04,25.86,22.67,0.87,1005.6,2.0,3.09,203,0.7,7,16.093,260.7
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.654,0.09,rain,25.23,26.1,23.06,0.88,1004.9,1.95,3.09,201,0.68,6,16.093,259.2
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7372,0.09,rain,24.52,25.48,23.49,0.94,1004.5,1.83,2.95,202,0.68,4,16.093,258.3
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7728,0.11,rain,23.41,24.54,23.41,1.0,1004.4,1.61,2.63,211,0.7,2,16.093,258.4
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.7706,0.13,rain,22.01,23.33,22.01,1.0,1004.6,1.32,2.22,218,0.74,1,16.093,258.9
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.7342,0.14,rain,21.0,22.42,21.0,1.0,1005.1,1.04,1.8,206,0.79,0,13.59,259.2
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,0.6631,0.14,rain,20.0,21.45,20.0,1.0,1006.0,0.75,1.4,167,0.87,0,12.06,259.5
32,2020-09-06 20:00:00,Overcast,cloudy,0.6065,0.15,rain,19.17,20.56,19.17,1.0,1007.2,0.5,1.03,102,0.96,0,10.958,259.9
33,2020-09-06 21:00:00,Overcast,cloudy,0.5705,0.16,rain,18.48,19.79,18.48,1.0,1007.8,0.37,0.81,12,1.0,0,10.415,260.1
34,2020-09-06 22:00:00,Overcast,cloudy,0.5453,0.17,rain,18.17,19.39,18.17,1.0,1008.0,0.39,0.81,22,1.0,0,10.359,260.4
35,2020-09-06 23:00:00,Overcast,cloudy,0.5488,0.21,rain,18.12,19.25,18.12,1.0,1007.9,0.49,0.91,22,0.99,0,10.912,260.6
36,2020-09-07 00:00:00,Possible Light Rain,rain,0.5343,0.26,rain,18.06,19.12,18.06,1.0,1007.8,0.58,1.02,11,0.99,0,12.6,260.5
