,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3724,0.08,rain,29.82,34.84,24.0,0.71,1007.4,1.69,2.58,200,0.65,7,12.877,265.2
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5553,0.09,rain,30.31,36.49,24.84,0.73,1006.4,1.85,2.9,208,0.6,7,14.627,264.4
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7855,0.09,rain,30.05,37.35,25.87,0.78,1005.4,1.94,3.12,215,0.55,6,16.093,263.6
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9724,0.09,rain,29.49,38.03,27.1,0.87,1004.7,1.92,3.21,214,0.55,4,16.093,263.2
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.1372,0.12,rain,28.47,37.7,28.19,0.98,1004.3,1.74,3.16,215,0.61,2,15.973,263.3
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3859,0.14,rain,27.07,34.21,27.07,1.0,1004.1,1.47,3.0,247,0.69,1,13.252,263.6
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.4396,0.17,rain,25.95,28.51,25.95,1.0,1004.4,1.24,2.78,219,0.77,0,11.368,263.4
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.0634,0.17,rain,25.33,26.48,25.33,1.0,1005.3,1.05,2.46,176,0.87,0,10.728,262.7
8,2020-09-05 20:00:00,Humid and Overcast,cloudy,0.6685,0.16,rain,24.72,26.04,24.72,1.0,1006.5,0.87,2.09,57,0.95,0,10.486,261.7
9,2020-09-05 21:00:00,Humid and Overcast,cloudy,0.5205,0.15,rain,24.14,25.33,24.14,1.0,1007.2,0.73,1.77,340,0.98,0,10.114,260.8
10,2020-09-05 22:00:00,Humid and Overcast,cloudy,0.5457,0.15,rain,23.72,24.82,23.72,1.0,1007.3,0.63,1.47,336,0.91,0,9.203,259.9
11,2020-09-05 23:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.625,0.17,rain,23.4,24.45,23.4,1.0,1007.1,0.56,1.21,18,0.81,0,8.612,259.1
12,2020-09-06 00:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.6298,0.21,rain,23.03,24.02,23.03,1.0,1006.9,0.51,1.05,31,0.72,0,9.769,258.9
13,2020-09-06 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4919,0.19,rain,22.63,23.53,22.46,0.99,1006.7,0.51,1.0,31,0.65,0,13.462,259.3
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.3325,0.15,rain,22.37,23.22,22.02,0.98,1006.4,0.54,1.02,32,0.59,0,16.093,260.1
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.2363,0.12,rain,22.05,22.84,21.53,0.97,1006.3,0.56,1.03,34,0.57,0,16.093,260.7
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.1968,0.11,rain,21.38,22.09,20.78,0.96,1006.4,0.6,1.03,34,0.6,0,16.093,261.0
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.1787,0.1,rain,20.7,21.36,20.2,0.97,1006.5,0.63,1.03,36,0.66,0,16.093,261.5
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.152,0.09,rain,20.6,21.25,20.08,0.97,1006.8,0.61,0.96,51,0.73,0,16.093,262.2
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.1035,0.08,rain,21.72,22.39,20.66,0.94,1007.4,0.48,0.74,95,0.83,1,16.093,263.4
20,2020-09-06 08:00:00,Overcast,cloudy,0.0784,0.06,rain,23.75,24.45,21.79,0.89,1008.0,0.37,0.56,161,0.93,2,16.093,264.6
21,2020-09-06 09:00:00,Humid and Overcast,cloudy,0.0975,0.05,rain,25.71,26.96,23.08,0.85,1008.2,0.47,0.7,242,0.96,4,16.093,265.1
22,2020-09-06 10:00:00,Humid and Overcast,cloudy,0.1731,0.06,rain,27.24,30.42,23.76,0.81,1007.8,0.89,1.32,227,0.88,5,16.093,264.5
23,2020-09-06 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3133,0.07,rain,28.31,32.12,23.55,0.75,1007.1,1.39,2.09,200,0.76,7,16.093,263.4
24,2020-09-06 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4691,0.08,rain,29.52,34.21,23.8,0.71,1006.4,1.73,2.64,206,0.69,7,15.448,262.1
25,2020-09-06 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6031,0.09,rain,30.37,35.89,24.22,0.7,1005.7,1.84,2.91,207,0.69,7,16.093,260.4
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7345,0.09,rain,30.6,36.77,24.7,0.71,1004.9,1.84,3.03,204,0.71,6,16.093,258.6
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8325,0.09,rain,30.24,37.39,25.64,0.76,1004.5,1.77,2.98,205,0.73,4,16.093,257.7
