,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0519,0.03,rain,31.75,41.93,27.03,0.76,1006.6,1.71,1.78,218,0.77,7,16.093,268.3
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0591,0.04,rain,32.9,43.4,26.84,0.71,1005.6,1.88,2.03,237,0.59,7,16.093,267.9
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0768,0.05,rain,33.77,44.3,26.64,0.66,1004.6,2.05,2.55,271,0.37,7,16.093,267.4
3,2020-09-05 15:00:00,Humid,clear-day,0.0853,0.05,rain,33.97,44.61,26.64,0.66,1003.7,2.09,2.8,248,0.25,5,16.093,267.0
4,2020-09-05 16:00:00,Humid,clear-day,0.0677,0.04,rain,33.45,44.58,27.04,0.69,1003.1,1.94,2.69,226,0.26,2,16.093,266.6
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0699,0.04,rain,32.2,43.27,27.37,0.76,1002.6,1.74,2.44,313,0.32,1,16.093,266.3
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0843,0.04,rain,30.82,41.42,27.65,0.83,1002.8,1.6,2.15,271,0.33,0,16.093,265.9
7,2020-09-05 19:00:00,Humid,clear-night,0.0737,0.05,rain,29.5,38.59,27.45,0.89,1003.5,1.57,1.82,267,0.26,0,16.093,265.9
8,2020-09-05 20:00:00,Humid,clear-night,0.0703,0.06,rain,28.12,35.19,26.96,0.93,1004.5,1.55,1.56,47,0.18,0,16.093,265.8
9,2020-09-05 21:00:00,Humid,clear-night,0.1541,0.07,rain,27.31,33.35,26.79,0.97,1005.2,1.49,1.51,28,0.17,0,16.093,265.2
10,2020-09-05 22:00:00,Humid,clear-night,0.4889,0.12,rain,26.86,32.08,26.7,0.99,1005.3,1.39,1.46,60,0.22,0,16.093,264.1
