,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.061,0.05,rain,33.06,43.39,26.7,0.69,1006.1,1.47,1.58,216,0.85,6,16.093,268.9
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0375,0.04,rain,34.06,44.26,26.37,0.64,1005.1,1.64,1.93,223,0.59,7,16.093,268.2
2,2020-09-05 14:00:00,Humid,clear-day,0.0257,0.04,rain,34.82,44.79,26.07,0.61,1004.0,1.86,2.5,285,0.3,7,16.093,267.6
3,2020-09-05 15:00:00,Humid,clear-day,0.037,0.05,rain,35.06,45.06,26.04,0.6,1003.1,1.99,2.87,272,0.17,5,16.093,267.2
4,2020-09-05 16:00:00,Humid,clear-day,0.0836,0.06,rain,34.53,44.97,26.41,0.63,1002.5,1.99,2.98,265,0.23,2,16.093,266.8
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.18,0.07,rain,33.32,44.28,26.98,0.7,1002.1,1.96,2.98,276,0.37,1,16.093,266.7
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2137,0.07,rain,31.98,43.08,27.46,0.77,1002.2,1.99,2.86,259,0.47,0,16.093,266.5
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1057,0.04,rain,30.65,40.75,27.44,0.83,1002.9,2.09,2.57,217,0.5,0,16.093,266.5
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0206,0.04,rain,29.27,37.47,27.01,0.88,1003.9,2.21,2.32,148,0.51,0,16.093,266.4
9,2020-09-05 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0329,0.05,rain,28.3,35.14,26.66,0.91,1004.6,2.24,2.4,26,0.54,0,16.093,266.0
10,2020-09-05 22:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1566,0.07,rain,27.7,33.72,26.45,0.93,1004.7,2.2,2.32,34,0.59,0,16.093,265.0
11,2020-09-05 23:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4271,0.11,rain,27.27,32.62,26.2,0.94,1004.7,2.1,2.21,50,0.64,0,16.093,263.9
12,2020-09-06 00:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.6468,0.18,rain,26.85,31.38,26.01,0.95,1004.6,1.93,2.08,52,0.71,0,16.093,263.3
13,2020-09-06 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.6785,0.2,rain,26.29,29.09,25.6,0.96,1004.5,1.68,1.81,31,0.8,0,16.093,263.1
14,2020-09-06 02:00:00,Humid and Overcast,cloudy,0.6596,0.17,rain,25.91,28.03,25.33,0.97,1004.3,1.39,1.54,7,0.89,0,16.093,263.3
15,2020-09-06 03:00:00,Humid and Overcast,cloudy,0.5381,0.14,rain,25.57,27.06,25.29,0.98,1004.2,1.23,1.38,7,0.9,0,16.093,263.6
16,2020-09-06 04:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2438,0.1,rain,25.31,26.46,25.16,0.99,1004.1,1.22,1.34,38,0.79,0,16.093,263.9
17,2020-09-06 05:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.037,0.06,rain,25.18,26.32,25.04,0.99,1004.2,1.27,1.36,80,0.65,0,16.093,264.3
18,2020-09-06 06:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0059,0.03,rain,25.35,26.63,25.17,0.99,1004.6,1.32,1.36,108,0.58,0,16.093,264.9
19,2020-09-06 07:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0348,0.03,rain,26.17,28.9,25.63,0.97,1005.3,1.34,1.35,114,0.63,1,16.093,265.9
20,2020-09-06 08:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1236,0.05,rain,27.58,33.28,26.19,0.92,1006.1,1.41,1.41,115,0.7,2,16.093,266.8
21,2020-09-06 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1791,0.06,rain,28.8,35.91,26.53,0.88,1006.6,1.59,1.59,124,0.7,4,16.093,267.3
22,2020-09-06 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1142,0.06,rain,29.47,37.04,26.44,0.84,1006.6,1.93,1.94,143,0.57,6,16.093,267.3
23,2020-09-06 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0511,0.05,rain,29.93,37.69,26.28,0.81,1006.1,2.3,2.4,159,0.43,8,16.093,267.0
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0333,0.04,rain,30.49,38.67,26.29,0.78,1005.5,2.54,2.85,160,0.41,9,16.093,266.5
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0304,0.04,rain,31.43,40.48,26.46,0.75,1004.8,2.67,2.99,158,0.57,7,16.093,265.5
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0316,0.05,rain,32.1,41.72,26.57,0.73,1004.0,2.75,2.97,164,0.77,5,16.093,264.5
27,2020-09-06 15:00:00,Humid and Overcast,cloudy,0.032,0.05,rain,32.34,42.28,26.68,0.72,1003.4,2.84,2.93,162,0.88,4,16.093,263.9
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0267,0.05,rain,32.14,42.37,26.92,0.74,1003.1,2.97,3.03,128,0.84,2,16.093,263.9
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0207,0.06,rain,31.41,41.21,26.93,0.77,1003.0,3.04,3.05,68,0.75,1,16.093,264.2
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0215,0.06,rain,30.37,39.39,26.92,0.82,1003.3,2.95,2.95,43,0.62,0,16.093,264.2
31,2020-09-06 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0394,0.07,rain,29.33,37.02,26.61,0.85,1004.1,2.68,2.71,49,0.43,0,16.093,263.8
32,2020-09-06 20:00:00,Humid,clear-night,0.0838,0.08,rain,28.23,34.22,26.03,0.88,1005.1,2.36,2.44,53,0.24,0,16.093,263.3
33,2020-09-06 21:00:00,Humid,clear-night,0.1518,0.1,rain,27.54,32.48,25.62,0.89,1005.8,2.08,2.2,58,0.13,0,16.093,263.1
34,2020-09-06 22:00:00,Humid,clear-night,0.2621,0.12,rain,27.17,31.53,25.35,0.9,1005.9,1.85,2.01,61,0.16,0,16.093,263.1
35,2020-09-06 23:00:00,Humid,clear-night,0.4022,0.15,rain,26.99,31.0,25.13,0.9,1005.8,1.67,1.86,65,0.23,0,16.093,263.2
36,2020-09-07 00:00:00,Humid,clear-night,0.4241,0.17,rain,26.8,30.49,25.1,0.9,1005.7,1.63,1.9,70,0.25,0,16.093,263.4
37,2020-09-07 01:00:00,Humid,clear-night,0.2583,0.14,rain,26.29,28.95,25.13,0.93,1005.5,1.8,2.65,73,0.2,0,16.093,263.8
