,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2459,0.06,rain,25.91,27.76,24.86,0.94,1007.5,1.6,1.75,228,0.67,7,10.283,265.5
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.368,0.07,rain,26.85,30.45,25.19,0.91,1006.3,1.66,1.87,227,0.65,7,9.905,265.1
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5177,0.08,rain,27.09,31.43,25.5,0.91,1005.3,1.66,1.95,225,0.62,6,9.702,264.6
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6305,0.08,rain,26.47,29.74,26.22,0.99,1004.5,1.57,1.92,226,0.62,4,8.833,263.9
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6888,0.09,rain,25.54,27.62,25.54,1.0,1004.1,1.33,1.72,236,0.65,2,6.758,262.6
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7383,0.11,rain,24.16,25.96,24.16,1.0,1004.0,1.04,1.44,243,0.69,1,4.317,261.3
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7189,0.12,rain,23.03,25.03,23.03,1.0,1004.4,0.78,1.17,220,0.7,0,3.899,260.6
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5643,0.13,rain,22.08,24.01,22.08,1.0,1005.4,0.54,0.92,155,0.65,0,6.152,260.7
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.3875,0.13,rain,21.33,23.15,21.33,1.0,1006.6,0.33,0.7,67,0.58,0,9.464,261.2
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.2679,0.12,rain,20.62,22.3,20.62,1.0,1007.4,0.24,0.56,11,0.54,0,12.262,261.4
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.1856,0.11,rain,20.07,21.6,20.07,1.0,1007.7,0.29,0.51,12,0.53,0,14.324,261.1
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.1229,0.1,rain,19.65,20.99,19.65,1.0,1007.8,0.4,0.55,19,0.53,0,16.093,260.7
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.076,0.09,rain,19.29,20.43,19.29,1.0,1008.0,0.48,0.62,25,0.54,0,16.093,260.3
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.0322,0.07,rain,19.04,20.0,19.04,1.0,1007.9,0.54,0.66,32,0.54,0,16.093,259.9
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0075,0.03,rain,18.85,19.67,18.85,1.0,1007.3,0.59,0.69,30,0.55,0,16.093,259.5
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,18.86,19.57,18.86,1.0,1007.2,0.65,0.72,28,0.56,0,16.093,259.0
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0043,0.01,rain,18.63,19.17,18.63,1.0,1007.2,0.72,0.75,26,0.58,0,16.093,258.4
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0113,0.03,rain,18.3,18.73,17.92,0.98,1007.4,0.79,0.79,32,0.59,0,16.093,257.9
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0177,0.03,rain,18.22,18.62,17.68,0.97,1007.8,0.86,0.86,59,0.59,0,16.093,258.1
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0167,0.03,rain,19.34,19.82,18.57,0.95,1008.3,0.94,0.98,116,0.59,1,16.093,259.1
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0167,0.02,rain,21.05,21.68,20.19,0.95,1008.9,1.05,1.17,180,0.57,2,16.093,260.3
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0296,0.03,rain,22.56,23.34,21.66,0.95,1009.1,1.21,1.37,221,0.58,4,16.093,261.0
22,2020-09-06 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0744,0.05,rain,23.68,24.55,22.73,0.94,1008.4,1.42,1.61,230,0.6,6,16.093,260.6
23,2020-09-06 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1683,0.06,rain,24.88,25.95,23.6,0.93,1007.4,1.62,1.83,226,0.63,7,14.054,260.0
24,2020-09-06 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.308,0.07,rain,25.98,27.95,24.36,0.91,1006.5,1.74,1.97,222,0.67,8,10.395,259.2
25,2020-09-06 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5151,0.08,rain,26.53,29.5,24.93,0.91,1005.5,1.76,1.99,221,0.71,7,8.751,258.3
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7838,0.09,rain,26.39,29.33,25.41,0.94,1004.6,1.7,1.94,219,0.76,6,7.914,257.4
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9826,0.09,rain,25.74,27.47,25.74,1.0,1004.1,1.56,1.79,218,0.8,4,7.089,256.9
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0361,0.1,rain,24.98,25.58,24.98,1.0,1004.1,1.29,1.52,224,0.81,2,6.015,256.9
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0282,0.12,rain,23.88,25.83,23.88,1.0,1004.4,0.97,1.19,228,0.83,1,5.272,257.1
