,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2361,0.06,rain,24.23,25.45,24.23,1,1007.6,1.64,1.85,228,0.71,8,10.713,265.7
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3473,0.07,rain,24.99,26.21,24.99,1,1006.5,1.7,2.0,227,0.7,7,10.172,265.2
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4944,0.08,rain,25.27,26.57,25.27,1,1005.3,1.7,2.11,225,0.68,6,9.795,264.6
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6084,0.08,rain,24.83,26.32,24.83,1,1004.6,1.6,2.07,225,0.68,4,8.735,263.8
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6723,0.1,rain,24.11,25.9,24.11,1,1004.2,1.35,1.81,234,0.7,2,6.425,262.6
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.756,0.12,rain,22.95,25.05,22.95,1,1004.0,1.04,1.47,240,0.72,1,3.78,261.3
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.7843,0.13,rain,22.04,24.27,22.04,1,1004.4,0.76,1.16,217,0.73,0,3.301,260.6
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.6652,0.13,rain,21.1,23.28,21.1,1,1005.4,0.54,0.92,154,0.69,0,5.687,260.7
8,2020-09-05 20:00:00,Mostly Cloudy,partly-cloudy-night,0.5049,0.13,rain,20.4,22.5,20.4,1,1006.5,0.34,0.74,67,0.65,0,9.216,261.2
9,2020-09-05 21:00:00,Mostly Cloudy,partly-cloudy-night,0.3732,0.12,rain,19.84,21.83,19.84,1,1007.3,0.24,0.61,11,0.62,0,12.193,261.4
10,2020-09-05 22:00:00,Mostly Cloudy,partly-cloudy-night,0.2505,0.12,rain,19.49,21.37,19.49,1,1007.6,0.27,0.56,15,0.61,0,14.381,261.1
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.1477,0.11,rain,19.19,20.94,19.19,1,1007.7,0.36,0.57,18,0.62,0,16.093,260.6
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0824,0.09,rain,18.72,20.28,18.72,1,1008.1,0.43,0.6,22,0.62,0,16.093,260.2
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0354,0.07,rain,18.18,19.54,18.18,1,1007.9,0.48,0.63,30,0.63,0,16.093,259.8
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0101,0.05,rain,17.99,19.2,17.99,1,1007.3,0.52,0.65,28,0.65,0,16.093,259.4
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0047,0.03,rain,17.88,18.94,17.88,1,1006.9,0.58,0.68,26,0.65,0,16.093,259.0
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0067,0.03,rain,17.28,18.13,17.28,1,1007.0,0.66,0.7,25,0.65,0,16.093,258.5
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0155,0.04,rain,16.25,16.91,16.25,1,1007.5,0.74,0.74,32,0.65,0,16.093,258.1
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0238,0.04,rain,15.97,16.54,15.97,1,1008.0,0.82,0.82,62,0.63,0,16.093,258.3
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0228,0.03,rain,17.19,17.85,17.19,1,1008.5,0.91,0.95,119,0.6,1,16.093,259.3
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.023,0.03,rain,19.05,19.9,19.05,1,1009.2,1.04,1.19,183,0.57,2,16.093,260.5
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0388,0.03,rain,20.77,21.78,20.77,1,1009.3,1.22,1.43,223,0.56,5,16.093,261.2
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.0911,0.05,rain,22.2,23.33,22.2,1,1008.5,1.43,1.68,232,0.58,7,16.093,260.9
23,2020-09-06 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1932,0.06,rain,23.33,24.48,23.33,1,1007.4,1.64,1.93,227,0.62,8,14.238,260.2
24,2020-09-06 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3291,0.07,rain,24.21,25.36,24.21,1,1006.6,1.76,2.07,222,0.66,8,10.601,259.5
25,2020-09-06 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5142,0.08,rain,24.66,25.88,24.66,1,1005.5,1.78,2.07,221,0.72,7,8.83,258.5
26,2020-09-06 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7631,0.09,rain,24.63,25.99,24.63,1,1004.7,1.73,1.99,219,0.78,6,7.873,257.5
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9538,0.09,rain,24.19,25.74,24.19,1,1004.2,1.58,1.83,218,0.82,4,7.227,257.0
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0096,0.1,rain,23.53,25.36,23.53,1,1004.1,1.32,1.56,222,0.83,2,6.801,257.0
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0199,0.13,rain,22.7,24.8,22.7,1,1004.4,0.99,1.23,223,0.83,1,6.799,257.3
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,1.006,0.14,rain,21.92,24.16,21.92,1,1005.0,0.73,0.99,211,0.84,0,7.251,257.5
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,0.9308,0.15,rain,21.09,23.25,21.09,1,1006.1,0.54,0.84,182,0.86,0,8.16,257.7
32,2020-09-06 20:00:00,Overcast,cloudy,0.8223,0.14,rain,20.42,22.51,20.42,1,1007.4,0.38,0.76,147,0.88,0,9.513,257.9
33,2020-09-06 21:00:00,Overcast,cloudy,0.7213,0.14,rain,19.91,21.91,19.91,1,1008.3,0.3,0.76,272,0.89,0,11.457,258.0
34,2020-09-06 22:00:00,Overcast,cloudy,0.6323,0.15,rain,19.58,21.48,19.58,1,1008.5,0.35,0.85,343,0.89,0,14.328,257.9
35,2020-09-06 23:00:00,Overcast,cloudy,0.5387,0.18,rain,19.33,21.1,19.33,1,1008.5,0.45,0.96,28,0.88,0,16.093,257.6
36,2020-09-07 00:00:00,Mostly Cloudy,partly-cloudy-night,0.4243,0.19,rain,18.93,20.55,18.93,1,1008.4,0.51,1.0,40,0.86,0,16.093,257.6
37,2020-09-07 01:00:00,Mostly Cloudy,partly-cloudy-night,0.2849,0.16,rain,18.5,19.96,18.5,1,1008.3,0.5,0.93,67,0.81,0,16.093,257.9
38,2020-09-07 02:00:00,Mostly Cloudy,partly-cloudy-night,0.1734,0.12,rain,18.4,19.77,18.4,1,1008.1,0.48,0.82,85,0.75,0,16.093,258.3
39,2020-09-07 03:00:00,Mostly Cloudy,partly-cloudy-night,0.1219,0.11,rain,18.46,19.74,18.46,1,1008.1,0.47,0.75,85,0.72,0,16.093,258.6
40,2020-09-07 04:00:00,Mostly Cloudy,partly-cloudy-night,0.108,0.11,rain,18.25,19.48,18.25,1,1008.5,0.44,0.71,73,0.73,0,15.629,258.8
41,2020-09-07 05:00:00,Mostly Cloudy,partly-cloudy-night,0.1127,0.11,rain,17.66,18.86,17.66,1,1008.5,0.43,0.71,58,0.75,0,12.488,259.0
42,2020-09-07 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1255,0.1,rain,17.19,18.33,17.19,1,1008.5,0.52,0.78,72,0.74,0,11.596,259.2
43,2020-09-07 07:00:00,Mostly Cloudy,partly-cloudy-day,0.1407,0.1,rain,17.89,19.09,17.89,1,1008.9,0.73,0.97,122,0.7,1,14.154,259.6
44,2020-09-07 08:00:00,Mostly Cloudy,partly-cloudy-day,0.1709,0.1,rain,19.19,20.51,19.19,1,1009.3,1.02,1.21,182,0.65,2,16.093,259.9
45,2020-09-07 09:00:00,Mostly Cloudy,partly-cloudy-day,0.2207,0.09,rain,20.66,22.07,20.66,1,1009.4,1.27,1.45,220,0.61,5,16.093,259.6
46,2020-09-07 10:00:00,Partly Cloudy,partly-cloudy-day,0.3169,0.1,rain,21.98,23.47,21.98,1,1008.9,1.47,1.68,226,0.58,7,14.753,258.4
47,2020-09-07 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4913,0.1,rain,23.16,24.65,23.16,1,1008.3,1.62,1.91,221,0.55,8,10.114,257.1
48,2020-09-07 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6987,0.1,rain,24.04,25.47,24.04,1,1007.5,1.72,2.06,217,0.58,9,6.838,256.1
