,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2612,0.06,rain,23.37,24.46,23.37,1.0,1007.6,1.5,1.69,225,0.71,8,10.289,265.9
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3938,0.07,rain,24.43,25.54,24.43,1.0,1006.5,1.54,1.79,224,0.66,8,10.826,265.5
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5525,0.08,rain,24.68,25.85,24.68,1.0,1005.3,1.54,1.87,221,0.59,7,11.815,265.0
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6746,0.08,rain,23.85,25.18,23.85,1.0,1004.5,1.46,1.85,222,0.57,5,11.458,264.3
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7547,0.09,rain,22.58,24.24,22.58,1.0,1004.1,1.27,1.72,232,0.6,2,8.884,263.0
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.8356,0.11,rain,21.03,23.09,21.03,1.0,1004.0,1.02,1.52,240,0.64,1,5.848,261.7
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.8228,0.12,rain,20.05,22.33,20.05,1.0,1004.4,0.79,1.29,218,0.64,0,5.15,261.0
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.6288,0.13,rain,19.15,21.49,19.15,1.0,1005.3,0.55,1.01,154,0.56,0,7.608,261.1
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.4048,0.13,rain,18.56,20.79,18.56,1.0,1006.5,0.34,0.73,69,0.47,0,11.326,261.6
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.2615,0.12,rain,17.97,20.05,17.97,1.0,1007.3,0.24,0.56,12,0.41,0,14.599,261.8
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.1772,0.11,rain,17.48,19.34,17.48,1.0,1007.7,0.28,0.52,6,0.4,0,16.093,261.6
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.1169,0.1,rain,17.01,18.6,17.01,1.0,1008.1,0.39,0.59,10,0.41,0,16.093,261.1
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.0716,0.08,rain,16.74,18.11,16.74,1.0,1008.1,0.48,0.68,15,0.43,0,16.093,260.7
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.0292,0.06,rain,16.52,17.71,16.52,1.0,1007.8,0.55,0.73,20,0.47,0,16.093,260.3
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0058,0.03,rain,16.29,17.32,16.29,1.0,1006.8,0.61,0.77,24,0.52,0,16.093,259.9
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,16.29,17.11,16.29,1.0,1006.3,0.67,0.79,26,0.57,0,16.093,259.4
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.003,0.01,rain,15.95,16.61,15.95,1.0,1006.5,0.72,0.77,24,0.62,0,16.093,258.8
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0096,0.03,rain,15.65,16.2,15.65,1.0,1007.1,0.77,0.77,27,0.66,0,16.093,258.3
18,2020-09-06 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0161,0.03,rain,15.72,16.22,15.72,1.0,1007.8,0.82,0.82,53,0.68,0,16.093,258.4
19,2020-09-06 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0166,0.03,rain,16.74,17.31,16.74,1.0,1008.6,0.88,0.93,109,0.67,1,16.093,259.5
20,2020-09-06 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0175,0.03,rain,18.23,18.94,18.23,1.0,1009.2,0.98,1.12,174,0.66,2,16.093,260.7
21,2020-09-06 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0316,0.03,rain,19.55,20.35,19.55,1.0,1009.3,1.13,1.32,216,0.66,5,16.093,261.3
22,2020-09-06 10:00:00,Mostly Cloudy,partly-cloudy-day,0.077,0.04,rain,20.77,21.63,20.77,1.0,1008.7,1.31,1.55,226,0.66,6,16.093,260.9
