,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType
0,2020-09-05 12:00:00,Clear,clear-day,0.0,0.0,18.2,18.69,18.2,1,1008.8,1.64,2.07,306,0.01,13,16.093,257.5,
1,2020-09-05 13:00:00,Clear,clear-day,0.0279,0.03,18.2,18.99,18.2,1,1007.4,1.73,2.51,308,0.03,12,16.093,257.2,rain
2,2020-09-05 14:00:00,Clear,clear-day,0.1082,0.06,17.17,18.4,17.17,1,1006.8,1.79,2.93,316,0.05,10,10.383,257.1,rain
3,2020-09-05 15:00:00,Clear,clear-day,0.1898,0.06,15.78,17.49,15.78,1,1005.8,1.8,3.08,323,0.12,6,8.614,257.2,rain
4,2020-09-05 16:00:00,Clear,clear-day,0.2227,0.06,14.27,16.42,14.27,1,1005.5,1.76,2.9,330,0.25,3,14.366,257.6,rain
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,0.2231,0.07,12.84,15.22,12.84,1,1005.8,1.67,2.54,336,0.4,1,16.093,258.2,rain
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.1867,0.07,11.73,14.05,11.73,1,1006.7,1.53,2.12,343,0.53,0,16.093,258.9,rain
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.1077,0.07,10.91,12.99,10.91,1,1008.3,1.32,1.59,350,0.62,0,15.44,259.6,rain
8,2020-09-05 20:00:00,Mostly Cloudy,partly-cloudy-night,0.0405,0.06,10.11,11.9,10.11,1,1009.8,1.1,1.13,356,0.7,0,5.387,260.2,rain
9,2020-09-05 21:00:00,Foggy,fog,0.0162,0.04,9.5,11.04,9.5,1,1010.5,0.96,1.0,9,0.76,0,2.167,260.5,rain
10,2020-09-05 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0147,0.04,9.3,10.62,9.3,1,1010.7,0.93,0.97,65,0.81,0,8.891,260.1,rain
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0186,0.04,9.29,10.39,9.29,1,1011.0,0.94,1.0,72,0.85,0,16.093,259.5,rain
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0174,0.04,9.21,10.14,9.21,1,1010.9,0.94,1.06,53,0.86,0,16.093,258.6,rain
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0087,0.03,9.18,9.95,9.18,1,1010.6,0.91,0.96,45,0.85,0,16.093,257.6,rain
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,9.19,9.83,9.19,1,1010.1,0.87,0.87,44,0.82,0,16.093,256.5,
15,2020-09-06 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,9.46,9.85,9.46,1,1009.8,0.86,0.86,46,0.74,0,16.093,255.9,
16,2020-09-06 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,9.24,9.45,9.24,1,1009.9,0.87,0.88,48,0.63,0,16.093,256.0,
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,8.99,9.13,8.99,1,1010.1,0.9,0.91,45,0.49,0,16.093,256.4,
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,9.01,9.21,9.01,1,1010.1,0.93,0.95,53,0.34,0,16.093,257.0,
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,9.9,10.18,9.9,1,1010.2,0.96,0.97,78,0.2,0,16.093,257.8,
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,11.58,11.97,11.58,1,1010.3,1.01,1.01,80,0.07,2,16.093,258.8,
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,13.41,13.85,13.41,1,1010.0,1.09,1.11,356,0.0,5,16.093,259.0,
22,2020-09-06 10:00:00,Clear,clear-day,0.0,0.0,15.3,15.74,15.3,1,1009.4,1.24,1.31,333,0.0,9,16.093,258.5,
23,2020-09-06 11:00:00,Clear,clear-day,0.0,0.0,17.06,17.51,17.06,1,1008.3,1.4,1.55,320,0.0,11,16.093,257.7,
24,2020-09-06 12:00:00,Clear,clear-day,0.0249,0.03,17.92,18.52,17.92,1,1007.2,1.53,1.92,313,0.04,12,16.093,257.1,rain
25,2020-09-06 13:00:00,Clear,clear-day,0.0859,0.06,17.47,18.43,17.47,1,1006.5,1.64,2.47,313,0.14,11,16.093,256.4,rain
