,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType
0,2020-09-05 12:00:00,Clear,clear-day,0.0,0.0,18.45,19.02,18.45,1,1008.4,1.63,2.16,311,0.01,13,16.093,257.4,
1,2020-09-05 13:00:00,Clear,clear-day,0.0281,0.03,18.55,19.42,18.55,1,1007.3,1.74,2.57,313,0.03,12,16.093,257.1,rain
2,2020-09-05 14:00:00,Clear,clear-day,0.1003,0.06,17.49,18.83,17.49,1,1006.7,1.81,2.93,321,0.05,10,10.569,257.0,rain
3,2020-09-05 15:00:00,Clear,clear-day,0.1748,0.07,16.07,17.9,16.07,1,1005.8,1.83,3.04,329,0.11,6,8.928,257.1,rain
4,2020-09-05 16:00:00,Clear,clear-day,0.2102,0.07,14.34,16.63,14.34,1,1005.5,1.79,2.83,338,0.24,3,14.317,257.6,rain
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,0.2184,0.07,12.72,15.2,12.72,1,1005.8,1.69,2.46,347,0.39,1,16.093,258.2,rain
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.1866,0.07,11.44,13.86,11.44,1,1006.7,1.55,2.03,354,0.52,0,16.093,258.9,rain
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.106,0.07,10.61,12.77,10.61,1,1008.4,1.35,1.54,0,0.63,0,16.093,259.7,rain
8,2020-09-05 20:00:00,Mostly Cloudy,partly-cloudy-night,0.0382,0.05,9.98,11.86,9.98,1,1009.7,1.14,1.14,4,0.73,0,10.71,260.4,rain
9,2020-09-05 21:00:00,Mostly Cloudy,partly-cloudy-night,0.0158,0.04,9.46,11.08,9.46,1,1010.4,0.99,0.99,20,0.8,0,8.3,260.6,rain
10,2020-09-05 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0154,0.04,9.27,10.66,9.27,1,1010.7,0.93,0.93,79,0.83,0,13.195,260.1,rain
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0198,0.04,9.22,10.39,9.22,1,1010.9,0.9,0.92,76,0.84,0,16.093,259.3,rain
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0182,0.04,9.12,10.1,9.12,1,1010.8,0.89,0.96,57,0.8,0,16.093,258.3,rain
13,2020-09-06 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0091,0.03,9.1,9.9,9.1,1,1010.4,0.88,0.93,51,0.73,0,16.093,257.4,rain
14,2020-09-06 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,9.09,9.71,9.09,1,1009.9,0.89,0.91,51,0.62,0,16.093,256.3,
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,9.27,9.6,9.27,1,1009.7,0.9,0.92,52,0.53,0,16.093,255.8,
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,9.04,9.17,9.04,1,1009.8,0.92,0.93,49,0.45,0,16.093,255.9,
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,8.86,8.93,8.86,1,1009.9,0.94,0.96,48,0.34,0,16.093,256.3,
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,8.84,8.97,8.84,1,1010.0,0.97,0.99,58,0.25,0,16.093,257.0,
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,9.66,9.91,9.66,1,1010.1,1.0,1.01,84,0.14,1,16.093,257.9,
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,11.31,11.72,11.31,1,1010.1,1.05,1.05,89,0.05,2,16.093,258.9,
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,13.23,13.72,13.23,1,1009.9,1.13,1.14,7,0.0,5,16.093,259.2,
22,2020-09-06 10:00:00,Clear,clear-day,0.0,0.0,15.19,15.7,15.19,1,1009.2,1.26,1.34,336,0.0,9,16.093,258.6,
23,2020-09-06 11:00:00,Clear,clear-day,0.0,0.0,17.2,17.73,17.2,1,1008.1,1.39,1.62,318,0.0,11,16.093,257.7,
24,2020-09-06 12:00:00,Clear,clear-day,0.0217,0.03,18.28,18.98,18.28,1,1007.1,1.51,2.0,309,0.03,13,16.093,257.0,rain
