,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.276,0.05,rain,22.8,23.99,22.8,1.0,1008.3,1.15,1.8,233,0.25,10,15.934,267.2
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3951,0.07,rain,23.94,25.14,23.94,1.0,1007.3,1.33,2.14,239,0.31,10,15.227,266.8
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5322,0.07,rain,24.34,25.58,24.34,1.0,1006.2,1.48,2.4,233,0.37,8,15.302,266.5
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6122,0.08,rain,24.05,25.4,24.05,1.0,1005.5,1.49,2.47,231,0.4,6,16.093,266.2
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5886,0.08,rain,23.29,24.87,23.29,1.0,1005.0,1.34,2.28,241,0.41,3,16.093,265.5
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5152,0.1,rain,22.23,24.03,22.23,1.0,1004.8,1.11,1.97,247,0.41,1,16.093,264.9
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.4265,0.12,rain,21.14,23.06,21.14,1.0,1004.9,0.94,1.72,228,0.39,0,16.093,264.8
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.3456,0.12,rain,20.03,21.9,20.03,1.0,1005.7,0.88,1.55,169,0.35,0,16.093,265.2
8,2020-09-05 20:00:00,Clear,clear-night,0.3285,0.12,rain,18.92,20.67,18.92,1.0,1006.6,0.87,1.42,85,0.29,0,16.093,265.7
9,2020-09-05 21:00:00,Clear,clear-night,0.297,0.11,rain,18.23,19.84,18.23,1.0,1007.2,0.9,1.39,20,0.25,0,16.093,266.0
10,2020-09-05 22:00:00,Clear,clear-night,0.1602,0.08,rain,17.89,19.33,17.89,1.0,1007.4,0.97,1.5,26,0.21,0,16.093,265.9
