,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.1577,0.04,rain,22.67,23.09,19.12,0.8,1008.8,1.14,1.47,217,0.24,11,16.093,266.1
1,2020-09-05 13:00:00,Clear,clear-day,0.3522,0.06,rain,23.34,23.91,20.36,0.83,1007.5,1.27,1.7,224,0.3,10,16.093,265.4
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.6304,0.07,rain,23.24,24.02,21.81,0.92,1006.4,1.36,1.9,217,0.35,8,16.093,264.7
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8679,0.09,rain,22.62,23.65,22.62,1.0,1005.7,1.36,1.95,205,0.42,6,15.149,264.3
4,2020-09-05 16:00:00,Partly Cloudy,partly-cloudy-day,0.9927,0.1,rain,21.71,23.04,21.71,1.0,1005.3,1.23,1.81,192,0.5,3,12.59,264.2
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,1.0405,0.11,rain,20.65,22.25,20.65,1.0,1005.2,1.04,1.58,182,0.57,1,10.325,264.3
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.9652,0.11,rain,19.57,21.27,19.57,1.0,1005.6,0.89,1.43,220,0.57,0,10.657,264.4
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.761,0.11,rain,18.39,20.09,18.39,1.0,1006.6,0.78,1.39,109,0.47,0,14.687,264.8
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.5731,0.12,rain,17.13,18.79,17.13,1.0,1007.8,0.68,1.38,33,0.34,0,16.093,265.1
9,2020-09-05 21:00:00,Clear,clear-night,0.4263,0.12,rain,16.06,17.59,16.06,1.0,1008.5,0.61,1.35,322,0.24,0,16.093,265.1
10,2020-09-05 22:00:00,Clear,clear-night,0.2412,0.1,rain,15.48,16.77,15.48,1.0,1008.8,0.61,1.31,13,0.2,0,16.093,264.7
11,2020-09-05 23:00:00,Clear,clear-night,0.0934,0.07,rain,15.32,16.38,15.32,1.0,1009.0,0.64,1.27,34,0.18,0,16.093,264.2
12,2020-09-06 00:00:00,Clear,clear-night,0.0316,0.04,rain,15.28,16.12,15.28,1.0,1008.8,0.68,1.25,37,0.15,0,16.093,264.1
13,2020-09-06 01:00:00,Clear,clear-night,0.012,0.02,rain,15.31,15.94,15.31,1.0,1008.1,0.74,1.27,34,0.09,0,16.093,264.6
14,2020-09-06 02:00:00,Clear,clear-night,0.0034,0.01,rain,15.41,15.86,15.41,1.0,1007.3,0.81,1.3,30,0.04,0,16.093,265.2
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,15.54,15.84,15.54,1.0,1006.9,0.86,1.34,27,0.0,0,16.093,265.3
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,15.3,15.44,14.98,0.98,1006.8,0.9,1.42,21,0.01,0,16.093,264.6
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,15.01,15.06,14.32,0.96,1006.9,0.92,1.48,18,0.01,0,16.093,263.7
18,2020-09-06 06:00:00,Clear,clear-night,0.0,0.0,,14.87,14.88,13.98,0.94,1007.2,0.86,1.39,27,0.02,0,16.093,263.3
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,15.53,15.61,14.64,0.94,1007.7,0.68,1.04,51,0.04,0,16.093,263.9
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,16.85,17.09,16.17,0.96,1008.2,0.48,0.66,84,0.06,2,16.093,264.7
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,,18.24,18.61,17.45,0.95,1008.4,0.47,0.58,168,0.09,5,16.093,264.8
22,2020-09-06 10:00:00,Clear,clear-day,0.0148,0.02,rain,19.59,19.97,18.05,0.91,1008.6,0.74,0.93,157,0.12,8,16.093,263.9
23,2020-09-06 11:00:00,Clear,clear-day,0.0525,0.03,rain,21.23,21.61,18.47,0.84,1008.2,1.09,1.43,189,0.15,10,16.093,262.6
24,2020-09-06 12:00:00,Clear,clear-day,0.1341,0.05,rain,22.59,23.02,19.13,0.81,1007.2,1.32,1.77,210,0.22,11,16.093,261.9
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.2942,0.06,rain,23.26,23.81,20.15,0.83,1006.1,1.38,1.87,219,0.35,10,16.093,261.9
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.5262,0.07,rain,23.15,23.87,21.42,0.9,1005.2,1.36,1.88,218,0.48,8,9.793,262.1
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7096,0.09,rain,22.51,23.47,22.51,1.0,1004.8,1.29,1.83,208,0.57,5,7.452,262.2
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,0.7729,0.11,rain,21.58,22.84,21.58,1.0,1004.8,1.16,1.69,190,0.61,3,11.05,262.3
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.7718,0.11,rain,20.59,22.14,20.59,1.0,1005.0,0.99,1.52,172,0.62,1,16.093,262.4
30,2020-09-06 18:00:00,Partly Cloudy,partly-cloudy-day,0.7062,0.11,rain,19.58,21.27,19.58,1.0,1005.6,0.87,1.41,217,0.59,0,16.093,262.4
31,2020-09-06 19:00:00,Partly Cloudy,partly-cloudy-night,0.5805,0.11,rain,18.48,20.18,18.48,1.0,1006.6,0.79,1.41,215,0.51,0,16.093,261.9
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,0.4665,0.11,rain,17.26,18.94,17.26,1.0,1007.9,0.73,1.45,178,0.41,0,16.093,261.3
