,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.1493,0.03,rain,28.11,30.11,20.7,0.64,1008.0,1.31,1.67,202,0.2,10,16.093,266.7
1,2020-09-05 13:00:00,Humid,clear-day,0.321,0.05,rain,28.29,31.21,22.28,0.7,1007.0,1.43,1.93,211,0.27,10,16.093,266.5
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6062,0.07,rain,27.71,31.66,24.24,0.81,1005.9,1.47,2.14,204,0.35,8,16.093,266.5
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8222,0.08,rain,26.93,31.37,26.01,0.95,1005.1,1.44,2.21,200,0.39,5,16.093,266.3
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.816,0.08,rain,26.26,29.68,26.26,1.0,1004.7,1.32,2.1,208,0.38,3,16.093,265.7
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7156,0.09,rain,25.73,28.2,25.73,1.0,1004.5,1.16,1.88,210,0.34,1,16.093,265.1
6,2020-09-05 18:00:00,Humid,clear-day,0.678,0.1,rain,24.6,26.24,24.6,1.0,1004.8,0.99,1.62,186,0.29,0,16.093,265.0
7,2020-09-05 19:00:00,Humid,clear-night,0.7581,0.12,rain,23.41,25.19,23.41,1.0,1005.7,0.81,1.27,125,0.23,0,16.093,265.6
8,2020-09-05 20:00:00,Humid,clear-night,0.8582,0.14,rain,22.24,24.03,22.24,1.0,1006.8,0.63,0.93,49,0.16,0,16.093,266.5
9,2020-09-05 21:00:00,Clear,clear-night,0.8427,0.14,rain,21.47,23.21,21.47,1.0,1007.5,0.54,0.81,359,0.11,0,16.093,266.9
10,2020-09-05 22:00:00,Clear,clear-night,0.6792,0.13,rain,21.06,22.69,21.06,1.0,1007.6,0.59,1.01,352,0.1,0,16.093,266.8
11,2020-09-05 23:00:00,Clear,clear-night,0.5114,0.11,rain,20.94,22.42,20.94,1.0,1007.5,0.7,1.34,0,0.08,0,16.093,266.6
12,2020-09-06 00:00:00,Clear,clear-night,0.3605,0.1,rain,20.69,22.06,20.69,1.0,1007.3,0.78,1.56,4,0.06,0,16.093,266.4
13,2020-09-06 01:00:00,Clear,clear-night,0.1604,0.07,rain,20.46,21.75,20.46,1.0,1007.3,0.84,1.62,2,0.03,0,16.093,266.3
14,2020-09-06 02:00:00,Clear,clear-night,0.0247,0.03,rain,20.47,21.71,20.47,1.0,1007.1,0.88,1.63,1,0.01,0,16.093,266.2
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,20.56,21.74,20.56,1.0,1005.8,0.94,1.65,1,0.0,0,16.093,265.8
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,20.45,21.5,20.45,1.0,1005.4,1.05,1.73,2,0.0,0,16.093,265.1
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,20.06,20.98,20.06,1.0,1005.9,1.13,1.77,2,0.0,0,16.093,264.3
18,2020-09-06 06:00:00,Clear,clear-night,0.0,0.0,,19.85,20.66,19.85,1.0,1006.2,1.08,1.64,1,0.05,0,16.093,264.3
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,20.55,21.21,20.21,0.98,1006.8,0.81,1.23,352,0.14,0,16.093,265.3
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,22.01,22.64,20.41,0.91,1007.5,0.5,0.78,346,0.25,2,16.093,266.4
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,23.47,24.02,20.45,0.83,1007.9,0.41,0.62,15,0.32,4,16.093,266.8
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.0129,0.01,rain,25.01,25.77,20.66,0.77,1008.0,0.64,0.86,74,0.33,7,16.093,265.9
23,2020-09-06 11:00:00,Partly Cloudy,partly-cloudy-day,0.0433,0.02,rain,26.8,28.59,21.04,0.71,1007.3,0.99,1.27,142,0.32,9,16.093,264.8
24,2020-09-06 12:00:00,Partly Cloudy,partly-cloudy-day,0.1407,0.04,rain,27.93,30.47,21.83,0.69,1006.4,1.24,1.62,193,0.32,10,16.093,264.0
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4494,0.06,rain,28.17,31.55,23.08,0.74,1005.5,1.38,1.92,208,0.35,9,15.067,263.8
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.985,0.08,rain,27.59,31.77,24.68,0.84,1004.7,1.45,2.16,208,0.39,8,14.416,263.8
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.3021,0.09,rain,26.81,31.28,26.21,0.97,1004.2,1.43,2.22,207,0.42,5,15.266,263.8
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.1229,0.1,rain,26.05,28.88,26.05,1.0,1004.1,1.29,2.03,210,0.45,3,16.093,263.8
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8554,0.12,rain,25.5,27.42,25.5,1.0,1004.3,1.09,1.74,209,0.48,1,16.093,263.7
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6688,0.12,rain,24.41,26.14,24.41,1.0,1004.7,0.91,1.48,197,0.43,0,16.093,263.4
31,2020-09-06 19:00:00,Humid,clear-night,0.4539,0.11,rain,23.38,25.16,23.38,1.0,1005.7,0.74,1.27,177,0.28,0,16.093,263.0
32,2020-09-06 20:00:00,Humid,clear-night,0.3138,0.11,rain,22.37,24.12,22.37,1.0,1006.9,0.59,1.09,164,0.11,0,16.093,262.5
33,2020-09-06 21:00:00,Clear,clear-night,0.2741,0.11,rain,21.76,23.46,21.76,1.0,1007.6,0.52,1.06,124,0.0,0,16.093,262.1
34,2020-09-06 22:00:00,Clear,clear-night,0.2231,0.11,rain,21.34,22.96,21.34,1.0,1007.9,0.56,1.23,106,0.0,0,16.093,261.9
35,2020-09-06 23:00:00,Clear,clear-night,0.184,0.11,rain,21.03,22.54,21.03,1.0,1008.0,0.65,1.47,57,0.0,0,16.093,261.9
36,2020-09-07 00:00:00,Clear,clear-night,0.1704,0.11,rain,20.71,22.13,20.71,1.0,1008.0,0.72,1.64,31,0.01,0,16.093,261.9
37,2020-09-07 01:00:00,Clear,clear-night,0.1575,0.1,rain,20.41,21.74,20.41,1.0,1007.9,0.74,1.71,19,0.01,0,16.093,262.3
38,2020-09-07 02:00:00,Clear,clear-night,0.1361,0.08,rain,20.3,21.58,20.3,1.0,1007.7,0.76,1.74,12,0.0,0,16.093,262.8
39,2020-09-07 03:00:00,Clear,clear-night,0.1024,0.07,rain,20.31,21.57,20.31,1.0,1007.6,0.79,1.76,6,0.0,0,16.093,262.8
40,2020-09-07 04:00:00,Clear,clear-night,0.0537,0.05,rain,20.3,21.54,20.3,1.0,1007.8,0.87,1.79,358,0.0,0,16.093,262.1
41,2020-09-07 05:00:00,Clear,clear-night,0.0349,0.04,rain,20.19,21.42,20.19,1.0,1007.7,0.93,1.78,355,0.0,0,16.093,261.3
42,2020-09-07 06:00:00,Clear,clear-night,0.0483,0.03,rain,19.98,21.17,19.98,1.0,1007.9,0.91,1.62,6,0.0,0,16.093,261.0
43,2020-09-07 07:00:00,Clear,clear-day,0.1209,0.06,rain,20.13,21.33,20.13,1.0,1008.3,0.72,1.23,24,0.0,0,16.093,261.7
44,2020-09-07 08:00:00,Clear,clear-day,0.2987,0.07,rain,20.81,22.07,20.81,1.0,1008.9,0.51,0.8,314,0.01,2,16.093,262.6
45,2020-09-07 09:00:00,Clear,clear-day,0.3974,0.07,rain,21.35,22.57,21.35,1.0,1009.3,0.45,0.67,351,0.01,4,16.093,262.7
46,2020-09-07 10:00:00,Humid,clear-day,0.2933,0.06,rain,22.3,23.49,22.3,1.0,1009.2,0.62,0.95,322,0.0,8,16.093,261.7
47,2020-09-07 11:00:00,Humid,clear-day,0.2377,0.05,rain,23.69,24.82,23.69,1.0,1008.9,0.87,1.4,238,0.01,10,16.093,260.4
48,2020-09-07 12:00:00,Humid,clear-day,0.2835,0.05,rain,24.84,26.12,24.84,1.0,1008.4,1.05,1.73,257,0.11,11,16.093,259.6
