,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.1176,0.04,rain,21.55,21.92,18.43,0.82,1009.2,1.38,1.82,216,0.17,11,16.093,265.5
1,2020-09-05 13:00:00,Clear,clear-day,0.2792,0.06,rain,22.25,22.76,19.68,0.85,1007.9,1.45,1.96,223,0.27,11,16.093,264.9
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.5204,0.08,rain,22.09,22.81,21.06,0.94,1006.6,1.47,2.01,221,0.37,9,16.027,264.2
3,2020-09-05 15:00:00,Partly Cloudy,partly-cloudy-day,0.7298,0.08,rain,21.29,22.27,21.29,1.0,1005.9,1.41,1.96,207,0.45,6,14.07,263.9
4,2020-09-05 16:00:00,Partly Cloudy,partly-cloudy-day,0.8439,0.1,rain,20.21,21.55,20.21,1.0,1005.5,1.27,1.8,185,0.52,3,12.868,263.8
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,0.8919,0.1,rain,18.95,20.63,18.95,1.0,1005.5,1.09,1.59,157,0.57,1,12.414,263.8
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.8206,0.1,rain,17.82,19.7,17.82,1.0,1005.9,0.95,1.43,240,0.55,0,13.589,264.0
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.6137,0.1,rain,16.48,18.33,16.48,1.0,1006.9,0.83,1.36,241,0.45,0,16.093,264.3
8,2020-09-05 20:00:00,Clear,clear-night,0.4156,0.1,rain,15.26,16.99,15.26,1.0,1008.2,0.73,1.32,43,0.31,0,16.093,264.6
9,2020-09-05 21:00:00,Clear,clear-night,0.2797,0.1,rain,14.44,15.99,14.44,1.0,1009.0,0.69,1.3,44,0.21,0,16.093,264.6
10,2020-09-05 22:00:00,Clear,clear-night,0.1482,0.08,rain,14.02,15.29,14.02,1.0,1009.5,0.71,1.29,49,0.18,0,16.093,264.1
11,2020-09-05 23:00:00,Clear,clear-night,0.0556,0.05,rain,13.73,14.7,13.73,1.0,1009.4,0.77,1.3,47,0.18,0,16.093,263.6
12,2020-09-06 00:00:00,Clear,clear-night,0.022,0.03,rain,13.45,14.16,13.45,1.0,1009.0,0.83,1.34,43,0.15,0,16.093,263.5
13,2020-09-06 01:00:00,Clear,clear-night,0.0096,0.02,rain,13.19,13.67,13.19,1.0,1008.5,0.89,1.39,41,0.1,0,16.093,264.0
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,,12.97,13.23,12.97,1.0,1007.8,0.95,1.45,40,0.04,0,16.093,264.6
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,12.96,13.04,12.96,1.0,1007.5,1.0,1.5,39,0.01,0,16.093,264.8
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,12.79,12.78,12.79,1.0,1007.5,1.05,1.55,35,0.01,0,16.093,264.1
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,12.52,12.52,12.21,0.98,1007.6,1.07,1.58,34,0.01,0,16.093,263.3
18,2020-09-06 06:00:00,Clear,clear-night,0.0,0.0,,12.61,12.61,12.17,0.97,1007.8,1.02,1.47,43,0.02,0,16.093,263.1
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,13.49,13.51,13.17,0.98,1008.2,0.85,1.15,68,0.04,0,16.093,263.7
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,15.02,15.17,14.93,0.99,1008.7,0.66,0.8,96,0.06,2,16.093,264.5
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,,16.69,16.97,16.35,0.98,1008.8,0.66,0.73,131,0.08,5,16.093,264.6
22,2020-09-06 10:00:00,Clear,clear-day,0.0134,0.02,rain,18.32,18.65,17.27,0.94,1008.5,0.93,1.07,165,0.09,8,16.093,263.7
23,2020-09-06 11:00:00,Clear,clear-day,0.0498,0.03,rain,20.13,20.49,17.98,0.87,1008.2,1.28,1.55,195,0.12,11,16.093,262.4
24,2020-09-06 12:00:00,Clear,clear-day,0.1267,0.05,rain,21.58,21.99,18.77,0.84,1007.6,1.49,1.89,215,0.19,12,16.093,261.5
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.2718,0.06,rain,22.21,22.74,19.81,0.86,1006.5,1.53,2.04,224,0.32,10,16.093,261.4
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.4778,0.08,rain,21.99,22.7,20.98,0.94,1005.5,1.5,2.09,225,0.46,8,11.744,261.4
27,2020-09-06 15:00:00,Partly Cloudy,partly-cloudy-day,0.6387,0.09,rain,21.12,22.07,21.12,1.0,1005.0,1.39,2.02,214,0.57,6,9.209,261.5
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,0.6906,0.11,rain,19.99,21.28,19.99,1.0,1005.0,1.22,1.78,188,0.64,3,11.088,261.6
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.6746,0.11,rain,18.77,20.42,18.77,1.0,1005.3,1.0,1.47,155,0.67,1,14.762,261.7
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.5996,0.1,rain,17.69,19.53,17.69,1.0,1005.9,0.85,1.28,248,0.66,0,16.093,261.7
31,2020-09-06 19:00:00,Partly Cloudy,partly-cloudy-night,0.4735,0.1,rain,16.41,18.25,16.41,1.0,1007.0,0.77,1.25,253,0.57,0,16.093,261.4
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,0.3549,0.09,rain,15.29,16.98,15.29,1.0,1008.3,0.72,1.28,72,0.45,0,16.093,261.0
33,2020-09-06 21:00:00,Partly Cloudy,partly-cloudy-night,0.2477,0.09,rain,14.52,16.03,14.52,1.0,1009.4,0.71,1.3,67,0.36,0,16.093,260.7
34,2020-09-06 22:00:00,Clear,clear-night,0.1143,0.08,rain,14.07,15.31,14.07,1.0,1009.9,0.75,1.31,68,0.3,0,16.093,260.4
35,2020-09-06 23:00:00,Clear,clear-night,0.0244,0.04,rain,13.75,14.7,13.75,1.0,1009.6,0.83,1.33,50,0.25,0,16.093,260.2
36,2020-09-07 00:00:00,Clear,clear-night,0.0028,0.01,rain,13.45,14.15,13.45,1.0,1009.0,0.9,1.4,38,0.19,0,16.093,260.2
37,2020-09-07 01:00:00,Clear,clear-night,0.0,0.0,,13.19,13.66,13.19,1.0,1008.5,0.98,1.54,34,0.11,0,16.093,260.6
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,,12.98,13.24,12.98,1.0,1007.8,1.07,1.7,35,0.04,0,16.093,261.0
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,12.95,13.03,12.95,1.0,1007.5,1.12,1.79,35,0.0,0,16.093,261.1
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,,12.76,12.76,12.76,1.0,1008.1,1.15,1.82,32,0.0,0,16.093,260.8
41,2020-09-07 05:00:00,Clear,clear-night,0.0,0.0,,12.47,12.47,12.33,0.99,1008.3,1.15,1.79,31,0.0,0,16.093,260.4
42,2020-09-07 06:00:00,Clear,clear-night,0.0056,0.02,rain,12.55,12.55,12.29,0.98,1008.7,1.07,1.64,43,0.0,0,16.093,260.4
43,2020-09-07 07:00:00,Clear,clear-day,0.0088,0.02,rain,13.45,13.47,13.28,0.99,1009.5,0.86,1.32,69,0.0,0,16.093,261.2
44,2020-09-07 08:00:00,Clear,clear-day,0.0161,0.02,rain,14.94,15.1,14.94,1.0,1010.4,0.64,0.96,130,0.0,2,16.093,262.0
45,2020-09-07 09:00:00,Clear,clear-day,0.0264,0.02,rain,16.45,16.75,16.37,0.99,1010.7,0.61,0.88,167,0.0,5,16.093,261.8
46,2020-09-07 10:00:00,Clear,clear-day,0.0533,0.04,rain,17.82,18.18,17.28,0.97,1010.5,0.88,1.19,175,0.0,8,16.093,260.1
47,2020-09-07 11:00:00,Clear,clear-day,0.1255,0.06,rain,19.34,19.73,18.02,0.92,1010.1,1.24,1.63,195,0.01,11,16.093,258.0
48,2020-09-07 12:00:00,Clear,clear-day,0.2306,0.07,rain,20.46,20.94,18.94,0.91,1009.3,1.45,1.9,213,0.08,12,16.093,256.8
