,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 11:45:00,Humid and Foggy,fog,0.0664,0.05,rain,24.06,24.98,23.04,0.94,1008.5,1.71,2.49,254,0.37,10,2.236,263.9
1,2020-09-05 12:45:00,Humid and Foggy,fog,0.1427,0.06,rain,24.59,25.62,23.94,0.96,1007.4,1.63,2.44,256,0.49,9,1.985,264.2
2,2020-09-05 13:45:00,Humid and Foggy,fog,0.2666,0.07,rain,23.99,25.18,23.99,1.0,1006.1,1.43,2.15,261,0.65,7,2.504,264.6
3,2020-09-05 14:45:00,Humid and Foggy,fog,0.3667,0.07,rain,23.08,24.46,23.08,1.0,1005.4,1.25,1.84,268,0.77,5,3.182,264.8
4,2020-09-05 15:45:00,Mostly Cloudy,partly-cloudy-day,0.3673,0.07,rain,22.05,23.66,22.05,1.0,1004.9,1.14,1.55,281,0.82,3,3.609,265.0
5,2020-09-05 16:45:00,Mostly Cloudy,partly-cloudy-day,0.3158,0.07,rain,21.4,23.12,21.4,1.0,1004.8,1.04,1.26,300,0.82,1,4.227,264.9
6,2020-09-05 17:45:00,Mostly Cloudy,partly-cloudy-day,0.2659,0.07,rain,20.64,22.38,20.64,1.0,1005.0,1.0,1.09,319,0.79,0,4.55,264.7
7,2020-09-05 18:45:00,Mostly Cloudy,partly-cloudy-night,0.2192,0.06,rain,19.9,21.46,19.9,1.0,1005.9,1.01,1.15,47,0.71,0,9.411,263.8
8,2020-09-05 19:45:00,Partly Cloudy,partly-cloudy-night,0.1934,0.06,rain,18.93,20.24,18.93,1.0,1007.1,1.07,1.29,26,0.59,0,15.901,262.4
9,2020-09-05 20:45:00,Partly Cloudy,partly-cloudy-night,0.2007,0.06,rain,18.11,19.15,18.11,1.0,1008.1,1.15,1.41,359,0.49,0,16.093,261.4
10,2020-09-05 21:45:00,Partly Cloudy,partly-cloudy-night,0.2294,0.06,rain,17.64,18.43,17.64,1.0,1008.6,1.25,1.49,357,0.42,0,16.093,260.9
11,2020-09-05 22:45:00,Partly Cloudy,partly-cloudy-night,0.268,0.06,rain,17.48,18.04,17.48,1.0,1008.7,1.39,1.57,8,0.37,0,16.093,260.5
12,2020-09-05 23:45:00,Partly Cloudy,partly-cloudy-night,0.3061,0.06,rain,17.17,17.55,17.17,1.0,1008.8,1.49,1.81,15,0.35,0,16.093,260.4
13,2020-09-06 00:45:00,Partly Cloudy,partly-cloudy-night,0.3403,0.05,rain,17.13,17.43,16.67,0.97,1008.6,1.51,1.84,15,0.36,0,16.093,260.7
14,2020-09-06 01:45:00,Partly Cloudy,partly-cloudy-night,0.3719,0.06,rain,17.1,17.39,16.55,0.97,1008.4,1.48,1.78,12,0.4,0,16.093,261.3
15,2020-09-06 02:45:00,Partly Cloudy,partly-cloudy-night,0.3699,0.06,rain,17.34,17.55,16.11,0.92,1008.3,1.45,1.71,11,0.41,0,16.093,261.6
16,2020-09-06 03:45:00,Partly Cloudy,partly-cloudy-night,0.3159,0.05,rain,17.14,17.24,15.36,0.89,1008.3,1.42,1.67,11,0.4,0,16.093,261.1
17,2020-09-06 04:45:00,Partly Cloudy,partly-cloudy-night,0.238,0.05,rain,17.0,17.06,15.07,0.88,1008.4,1.4,1.64,12,0.37,0,16.093,260.4
18,2020-09-06 05:45:00,Partly Cloudy,partly-cloudy-night,0.1676,0.05,rain,16.8,16.88,15.13,0.9,1008.5,1.37,1.55,20,0.33,0,16.093,260.0
19,2020-09-06 06:45:00,Clear,clear-day,0.0976,0.04,rain,17.14,17.34,16.03,0.93,1008.9,1.32,1.4,40,0.25,0,16.093,260.2
20,2020-09-06 07:45:00,Clear,clear-day,0.0481,0.04,rain,18.05,18.5,17.87,0.99,1009.9,1.27,1.38,60,0.14,2,16.093,261.0
21,2020-09-06 08:45:00,Clear,clear-day,0.0328,0.04,rain,19.18,19.85,19.18,1.0,1009.9,1.25,1.38,352,0.09,4,16.093,261.3
22,2020-09-06 09:45:00,Clear,clear-day,0.053,0.05,rain,20.23,21.1,20.23,1.0,1009.5,1.31,1.44,290,0.1,8,16.093,260.8
23,2020-09-06 10:45:00,Clear,clear-day,0.1359,0.07,rain,21.32,22.43,21.32,1.0,1008.3,1.38,2.02,271,0.16,10,7.698,260.0
24,2020-09-06 11:45:00,Humid and Foggy,fog,0.2595,0.07,rain,22.66,23.85,22.66,1.0,1007.3,1.44,2.44,264,0.25,11,1.397,259.4
25,2020-09-06 12:45:00,Humid and Foggy,fog,0.3816,0.08,rain,23.85,25.06,23.85,1.0,1006.3,1.46,2.39,262,0.41,9,1.165,259.4
