,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.3467,0.06,rain,28.6,31.86,22.59,0.7,1007.3,1.45,1.93,214,0.17,11,8.01,266.7
1,2020-09-05 13:00:00,Humid,clear-day,0.5774,0.07,rain,29.03,33.19,23.49,0.72,1006.2,1.48,2.01,231,0.17,10,9.134,267.5
2,2020-09-05 14:00:00,Humid,clear-day,0.8557,0.09,rain,28.82,33.46,24.2,0.76,1005.3,1.43,1.99,233,0.18,8,12.043,268.5
3,2020-09-05 15:00:00,Humid,clear-day,1.0498,0.1,rain,28.16,33.22,25.12,0.84,1004.6,1.33,1.92,217,0.18,6,14.645,269.0
4,2020-09-05 16:00:00,Humid,clear-day,1.1064,0.11,rain,27.25,32.62,26.61,0.96,1004.2,1.15,1.83,182,0.19,3,16.093,269.1
5,2020-09-05 17:00:00,Humid,clear-day,1.0854,0.13,rain,25.99,29.0,25.99,1.0,1004.0,0.94,1.7,357,0.2,1,16.093,268.9
6,2020-09-05 18:00:00,Humid,clear-day,0.9126,0.15,rain,24.74,26.24,24.74,1.0,1004.2,0.84,1.59,290,0.19,0,16.093,268.7
7,2020-09-05 19:00:00,Humid,clear-night,0.5346,0.13,rain,23.85,25.41,23.85,1.0,1004.9,0.89,1.49,9,0.13,0,16.093,268.6
8,2020-09-05 20:00:00,Humid,clear-night,0.2053,0.09,rain,22.88,24.25,22.88,1.0,1005.8,0.99,1.4,11,0.05,0,16.093,268.4
9,2020-09-05 21:00:00,Clear,clear-night,0.0705,0.05,rain,22.15,23.32,22.15,1.0,1006.6,1.07,1.35,355,0.01,0,16.093,267.7
10,2020-09-05 22:00:00,Clear,clear-night,0.0277,0.04,rain,21.67,22.66,21.67,1.0,1007.2,1.11,1.34,354,0.01,0,16.093,266.2
11,2020-09-05 23:00:00,Clear,clear-night,0.013,0.02,rain,21.26,22.04,21.18,1.0,1007.2,1.14,1.38,1,0.01,0,16.093,264.6
12,2020-09-06 00:00:00,Clear,clear-night,0.0109,0.02,rain,20.79,21.41,20.0,0.95,1007.2,1.18,1.41,5,0.02,0,16.093,263.6
13,2020-09-06 01:00:00,Clear,clear-night,0.0147,0.03,rain,20.21,20.74,19.24,0.94,1007.1,1.22,1.46,4,0.02,0,16.093,263.6
14,2020-09-06 02:00:00,Clear,clear-night,0.0279,0.03,rain,19.84,20.34,18.86,0.94,1006.8,1.26,1.52,2,0.03,0,16.093,264.0
15,2020-09-06 03:00:00,Clear,clear-night,0.0388,0.03,rain,19.69,20.15,18.59,0.93,1006.7,1.28,1.54,2,0.04,0,16.093,264.3
16,2020-09-06 04:00:00,Clear,clear-night,0.0596,0.03,rain,19.48,19.91,18.29,0.93,1006.5,1.3,1.54,5,0.05,0,16.093,264.5
17,2020-09-06 05:00:00,Clear,clear-night,0.1236,0.03,rain,19.32,19.72,18.09,0.93,1006.1,1.3,1.51,9,0.06,0,16.093,264.7
18,2020-09-06 06:00:00,Clear,clear-day,0.1656,0.02,rain,19.44,19.8,17.84,0.9,1006.3,1.19,1.34,13,0.07,0,16.093,264.9
19,2020-09-06 07:00:00,Clear,clear-day,0.126,0.02,rain,20.57,20.88,17.82,0.84,1006.8,0.91,0.97,13,0.07,0,16.093,265.2
20,2020-09-06 08:00:00,Clear,clear-day,0.0743,0.02,rain,22.36,22.68,18.25,0.78,1007.5,0.61,0.65,13,0.07,2,16.093,265.5
21,2020-09-06 09:00:00,Clear,clear-day,0.073,0.03,rain,23.95,24.28,18.79,0.73,1007.9,0.56,0.58,31,0.07,5,16.093,265.2
22,2020-09-06 10:00:00,Clear,clear-day,0.15,0.04,rain,25.31,25.94,19.67,0.71,1007.5,0.83,0.88,92,0.08,8,16.093,264.1
23,2020-09-06 11:00:00,Clear,clear-day,0.3055,0.05,rain,26.88,28.65,20.85,0.7,1006.8,1.23,1.36,153,0.09,10,16.052,262.7
24,2020-09-06 12:00:00,Clear,clear-day,0.4605,0.06,rain,28.08,30.62,21.75,0.69,1006.1,1.47,1.74,198,0.14,11,16.093,261.8
25,2020-09-06 13:00:00,Humid,clear-day,0.5462,0.07,rain,28.82,32.01,22.35,0.68,1005.2,1.53,1.92,211,0.24,10,16.093,261.5
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5998,0.08,rain,28.93,32.6,22.94,0.7,1004.4,1.51,2.0,208,0.37,8,16.093,261.3
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6562,0.08,rain,28.55,32.62,23.71,0.75,1003.9,1.41,1.95,207,0.46,5,16.093,261.5
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7378,0.08,rain,27.94,32.48,24.79,0.83,1003.7,1.23,1.75,216,0.52,3,16.093,262.0
