,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.3289,0.06,rain,32.0,37.04,23.24,0.6,1007.3,1.41,1.9,205,0.17,10,8.395,266.8
1,2020-09-05 13:00:00,Humid,clear-day,0.5673,0.07,rain,32.46,38.77,24.18,0.62,1006.2,1.47,2.0,219,0.17,10,8.853,267.6
2,2020-09-05 14:00:00,Humid,clear-day,0.853,0.08,rain,32.26,39.79,25.16,0.66,1005.2,1.46,1.98,221,0.16,8,10.974,268.4
3,2020-09-05 15:00:00,Humid,clear-day,1.031,0.09,rain,31.67,40.67,26.33,0.73,1004.5,1.37,1.91,214,0.16,5,13.312,268.9
4,2020-09-05 16:00:00,Humid,clear-day,1.0446,0.09,rain,30.71,41.67,27.91,0.85,1004.2,1.17,1.8,207,0.18,3,15.804,268.8
5,2020-09-05 17:00:00,Humid,clear-day,1.0003,0.11,rain,29.31,40.63,28.89,0.98,1004.0,0.93,1.65,284,0.19,1,16.093,268.6
6,2020-09-05 18:00:00,Humid,clear-day,0.8412,0.13,rain,27.93,38.04,27.93,1.0,1004.3,0.8,1.52,257,0.18,0,16.093,268.4
7,2020-09-05 19:00:00,Humid,clear-night,0.494,0.12,rain,26.89,33.86,26.89,1.0,1005.0,0.83,1.43,116,0.12,0,16.093,268.4
8,2020-09-05 20:00:00,Humid,clear-night,0.1914,0.1,rain,25.88,28.16,25.88,1.0,1005.9,0.93,1.36,20,0.06,0,16.093,268.2
9,2020-09-05 21:00:00,Humid,clear-night,0.0708,0.06,rain,25.1,26.23,25.1,1.0,1006.6,1.0,1.33,340,0.01,0,16.093,267.6
10,2020-09-05 22:00:00,Humid,clear-night,0.0379,0.04,rain,24.58,25.71,24.58,1.0,1007.1,1.04,1.35,338,0.01,0,16.093,266.2
11,2020-09-05 23:00:00,Humid,clear-night,0.0269,0.03,rain,24.03,24.99,23.3,0.96,1007.3,1.08,1.41,351,0.01,0,16.093,264.5
12,2020-09-06 00:00:00,Clear,clear-night,0.0232,0.02,rain,23.42,24.23,22.1,0.92,1007.3,1.12,1.47,358,0.01,0,16.093,263.6
