,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType
0,2020-09-05 12:00:00,Clear,clear-day,0.0,0.0,19.23,19.68,18.34,0.95,1010.6,1.5,2.07,235,0.02,12,16.093,260.0,
1,2020-09-05 13:00:00,Clear,clear-day,0.0,0.0,20.07,20.52,18.68,0.92,1009.1,1.58,2.35,233,0.09,11,16.093,259.4,
2,2020-09-05 14:00:00,Clear,clear-day,0.0123,0.01,20.08,20.59,19.03,0.94,1007.7,1.63,2.56,218,0.16,9,16.093,258.7,rain
3,2020-09-05 15:00:00,Clear,clear-day,0.0286,0.02,19.32,20.01,19.32,1.0,1007.2,1.64,2.64,196,0.21,6,16.093,258.6,rain
4,2020-09-05 16:00:00,Clear,clear-day,0.0754,0.04,18.04,19.12,18.04,1.0,1007.0,1.59,2.58,152,0.22,3,16.093,258.9,rain
5,2020-09-05 17:00:00,Clear,clear-day,0.1717,0.06,16.36,17.87,16.36,1.0,1006.7,1.51,2.43,103,0.22,1,16.093,259.6,rain
6,2020-09-05 18:00:00,Clear,clear-day,0.2385,0.08,15.04,16.76,15.04,1.0,1007.1,1.36,2.15,93,0.23,0,16.093,260.1,rain
7,2020-09-05 19:00:00,Clear,clear-night,0.2032,0.07,13.73,15.26,13.73,1.0,1008.6,1.16,1.74,101,0.27,0,15.098,260.4,rain
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1349,0.06,12.45,13.65,12.45,1.0,1010.6,0.94,1.27,70,0.32,0,14.105,260.6,rain
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.0963,0.05,11.61,12.56,11.61,1.0,1011.8,0.79,0.92,53,0.35,0,13.828,260.6,rain
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.089,0.04,11.35,12.11,11.35,1.0,1012.2,0.71,0.75,50,0.37,0,14.359,260.3,rain
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.0887,0.04,11.3,11.91,11.3,1.0,1012.2,0.68,0.71,53,0.38,0,15.481,259.9,rain
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.0778,0.04,11.16,11.64,11.16,1.0,1012.3,0.66,0.69,59,0.37,0,16.093,259.7,rain
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.0504,0.03,11.0,11.37,11.0,1.0,1012.2,0.66,0.7,69,0.33,0,16.093,259.6,rain
14,2020-09-06 02:00:00,Clear,clear-night,0.0239,0.03,10.86,11.13,10.86,1.0,1011.9,0.68,0.74,79,0.27,0,16.093,259.8,rain
15,2020-09-06 03:00:00,Clear,clear-night,0.01,0.03,10.91,11.05,10.91,1.0,1011.5,0.67,0.76,80,0.24,0,16.093,259.9,rain
