,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9794,0.15,rain,26.4,31.14,26.4,1.0,1007.5,1.8,3.13,192,0.81,7,10.124,263.6
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.1326,0.15,rain,26.82,34.26,26.82,1.0,1006.5,1.72,3.18,179,0.76,7,6.988,263.7
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3162,0.16,rain,26.35,30.54,26.35,1.0,1005.5,1.52,2.99,171,0.72,6,4.581,263.9
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.3713,0.17,rain,25.72,27.75,25.72,1.0,1004.7,1.33,2.73,171,0.71,4,3.967,263.7
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.21,0.18,rain,25.24,25.3,25.24,1.0,1004.3,1.19,2.37,170,0.75,2,5.832,262.9
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9617,0.18,rain,24.75,25.13,24.75,1.0,1004.0,1.06,1.95,159,0.8,1,8.767,262.0
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7062,0.18,rain,23.97,26.11,23.97,1.0,1004.2,0.93,1.63,145,0.84,0,10.808,261.1
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4232,0.16,rain,23.48,25.43,23.48,1.0,1005.1,0.83,1.46,114,0.85,0,13.441,260.5
8,2020-09-05 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2171,0.14,rain,23.0,24.89,23.0,1.0,1006.2,0.76,1.34,66,0.84,0,16.086,260.0
9,2020-09-05 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1693,0.13,rain,22.54,24.37,22.54,1.0,1006.8,0.71,1.25,42,0.81,0,16.093,259.6
10,2020-09-05 22:00:00,Mostly Cloudy,partly-cloudy-night,0.2648,0.15,rain,22.18,23.92,22.18,1.0,1006.8,0.61,1.21,26,0.74,0,16.093,259.5
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.4698,0.19,rain,22.06,23.71,22.06,1.0,1006.6,0.51,1.19,315,0.67,0,16.093,259.5
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.6697,0.24,rain,21.86,23.42,21.86,1.0,1006.4,0.46,1.14,318,0.65,0,16.093,259.6
13,2020-09-06 01:00:00,Rain,rain,0.9823,0.26,rain,21.7,23.25,21.7,1.0,1006.2,0.45,1.03,0,0.72,0,16.093,260.0
14,2020-09-06 02:00:00,Rain,rain,1.6007,0.26,rain,21.54,23.09,21.54,1.0,1006.0,0.45,0.91,112,0.82,0,16.027,260.6
15,2020-09-06 03:00:00,Rain,rain,1.8286,0.26,rain,21.28,22.8,21.28,1.0,1005.9,0.46,0.86,221,0.88,0,15.149,261.0
16,2020-09-06 04:00:00,Overcast,cloudy,1.1768,0.23,rain,21.12,22.63,21.12,1.0,1006.0,0.44,0.86,249,0.88,0,16.093,261.5
17,2020-09-06 05:00:00,Mostly Cloudy,partly-cloudy-night,0.5574,0.18,rain,20.99,22.52,20.99,1.0,1006.1,0.43,0.91,121,0.87,0,16.093,261.9
18,2020-09-06 06:00:00,Overcast,cloudy,0.3758,0.16,rain,20.71,22.21,20.71,1.0,1006.4,0.47,0.99,114,0.88,0,16.093,262.6
19,2020-09-06 07:00:00,Overcast,cloudy,0.2843,0.16,rain,20.99,22.5,20.99,1.0,1007.0,0.59,1.1,140,0.93,1,16.093,263.9
20,2020-09-06 08:00:00,Overcast,cloudy,0.2201,0.15,rain,22.01,23.57,22.01,1.0,1007.7,0.74,1.24,157,0.97,2,16.093,265.0
21,2020-09-06 09:00:00,Humid and Overcast,cloudy,0.243,0.15,rain,23.01,24.61,23.01,1.0,1007.9,0.92,1.42,179,1.0,4,16.093,265.0
22,2020-09-06 10:00:00,Humid and Overcast,cloudy,0.3682,0.14,rain,24.04,25.55,24.04,1.0,1007.7,1.15,1.65,184,1.0,5,15.204,263.3
23,2020-09-06 11:00:00,Humid and Overcast,cloudy,0.5922,0.12,rain,24.95,26.44,24.95,1.0,1007.2,1.38,1.9,181,0.99,5,13.505,261.1
24,2020-09-06 12:00:00,Humid and Overcast,cloudy,0.8003,0.12,rain,25.85,27.94,25.85,1.0,1006.6,1.5,2.08,177,0.99,6,11.674,259.5
25,2020-09-06 13:00:00,Humid and Overcast,cloudy,0.9374,0.12,rain,26.21,29.47,26.21,1.0,1005.9,1.49,2.15,174,0.99,5,9.312,258.6
26,2020-09-06 14:00:00,Humid and Overcast,cloudy,1.0332,0.13,rain,25.89,28.31,25.89,1.0,1005.3,1.4,2.16,171,0.99,5,7.304,258.2
