,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.1426,0.19,rain,29.63,41.01,28.72,0.95,1007.4,1.9,3.33,195,0.72,7,8.933,265.0
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.1967,0.19,rain,29.89,41.36,28.62,0.93,1006.4,1.74,3.53,168,0.58,7,5.931,265.0
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.2813,0.2,rain,29.69,40.96,28.63,0.94,1005.4,1.44,3.5,132,0.44,7,3.996,265.1
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.332,0.21,rain,29.38,41.74,29.37,1.0,1004.6,1.22,3.21,139,0.39,4,4.734,264.9
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.27,0.23,rain,29.06,42.9,29.06,1.0,1004.1,1.08,2.56,140,0.47,2,9.436,264.1
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.1221,0.22,rain,28.36,41.03,28.36,1.0,1003.8,0.99,1.8,115,0.61,0,15.282,263.1
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8791,0.21,rain,27.67,37.87,27.67,1.0,1003.9,0.99,1.43,105,0.71,0,16.093,262.5
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.517,0.18,rain,27.03,34.7,27.03,1.0,1004.7,1.14,1.63,80,0.77,0,15.229,262.1
8,2020-09-05 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2332,0.16,rain,26.46,30.64,26.46,1.0,1005.8,1.35,2.01,54,0.81,0,11.559,261.8
9,2020-09-05 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1663,0.15,rain,26.02,28.96,26.02,1.0,1006.4,1.41,2.18,42,0.8,0,10.998,261.5
10,2020-09-05 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2949,0.17,rain,25.72,27.65,25.72,1.0,1006.4,1.22,2.05,32,0.73,0,15.272,261.0
11,2020-09-05 23:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5839,0.23,rain,25.47,26.7,25.47,1.0,1006.2,0.94,1.81,314,0.65,0,16.093,260.7
12,2020-09-06 00:00:00,Rain and Humid,rain,1.01,0.32,rain,25.39,26.55,25.39,1.0,1006.0,0.74,1.59,329,0.64,0,16.093,260.7
13,2020-09-06 01:00:00,Rain and Humid,rain,1.9521,0.38,rain,25.19,26.56,25.19,1.0,1005.8,0.62,1.36,359,0.74,0,16.093,261.1
