,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.87,0.25,rain,29.52,37.1,26.41,0.83,1006.7,1.7,2.66,302,0.72,7,16.093,266.6
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4501,0.17,rain,29.91,37.95,26.5,0.82,1005.7,2.26,3.09,312,0.81,6,16.093,266.8
2,2020-09-05 14:00:00,Humid and Overcast,cloudy,0.1324,0.11,rain,30.36,38.9,26.59,0.8,1004.8,2.81,3.47,331,0.9,5,16.093,267.1
3,2020-09-05 15:00:00,Humid and Overcast,cloudy,0.1278,0.1,rain,30.61,39.51,26.71,0.8,1003.8,3.02,3.68,355,0.93,3,16.092,266.9
4,2020-09-05 16:00:00,Humid and Overcast,cloudy,0.2046,0.14,rain,30.72,40.16,27.01,0.81,1003.2,2.78,3.75,60,0.88,2,15.652,266.1
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3171,0.16,rain,29.97,38.73,26.97,0.84,1002.9,2.42,3.7,35,0.8,0,16.027,265.2
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3547,0.17,rain,29.11,37.21,27.04,0.89,1003.0,2.22,3.44,62,0.7,0,16.093,264.5
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2316,0.16,rain,28.12,35.05,26.84,0.93,1003.7,2.25,2.91,83,0.58,0,16.093,264.3
8,2020-09-05 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1235,0.13,rain,27.09,32.24,26.42,0.96,1004.7,2.4,2.5,83,0.45,0,16.093,264.2
9,2020-09-05 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1162,0.12,rain,26.3,29.23,25.95,0.98,1005.2,2.41,2.52,78,0.37,0,16.093,263.9
10,2020-09-05 22:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1828,0.14,rain,25.89,27.97,25.38,0.97,1005.2,2.1,2.71,69,0.33,0,16.093,263.3
11,2020-09-05 23:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.307,0.22,rain,25.59,27.08,25.12,0.97,1005.0,1.71,3.37,60,0.34,0,16.093,262.8
12,2020-09-06 00:00:00,Possible Light Rain and Humid,rain,0.4476,0.33,rain,25.3,26.41,24.96,0.98,1004.8,1.58,3.82,50,0.42,0,13.337,262.9
13,2020-09-06 01:00:00,Possible Light Rain and Humid,rain,0.8464,0.38,rain,25.04,26.18,24.82,0.99,1004.6,1.79,3.86,36,0.61,0,12.256,263.9
14,2020-09-06 02:00:00,Rain and Humid,rain,1.8466,0.38,rain,24.93,26.09,24.93,1.0,1004.5,2.09,3.78,25,0.85,0,12.2,265.4
15,2020-09-06 03:00:00,Rain and Humid,rain,2.5904,0.41,rain,24.63,25.85,24.63,1.0,1004.4,2.23,3.79,23,0.99,0,13.668,266.3
16,2020-09-06 04:00:00,Rain and Humid,rain,2.3116,0.41,rain,24.34,25.59,24.34,1.0,1004.5,2.09,3.95,36,1.0,0,16.093,266.4
17,2020-09-06 05:00:00,Rain and Humid,rain,1.7833,0.4,rain,24.14,25.39,24.14,1.0,1004.6,1.89,4.13,56,1.0,0,16.093,266.2
18,2020-09-06 06:00:00,Rain and Humid,rain,1.443,0.37,rain,24.22,25.43,24.22,1.0,1004.9,1.82,4.18,67,0.99,0,16.093,266.3
19,2020-09-06 07:00:00,Rain and Humid,rain,1.1194,0.33,rain,24.96,26.27,24.96,1.0,1005.6,1.96,4.1,66,1.0,1,16.093,266.9
20,2020-09-06 08:00:00,Possible Light Rain and Humid,rain,0.8,0.27,rain,26.11,28.79,25.79,0.98,1006.4,2.17,3.92,64,1.0,2,16.093,267.5
