,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Rain and Humid,rain,1.4065,0.26,rain,30.07,41.14,28.3,0.9,1007.2,1.67,3.14,208,0.67,7,11.173,265.8
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.2609,0.25,rain,30.5,42.5,28.59,0.9,1006.3,1.69,3.43,154,0.59,7,8.101,265.9
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.1655,0.25,rain,30.36,42.55,28.75,0.91,1005.2,1.64,3.57,43,0.5,6,5.87,266.0
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.1691,0.25,rain,30.23,43.12,29.17,0.94,1004.4,1.57,3.45,75,0.48,4,6.154,265.8
4,2020-09-05 16:00:00,Rain and Humid,rain,1.1412,0.25,rain,30.19,44.47,29.87,0.98,1003.9,1.48,2.97,111,0.53,2,10.122,264.8
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.049,0.24,rain,29.64,43.02,29.64,1.0,1003.5,1.41,2.37,77,0.62,0,15.19,263.8
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8421,0.22,rain,28.86,40.49,28.86,1.0,1003.7,1.43,2.06,67,0.68,0,16.093,263.2
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4881,0.18,rain,28.06,37.33,28.06,1.0,1004.4,1.61,2.2,65,0.71,0,14.956,263.0
8,2020-09-05 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2055,0.16,rain,27.25,34.51,27.25,1.0,1005.5,1.84,2.48,61,0.72,0,11.422,262.8
9,2020-09-05 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1485,0.15,rain,26.6,31.83,26.6,1.0,1006.0,1.87,2.59,50,0.71,0,10.372,262.6
10,2020-09-05 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3032,0.17,rain,26.36,29.62,26.36,1.0,1006.0,1.57,2.45,31,0.66,0,13.198,262.0
11,2020-09-05 23:00:00,Possible Light Rain and Humid,rain,0.6172,0.26,rain,26.34,29.61,26.34,1.0,1005.8,1.16,2.25,5,0.6,0,16.093,261.6
12,2020-09-06 00:00:00,Rain and Humid,rain,0.9989,0.4,rain,26.23,29.23,26.23,1.0,1005.6,0.88,2.02,7,0.61,0,16.093,261.5
13,2020-09-06 01:00:00,Rain and Humid,rain,1.8332,0.46,rain,25.96,28.3,25.96,1.0,1005.5,0.77,1.75,32,0.73,0,13.935,262.1
14,2020-09-06 02:00:00,Rain and Humid,rain,3.4345,0.49,rain,25.56,27.13,25.56,1.0,1005.3,0.74,1.48,42,0.87,0,9.383,263.1
15,2020-09-06 03:00:00,Rain and Humid,rain,4.0991,0.51,rain,25.04,26.3,25.04,1.0,1005.3,0.75,1.38,350,0.97,0,8.839,263.9
16,2020-09-06 04:00:00,Rain and Humid,rain,2.6689,0.44,rain,24.48,25.73,24.48,1.0,1005.3,0.82,1.51,17,0.99,0,14.488,264.4
17,2020-09-06 05:00:00,Rain and Humid,rain,1.2231,0.32,rain,24.04,25.27,24.04,1.0,1005.4,0.93,1.73,87,0.98,0,16.093,265.0
18,2020-09-06 06:00:00,Possible Light Rain and Humid,rain,0.7625,0.27,rain,23.99,25.18,23.99,1.0,1005.7,1.04,1.96,89,0.98,0,16.093,265.7
19,2020-09-06 07:00:00,Possible Light Rain and Humid,rain,0.597,0.26,rain,24.73,26.01,24.73,1.0,1006.3,1.17,2.23,101,0.99,1,16.093,266.4
20,2020-09-06 08:00:00,Possible Light Rain and Humid,rain,0.5008,0.26,rain,25.94,28.13,25.94,1.0,1007.1,1.3,2.46,117,1.0,2,12.343,267.1
21,2020-09-06 09:00:00,Possible Light Rain and Humid,rain,0.5355,0.25,rain,26.73,31.12,26.73,1.0,1007.4,1.38,2.47,131,1.0,4,9.479,266.7
22,2020-09-06 10:00:00,Humid and Overcast,cloudy,0.704,0.23,rain,27.53,33.99,26.87,0.96,1007.2,1.39,2.15,141,0.98,5,12.472,265.1
23,2020-09-06 11:00:00,Humid and Overcast,cloudy,0.9937,0.18,rain,28.2,35.04,26.73,0.92,1006.8,1.4,1.74,146,0.95,5,16.093,263.0
24,2020-09-06 12:00:00,Humid and Overcast,cloudy,1.1979,0.19,rain,29.14,36.64,26.59,0.86,1006.3,1.41,1.57,142,0.94,6,16.093,261.5
25,2020-09-06 13:00:00,Humid and Overcast,cloudy,1.2177,0.18,rain,30.22,39.02,26.84,0.82,1005.7,1.42,1.63,124,0.95,5,15.907,260.9
