,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Rain and Humid,rain,1.1156,0.28,rain,29.25,37.37,26.95,0.87,1007.0,1.59,2.97,229,0.55,8,16.093,266.5
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7799,0.23,rain,29.59,38.38,27.21,0.87,1006.1,1.91,3.33,313,0.64,7,16.093,266.5
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5572,0.2,rain,29.92,39.4,27.46,0.87,1005.0,2.22,3.58,345,0.73,5,13.24,266.6
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5838,0.21,rain,30.06,40.02,27.67,0.87,1004.1,2.36,3.7,20,0.79,4,11.128,266.3
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6297,0.22,rain,30.17,40.72,27.95,0.88,1003.6,2.28,3.63,102,0.78,2,10.995,265.4
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6393,0.22,rain,29.59,39.33,27.8,0.9,1003.2,2.13,3.45,61,0.75,0,11.877,264.4
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5672,0.21,rain,28.9,38.13,27.91,0.94,1003.4,2.04,3.22,41,0.72,0,13.411,263.7
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3813,0.19,rain,28.02,36.02,27.69,0.98,1004.1,2.05,2.92,52,0.68,0,16.058,263.6
8,2020-09-05 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2242,0.16,rain,27.16,33.02,26.98,0.99,1005.1,2.09,2.62,68,0.63,0,16.093,263.6
9,2020-09-05 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1991,0.14,rain,26.51,29.98,26.33,0.99,1005.7,2.03,2.5,70,0.58,0,16.093,263.3
10,2020-09-05 22:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.3121,0.17,rain,26.18,28.91,25.92,0.98,1005.6,1.76,2.65,57,0.52,0,16.093,262.7
11,2020-09-05 23:00:00,Possible Light Rain and Humid,rain,0.537,0.28,rain,25.91,28.05,25.54,0.98,1005.4,1.44,2.9,38,0.48,0,12.738,262.0
12,2020-09-06 00:00:00,Possible Light Rain and Humid,rain,0.7809,0.43,rain,25.61,27.18,25.3,0.98,1005.2,1.28,2.98,28,0.51,0,9.92,262.0
13,2020-09-06 01:00:00,Rain and Humid,rain,1.336,0.5,rain,25.28,26.42,25.14,0.99,1005.1,1.32,2.81,23,0.66,0,8.255,262.9
14,2020-09-06 02:00:00,Rain and Humid,rain,2.614,0.51,rain,25.04,26.24,25.04,1.0,1004.9,1.42,2.58,16,0.84,0,7.454,264.2
15,2020-09-06 03:00:00,Rain and Humid,rain,3.405,0.53,rain,24.71,25.95,24.71,1.0,1004.9,1.46,2.55,16,0.96,0,8.686,265.1
16,2020-09-06 04:00:00,Rain and Humid,rain,2.679,0.48,rain,24.38,25.61,24.38,1.0,1004.9,1.39,2.77,41,0.98,0,12.852,265.5
17,2020-09-06 05:00:00,Rain and Humid,rain,1.6638,0.43,rain,24.1,25.31,24.1,1.0,1005.1,1.31,3.08,76,0.97,0,16.093,265.7
18,2020-09-06 06:00:00,Rain and Humid,rain,1.1454,0.37,rain,24.05,25.23,24.05,1.0,1005.4,1.33,3.32,89,0.97,0,16.093,266.0
19,2020-09-06 07:00:00,Possible Light Rain and Humid,rain,0.8684,0.32,rain,24.68,25.84,24.68,1.0,1006.0,1.48,3.49,90,0.99,1,16.093,266.6
20,2020-09-06 08:00:00,Possible Light Rain and Humid,rain,0.6751,0.27,rain,25.81,27.61,25.48,0.98,1006.8,1.68,3.57,88,1.0,2,16.093,267.2
