,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0642,0.25,rain,29.83,39.73,27.76,0.89,1007.2,1.79,3.21,219,0.65,7,14.316,266.2
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9273,0.21,rain,30.52,41.78,28.18,0.87,1006.2,1.83,3.58,216,0.58,7,11.251,266.1
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8393,0.18,rain,30.86,43.02,28.48,0.87,1005.1,1.79,3.79,3,0.51,6,8.697,266.1
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8731,0.19,rain,30.83,43.55,28.77,0.89,1004.3,1.71,3.65,64,0.49,4,8.812,265.9
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9295,0.21,rain,30.81,44.56,29.29,0.92,1003.7,1.54,3.02,115,0.54,2,12.848,265.0
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9503,0.23,rain,30.16,43.3,29.34,0.95,1003.4,1.37,2.24,76,0.61,0,16.093,264.1
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8204,0.22,rain,29.33,41.37,29.25,1.0,1003.5,1.36,1.83,58,0.68,0,16.093,263.5
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4837,0.19,rain,28.39,38.35,28.39,1.0,1004.3,1.58,1.97,61,0.74,0,16.093,263.3
8,2020-09-05 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.201,0.15,rain,27.49,35.06,27.49,1.0,1005.3,1.89,2.34,61,0.79,0,15.077,263.3
9,2020-09-05 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1363,0.14,rain,26.75,32.12,26.75,1.0,1005.9,2.0,2.57,58,0.79,0,14.043,263.0
10,2020-09-05 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2802,0.17,rain,26.55,30.27,26.55,1.0,1005.9,1.75,2.52,50,0.71,0,16.093,262.3
11,2020-09-05 23:00:00,Possible Light Rain and Humid,rain,0.6235,0.27,rain,26.47,30.0,26.47,1.0,1005.7,1.4,2.51,347,0.62,0,16.093,261.6
12,2020-09-06 00:00:00,Rain and Humid,rain,1.1984,0.39,rain,26.27,29.29,26.24,1.0,1005.5,1.16,2.42,351,0.61,0,16.093,261.4
13,2020-09-06 01:00:00,Rain and Humid,rain,2.4985,0.47,rain,25.94,28.23,25.94,1.0,1005.4,1.07,2.24,4,0.73,0,16.093,262.0
14,2020-09-06 02:00:00,Rain and Humid,rain,4.577,0.51,rain,25.56,27.16,25.56,1.0,1005.2,1.04,2.03,47,0.88,0,11.558,263.0
15,2020-09-06 03:00:00,Rain and Humid,rain,5.3243,0.51,rain,25.02,26.24,25.02,1.0,1005.1,1.04,1.93,27,0.98,0,10.66,263.8
16,2020-09-06 04:00:00,Rain and Humid,rain,3.4863,0.45,rain,24.57,25.79,24.57,1.0,1005.1,1.06,1.97,41,0.99,0,15.468,264.5
17,2020-09-06 05:00:00,Rain and Humid,rain,1.5052,0.34,rain,24.16,25.37,24.16,1.0,1005.2,1.11,2.06,68,0.98,0,16.093,265.1
