,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Rain and Humid,rain,1.2799,0.28,rain,29.82,39.61,27.7,0.88,1007.1,1.57,3.03,229,0.64,7,15.329,266.2
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0225,0.24,rain,30.3,41.05,28.0,0.88,1006.2,1.76,3.38,248,0.63,7,11.797,266.2
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8403,0.22,rain,30.56,42.1,28.3,0.88,1005.1,1.93,3.6,1,0.63,6,8.556,266.4
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8451,0.21,rain,30.51,42.33,28.49,0.89,1004.3,1.98,3.58,41,0.64,4,7.676,266.1
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8641,0.23,rain,30.52,43.1,28.87,0.91,1003.7,1.88,3.24,108,0.65,2,10.102,265.1
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8411,0.23,rain,30.06,42.13,28.85,0.93,1003.4,1.75,2.78,68,0.67,0,13.726,264.1
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7088,0.21,rain,29.31,40.67,28.9,0.98,1003.5,1.72,2.48,50,0.69,0,15.885,263.4
7,2020-09-05 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4274,0.18,rain,28.37,37.95,28.37,1.0,1004.3,1.85,2.46,58,0.7,0,15.949,263.3
8,2020-09-05 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1928,0.15,rain,27.38,34.29,27.38,1.0,1005.3,2.04,2.52,66,0.71,0,15.314,263.3
9,2020-09-05 21:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1484,0.14,rain,26.67,31.66,26.67,1.0,1005.8,2.04,2.57,61,0.69,0,14.892,263.1
10,2020-09-05 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2941,0.17,rain,26.5,30.0,26.46,1.0,1005.8,1.7,2.57,45,0.63,0,15.004,262.4
11,2020-09-05 23:00:00,Possible Light Rain and Humid,rain,0.5815,0.28,rain,26.37,29.59,26.21,0.99,1005.6,1.28,2.58,21,0.56,0,14.96,261.8
12,2020-09-06 00:00:00,Rain and Humid,rain,0.9203,0.42,rain,26.14,28.81,25.95,0.99,1005.4,1.03,2.51,16,0.58,0,13.837,261.7
13,2020-09-06 01:00:00,Rain and Humid,rain,1.7062,0.49,rain,25.82,27.81,25.82,1.0,1005.3,1.01,2.29,25,0.71,0,10.721,262.4
14,2020-09-06 02:00:00,Rain and Humid,rain,3.3343,0.51,rain,25.44,26.82,25.44,1.0,1005.1,1.07,2.05,24,0.87,0,7.609,263.6
15,2020-09-06 03:00:00,Rain and Humid,rain,4.158,0.52,rain,24.95,26.22,24.95,1.0,1005.1,1.12,1.98,7,0.97,0,8.052,264.4
16,2020-09-06 04:00:00,Rain and Humid,rain,2.9384,0.46,rain,24.54,25.8,24.54,1.0,1005.1,1.12,2.13,31,0.99,0,13.879,264.9
17,2020-09-06 05:00:00,Rain and Humid,rain,1.5292,0.37,rain,24.16,25.39,24.16,1.0,1005.2,1.15,2.38,76,0.98,0,16.093,265.3
18,2020-09-06 06:00:00,Rain and Humid,rain,0.9592,0.32,rain,24.04,25.22,24.04,1.0,1005.5,1.22,2.6,85,0.98,0,16.093,265.8
19,2020-09-06 07:00:00,Possible Light Rain and Humid,rain,0.7227,0.29,rain,24.74,26.0,24.74,1.0,1006.2,1.37,2.82,92,0.99,1,16.093,266.6
