,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0091,0.01,rain,19.22,19.58,17.72,0.91,1008.9,1.64,1.92,288,0.04,13,16.093,258.9
1,2020-09-05 13:00:00,Clear,clear-day,0.0575,0.03,rain,19.16,19.85,19.16,1.0,1007.8,1.58,2.14,291,0.24,11,16.093,258.3
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.1978,0.04,rain,18.03,19.22,18.03,1.0,1006.8,1.44,2.26,296,0.48,8,10.333,257.7
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0.3805,0.05,rain,16.7,18.37,16.7,1.0,1005.6,1.32,2.24,307,0.63,5,7.348,257.5
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,0.5536,0.07,rain,15.51,17.5,15.51,1.0,1005.5,1.24,2.04,326,0.66,3,8.627,257.7
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.6819,0.09,rain,14.26,16.41,14.26,1.0,1005.7,1.16,1.75,355,0.67,1,11.222,258.2
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.638,0.09,rain,13.25,15.43,13.25,1.0,1006.4,1.06,1.45,51,0.65,0,11.598,258.6
7,2020-09-05 19:00:00,Mostly Cloudy,partly-cloudy-night,0.3796,0.08,rain,12.38,14.41,12.38,1.0,1007.8,0.95,1.14,99,0.62,0,8.403,259.2
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1348,0.05,rain,11.41,13.17,11.41,1.0,1009.7,0.84,0.9,50,0.57,0,4.822,259.7
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.0351,0.03,rain,10.58,12.06,10.58,1.0,1010.7,0.78,0.83,29,0.55,0,5.257,260.0
10,2020-09-05 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0109,0.03,rain,9.98,11.2,9.98,1.0,1011.0,0.77,0.79,38,0.6,0,11.639,260.2
11,2020-09-05 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0042,0.02,rain,9.48,10.44,9.48,1.0,1010.5,0.79,0.8,56,0.66,0,16.093,260.1
12,2020-09-06 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,8.97,9.69,8.97,1.0,1010.4,0.86,0.87,69,0.61,0,16.093,259.5
13,2020-09-06 01:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,8.41,8.9,8.41,1.0,1010.3,0.98,1.02,73,0.43,0,16.093,258.3
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,,7.9,8.23,7.9,1.0,1009.9,1.12,1.27,75,0.2,0,16.093,256.9
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,7.48,7.66,7.48,1.0,1009.7,1.22,1.5,77,0.06,0,16.093,256.2
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,6.77,6.8,6.77,1.0,1009.9,1.27,1.56,77,0.04,0,16.093,256.4
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,6.26,6.25,6.26,1.0,1010.0,1.28,1.54,77,0.04,0,16.093,257.0
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,,6.63,6.64,6.63,1.0,1010.1,1.23,1.43,85,0.04,0,16.093,257.6
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,8.39,8.54,8.39,1.0,1010.3,1.06,1.2,104,0.02,0,16.093,258.3
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,11.02,11.36,11.02,1.0,1010.5,0.88,0.96,116,0.0,2,16.093,259.1
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,,13.39,13.79,13.39,1.0,1010.2,0.86,0.96,75,0.0,5,16.093,259.3
22,2020-09-06 10:00:00,Clear,clear-day,0.0082,0.02,rain,15.37,15.79,15.37,1.0,1009.5,1.05,1.24,345,0.03,8,16.093,258.6
23,2020-09-06 11:00:00,Clear,clear-day,0.0309,0.03,rain,17.71,18.11,17.5,0.99,1008.4,1.32,1.68,300,0.07,11,15.556,257.6
24,2020-09-06 12:00:00,Clear,clear-day,0.09,0.04,rain,19.0,19.51,18.63,0.98,1007.4,1.46,2.0,284,0.16,12,11.91,256.9
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.2281,0.04,rain,19.25,20.02,19.25,1.0,1006.1,1.41,2.17,287,0.38,10,9.059,256.4
26,2020-09-06 14:00:00,Mostly Cloudy,partly-cloudy-day,0.4437,0.06,rain,18.33,19.51,18.33,1.0,1004.9,1.3,2.27,301,0.63,7,6.852,256.0
27,2020-09-06 15:00:00,Mostly Cloudy,partly-cloudy-day,0.6282,0.09,rain,16.98,18.6,16.98,1.0,1004.5,1.21,2.23,323,0.79,5,6.652,255.7
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,0.7176,0.1,rain,15.56,17.57,15.56,1.0,1004.7,1.14,2.03,2,0.8,3,9.115,255.5
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.731,0.13,rain,14.26,16.52,14.26,1.0,1005.2,1.07,1.75,59,0.78,1,12.743,255.4
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.6464,0.14,rain,13.11,15.47,13.11,1.0,1006.2,0.97,1.45,113,0.72,0,15.644,255.5
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,0.4481,0.12,rain,12.13,14.26,12.13,1.0,1007.6,0.84,1.11,112,0.62,0,16.093,255.8
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,0.2489,0.08,rain,11.07,12.95,11.07,1.0,1009.4,0.72,0.79,101,0.5,0,16.093,256.1
33,2020-09-06 21:00:00,Partly Cloudy,partly-cloudy-night,0.1368,0.06,rain,10.3,11.91,10.3,1.0,1011.1,0.68,0.69,93,0.43,0,16.093,256.1
34,2020-09-06 22:00:00,Partly Cloudy,partly-cloudy-night,0.0822,0.04,rain,10.05,11.42,10.05,1.0,1011.5,0.77,0.82,84,0.41,0,16.093,255.5
35,2020-09-06 23:00:00,Partly Cloudy,partly-cloudy-night,0.0469,0.03,rain,9.93,11.06,9.93,1.0,1011.7,0.89,1.05,73,0.41,0,16.093,254.9
36,2020-09-07 00:00:00,Partly Cloudy,partly-cloudy-night,0.0236,0.02,rain,9.74,10.65,9.74,1.0,1011.6,0.96,1.22,66,0.37,0,16.093,254.7
37,2020-09-07 01:00:00,Clear,clear-night,0.0086,0.01,rain,9.53,10.26,9.53,1.0,1011.4,0.98,1.25,65,0.28,0,16.093,255.2
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,,9.26,9.88,9.26,1.0,1010.5,0.97,1.26,66,0.16,0,16.093,255.9
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,8.96,9.45,8.96,1.0,1010.1,0.99,1.27,67,0.09,0,16.093,256.4
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,,8.13,8.49,8.13,1.0,1010.3,1.03,1.3,66,0.06,0,16.093,256.7
41,2020-09-07 05:00:00,Clear,clear-night,0.0033,0.01,rain,7.31,7.64,7.31,1.0,1010.6,1.08,1.31,67,0.06,0,16.093,256.8
42,2020-09-07 06:00:00,Clear,clear-night,0.0048,0.02,rain,7.37,7.76,7.37,1.0,1010.8,1.07,1.26,77,0.04,0,16.093,256.6
43,2020-09-07 07:00:00,Clear,clear-day,0.0,0.0,,8.89,9.41,8.89,1.0,1011.0,0.98,1.11,101,0.03,0,16.093,256.1
44,2020-09-07 08:00:00,Clear,clear-day,0.0,0.0,,11.33,11.97,11.33,1.0,1010.8,0.87,0.96,124,0.01,2,16.093,255.4
45,2020-09-07 09:00:00,Clear,clear-day,0.0,0.0,,13.6,14.26,13.6,1.0,1010.8,0.9,1.0,102,0.0,5,16.093,254.6
46,2020-09-07 10:00:00,Clear,clear-day,0.0,0.0,,15.66,16.31,15.66,1.0,1010.6,1.13,1.4,355,0.01,9,16.093,253.8
47,2020-09-07 11:00:00,Clear,clear-day,0.0414,0.03,rain,17.68,18.29,17.68,1.0,1009.9,1.39,1.9,315,0.03,11,16.093,253.1
48,2020-09-07 12:00:00,Clear,clear-day,0.103,0.04,rain,18.75,19.48,18.75,1.0,1009.1,1.52,2.27,290,0.1,12,16.093,252.6
