,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1344,0.04,rain,29.91,34.68,23.71,0.69,1007.6,1.08,1.84,186,0.67,7,16.093,267.9
1,2020-09-05 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2999,0.06,rain,30.71,36.9,24.67,0.7,1006.4,1.27,2.15,199,0.61,7,15.307,267.4
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5633,0.07,rain,30.72,38.12,25.63,0.74,1005.2,1.43,2.4,209,0.55,6,14.155,266.8
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7748,0.08,rain,30.28,38.85,26.65,0.81,1004.4,1.43,2.41,218,0.53,4,13.517,266.0
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8423,0.08,rain,29.66,39.34,27.74,0.89,1004.0,1.21,2.11,226,0.57,2,13.457,264.9
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.823,0.09,rain,28.34,36.85,27.8,0.97,1003.9,0.92,1.68,227,0.61,1,13.815,263.7
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.72,0.1,rain,27.06,33.21,27.06,1.0,1004.2,0.7,1.38,211,0.57,0,14.565,263.0
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.5205,0.1,rain,25.81,28.13,25.81,1.0,1005.1,0.58,1.25,170,0.4,0,15.777,263.0
8,2020-09-05 20:00:00,Humid,clear-night,0.3229,0.1,rain,24.65,25.86,24.65,1.0,1006.2,0.5,1.18,89,0.19,0,16.093,263.2
9,2020-09-05 21:00:00,Humid,clear-night,0.2074,0.1,rain,23.72,24.91,23.72,1.0,1007.0,0.47,1.1,17,0.07,0,16.093,263.2
10,2020-09-05 22:00:00,Humid,clear-night,0.1411,0.09,rain,23.17,24.27,23.17,1.0,1007.3,0.5,0.99,21,0.05,0,16.093,263.1
11,2020-09-05 23:00:00,Humid,clear-night,0.1006,0.09,rain,22.79,23.82,22.79,1.0,1007.4,0.56,0.9,21,0.07,0,16.093,262.9
12,2020-09-06 00:00:00,Humid,clear-night,0.0724,0.07,rain,22.34,23.32,22.34,1.0,1007.6,0.6,0.83,19,0.13,0,16.093,262.6
13,2020-09-06 01:00:00,Clear,clear-night,0.0449,0.06,rain,21.73,22.58,21.73,1.0,1007.6,0.6,0.81,22,0.21,0,16.093,262.2
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0274,0.05,rain,21.23,21.97,20.93,0.98,1007.6,0.6,0.81,25,0.32,0,16.093,261.7
