,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2218,0.05,rain,28.55,31.99,22.86,0.71,1007.6,0.94,1.7,179,0.53,8,14.214,267.8
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4316,0.07,rain,29.06,33.07,23.3,0.71,1006.4,1.15,2.07,194,0.51,8,13.531,267.5
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7361,0.08,rain,28.76,33.15,23.95,0.75,1005.2,1.34,2.39,212,0.5,7,13.21,267.0
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9532,0.09,rain,28.15,32.9,24.86,0.82,1004.5,1.37,2.45,227,0.5,5,12.865,266.3
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9732,0.09,rain,27.68,33.01,25.87,0.9,1004.0,1.16,2.14,242,0.55,2,12.266,265.3
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.887,0.09,rain,26.78,31.16,25.99,0.95,1003.9,0.88,1.69,247,0.6,1,11.87,264.2
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.731,0.09,rain,25.77,27.79,25.65,0.99,1004.2,0.68,1.36,225,0.56,0,12.263,263.5
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.4951,0.09,rain,24.53,25.64,24.53,1.0,1005.1,0.57,1.23,154,0.4,0,13.657,263.1
8,2020-09-05 20:00:00,Humid,clear-night,0.2754,0.09,rain,23.23,24.37,23.23,1.0,1006.3,0.51,1.15,36,0.19,0,15.579,263.1
9,2020-09-05 21:00:00,Clear,clear-night,0.1581,0.08,rain,22.22,23.35,22.22,1.0,1007.1,0.48,1.06,332,0.07,0,16.093,263.0
10,2020-09-05 22:00:00,Clear,clear-night,0.1128,0.08,rain,21.54,22.62,21.54,1.0,1007.4,0.49,0.93,351,0.05,0,16.093,263.1
11,2020-09-05 23:00:00,Clear,clear-night,0.0966,0.07,rain,20.99,21.97,20.99,1.0,1007.6,0.52,0.82,16,0.07,0,16.093,263.1
12,2020-09-06 00:00:00,Clear,clear-night,0.0819,0.07,rain,20.66,21.54,20.66,1.0,1007.8,0.55,0.74,30,0.11,0,16.093,262.9
13,2020-09-06 01:00:00,Clear,clear-night,0.0592,0.06,rain,20.32,21.09,20.32,1.0,1007.8,0.56,0.74,34,0.16,0,16.093,262.6
14,2020-09-06 02:00:00,Clear,clear-night,0.0458,0.06,rain,19.98,20.63,19.9,0.99,1007.6,0.57,0.76,36,0.23,0,16.093,262.0
15,2020-09-06 03:00:00,Clear,clear-night,0.0393,0.04,rain,19.61,20.13,18.92,0.96,1007.5,0.58,0.77,36,0.28,0,16.093,261.5
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0279,0.04,rain,18.82,19.23,17.95,0.95,1007.6,0.56,0.77,32,0.32,0,16.093,260.9
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0189,0.03,rain,18.14,18.5,17.36,0.95,1007.7,0.55,0.76,32,0.35,0,16.093,260.4
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.0176,0.03,rain,17.85,18.15,16.88,0.94,1008.0,0.53,0.75,49,0.39,0,16.093,260.4
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0177,0.02,rain,19.07,19.38,17.36,0.9,1008.5,0.5,0.74,89,0.46,1,16.093,261.2
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0223,0.02,rain,21.25,21.66,18.73,0.86,1009.2,0.49,0.74,132,0.53,2,16.093,262.2
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0581,0.03,rain,23.4,23.89,20.0,0.81,1009.2,0.54,0.85,163,0.54,4,16.093,262.6
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.1817,0.05,rain,25.27,26.09,20.92,0.77,1008.2,0.64,1.1,182,0.49,7,16.093,262.4
23,2020-09-06 11:00:00,Partly Cloudy,partly-cloudy-day,0.4231,0.07,rain,27.21,29.43,21.73,0.72,1007.2,0.78,1.4,189,0.41,9,14.927,261.8
