,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2765,0.05,rain,26.82,29.4,23.14,0.8,1007.5,1.2,1.99,181,0.45,9,12.239,267.6
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4862,0.07,rain,27.25,30.67,24.09,0.83,1006.3,1.38,2.31,195,0.56,8,13.163,267.1
2,2020-09-05 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7745,0.08,rain,26.69,30.18,25.14,0.91,1005.3,1.51,2.56,213,0.67,6,15.158,266.5
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9545,0.1,rain,25.73,27.72,25.73,1.0,1004.5,1.49,2.62,228,0.74,4,16.093,265.8
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.9183,0.1,rain,24.89,26.19,24.89,1.0,1004.1,1.28,2.4,242,0.76,2,15.64,265.0
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7978,0.1,rain,24.16,25.53,24.16,1.0,1003.9,1.0,2.04,246,0.75,1,14.84,264.1
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6421,0.1,rain,23.16,24.49,23.16,1.0,1004.2,0.76,1.7,223,0.67,0,15.048,263.5
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.4198,0.09,rain,22.28,23.62,22.28,1.0,1005.0,0.57,1.4,144,0.51,0,16.093,263.2
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.2206,0.08,rain,21.33,22.65,21.33,1.0,1006.1,0.43,1.11,350,0.32,0,16.093,263.0
9,2020-09-05 21:00:00,Clear,clear-night,0.1263,0.07,rain,20.48,21.76,20.48,1.0,1006.9,0.37,0.91,275,0.19,0,16.093,262.9
10,2020-09-05 22:00:00,Clear,clear-night,0.1273,0.07,rain,20.14,21.33,20.14,1.0,1007.2,0.38,0.82,292,0.16,0,16.093,262.7
11,2020-09-05 23:00:00,Clear,clear-night,0.174,0.08,rain,19.97,21.07,19.97,1.0,1007.3,0.43,0.79,344,0.17,0,16.093,262.6
12,2020-09-06 00:00:00,Clear,clear-night,0.1878,0.09,rain,19.65,20.66,19.65,1.0,1007.3,0.46,0.77,9,0.2,0,16.093,262.4
13,2020-09-06 01:00:00,Clear,clear-night,0.1356,0.08,rain,19.27,20.18,19.27,1.0,1007.2,0.47,0.77,17,0.25,0,16.093,262.2
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.0875,0.07,rain,18.96,19.81,18.96,1.0,1007.3,0.48,0.78,28,0.32,0,16.093,261.9
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0637,0.06,rain,18.86,19.65,18.86,1.0,1007.1,0.49,0.8,32,0.37,0,16.093,261.6
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0389,0.04,rain,18.59,19.3,18.59,1.0,1007.2,0.5,0.84,25,0.38,0,16.093,261.0
17,2020-09-06 05:00:00,Partly Cloudy,partly-cloudy-night,0.0201,0.03,rain,18.24,18.89,18.24,1.0,1007.4,0.52,0.89,20,0.37,0,16.093,260.6
18,2020-09-06 06:00:00,Partly Cloudy,partly-cloudy-day,0.017,0.03,rain,18.13,18.72,18.13,1.0,1007.7,0.54,0.95,34,0.38,0,16.093,260.6
19,2020-09-06 07:00:00,Partly Cloudy,partly-cloudy-day,0.0168,0.03,rain,19.11,19.68,19.06,1.0,1008.3,0.56,0.98,72,0.39,1,16.093,261.2
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0227,0.03,rain,20.77,21.39,19.96,0.95,1009.0,0.6,1.04,114,0.41,2,16.093,262.1
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0665,0.03,rain,22.46,23.1,20.66,0.9,1008.9,0.68,1.18,149,0.41,5,16.093,262.4
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.2214,0.05,rain,24.07,24.69,21.19,0.84,1008.0,0.83,1.44,173,0.38,7,16.093,262.2
23,2020-09-06 11:00:00,Partly Cloudy,partly-cloudy-day,0.5158,0.07,rain,25.92,26.89,21.77,0.78,1007.1,0.99,1.75,186,0.35,9,16.093,261.7
24,2020-09-06 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8221,0.08,rain,27.09,29.6,22.49,0.76,1006.3,1.16,2.01,196,0.37,10,16.093,261.3
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0636,0.09,rain,27.5,30.76,23.53,0.79,1005.4,1.37,2.23,204,0.45,9,12.072,261.1
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.3097,0.09,rain,26.99,30.39,24.67,0.87,1004.5,1.54,2.39,209,0.56,7,7.808,260.9
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.4672,0.1,rain,25.98,28.3,25.55,0.98,1004.0,1.55,2.38,211,0.64,4,5.909,260.7
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.4284,0.12,rain,25.0,26.3,25.0,1.0,1004.0,1.33,2.16,211,0.68,2,7.441,260.4
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.2909,0.13,rain,24.13,25.66,24.13,1.0,1004.2,1.03,1.84,208,0.7,1,10.061,260.0
30,2020-09-06 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.191,0.13,rain,23.06,24.64,23.06,1.0,1004.8,0.79,1.61,201,0.73,0,10.613,259.9
31,2020-09-06 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,1.1608,0.13,rain,22.28,23.87,22.28,1.0,1005.8,0.64,1.52,186,0.77,0,7.762,260.2
32,2020-09-06 20:00:00,Mostly Cloudy,partly-cloudy-night,1.1592,0.13,rain,21.49,23.06,21.49,1.0,1007.1,0.51,1.46,150,0.81,0,4.427,260.6
33,2020-09-06 21:00:00,Mostly Cloudy,partly-cloudy-night,1.1203,0.13,rain,20.78,22.24,20.78,1.0,1007.9,0.45,1.38,21,0.82,0,4.339,260.6
34,2020-09-06 22:00:00,Mostly Cloudy,partly-cloudy-night,1.0109,0.15,rain,20.53,21.9,20.53,1.0,1008.2,0.51,1.25,8,0.79,0,8.992,260.2
35,2020-09-06 23:00:00,Mostly Cloudy,partly-cloudy-night,0.8827,0.19,rain,20.37,21.63,20.37,1.0,1008.2,0.61,1.12,14,0.75,0,15.089,259.6
36,2020-09-07 00:00:00,Mostly Cloudy,partly-cloudy-night,0.7712,0.22,rain,19.99,21.11,19.99,1.0,1008.2,0.62,1.0,9,0.68,0,16.093,259.4
37,2020-09-07 01:00:00,Partly Cloudy,partly-cloudy-night,0.6718,0.18,rain,19.43,20.4,19.43,1.0,1008.0,0.52,0.86,9,0.58,0,16.093,259.5
38,2020-09-07 02:00:00,Partly Cloudy,partly-cloudy-night,0.5796,0.13,rain,18.88,19.74,18.88,1.0,1007.8,0.41,0.73,5,0.47,0,16.093,259.8
39,2020-09-07 03:00:00,Partly Cloudy,partly-cloudy-night,0.4552,0.12,rain,18.63,19.42,18.63,1.0,1007.7,0.34,0.66,20,0.43,0,16.093,260.1
40,2020-09-07 04:00:00,Partly Cloudy,partly-cloudy-night,0.2884,0.1,rain,18.44,19.17,18.44,1.0,1007.8,0.36,0.65,56,0.49,0,16.093,260.7
41,2020-09-07 05:00:00,Partly Cloudy,partly-cloudy-night,0.188,0.09,rain,18.18,18.88,18.18,1.0,1007.9,0.43,0.69,35,0.57,0,16.093,261.4
42,2020-09-07 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1747,0.09,rain,17.88,18.5,17.88,1.0,1008.1,0.5,0.79,41,0.61,0,16.093,261.9
43,2020-09-07 07:00:00,Partly Cloudy,partly-cloudy-day,0.1802,0.09,rain,18.63,19.2,18.63,1.0,1008.6,0.58,0.98,65,0.59,1,16.093,262.4
44,2020-09-07 08:00:00,Partly Cloudy,partly-cloudy-day,0.2081,0.08,rain,19.89,20.47,19.44,0.97,1009.1,0.71,1.23,86,0.54,2,16.093,262.8
45,2020-09-07 09:00:00,Partly Cloudy,partly-cloudy-day,0.2704,0.08,rain,21.14,21.76,20.08,0.94,1009.2,0.84,1.49,169,0.49,5,15.972,262.4
46,2020-09-07 10:00:00,Partly Cloudy,partly-cloudy-day,0.3793,0.08,rain,22.62,23.29,20.86,0.9,1008.9,1.02,1.78,157,0.43,7,14.579,261.1
47,2020-09-07 11:00:00,Partly Cloudy,partly-cloudy-day,0.5371,0.08,rain,24.17,24.87,21.83,0.87,1008.3,1.2,2.08,188,0.39,9,13.386,259.4
48,2020-09-07 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7161,0.09,rain,25.8,26.93,22.8,0.84,1007.6,1.36,2.33,204,0.43,9,13.272,258.3
