,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.2911,0.07,rain,32.26,46.43,28.89,0.82,1007.0,1.49,1.73,256,0.05,11,16.093,269.1
1,2020-09-05 13:00:00,Humid,clear-day,0.2877,0.08,rain,33.29,48.09,28.85,0.78,1006.1,1.59,1.89,252,0.18,10,16.093,268.8
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2665,0.08,rain,33.75,47.78,28.41,0.74,1005.0,1.65,2.0,256,0.33,8,16.093,268.5
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3176,0.09,rain,33.69,48.24,28.64,0.75,1004.2,1.58,1.97,252,0.44,5,16.093,268.3
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5337,0.12,rain,33.34,49.95,29.6,0.81,1003.7,1.26,1.67,255,0.49,3,16.093,267.8
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8453,0.15,rain,32.5,50.05,30.22,0.88,1003.3,0.89,1.32,319,0.52,1,16.093,267.4
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8871,0.15,rain,31.48,48.13,30.24,0.93,1003.3,0.81,1.25,297,0.46,0,16.093,267.3
7,2020-09-05 19:00:00,Humid,clear-night,0.4985,0.12,rain,30.28,44.3,29.69,0.97,1003.9,1.12,1.59,332,0.31,0,16.093,267.6
8,2020-09-05 20:00:00,Humid,clear-night,0.1413,0.08,rain,28.91,39.54,28.74,0.99,1004.7,1.54,2.07,20,0.12,0,16.093,268.0
9,2020-09-05 21:00:00,Humid,clear-night,0.0311,0.05,rain,27.91,35.85,27.76,0.99,1005.2,1.73,2.35,35,0.01,0,16.093,268.2
10,2020-09-05 22:00:00,Humid,clear-night,0.0175,0.04,rain,27.35,33.74,27.07,0.98,1005.4,1.58,2.35,58,0.01,0,16.093,268.1
11,2020-09-05 23:00:00,Humid,clear-night,0.0152,0.03,rain,27.12,32.66,26.55,0.97,1005.4,1.32,2.24,63,0.01,0,16.093,268.1
12,2020-09-06 00:00:00,Humid,clear-night,0.0135,0.03,rain,26.9,31.82,26.13,0.96,1005.4,1.17,2.08,9,0.01,0,16.093,268.0
13,2020-09-06 01:00:00,Humid,clear-night,0.007,0.02,rain,26.61,30.7,25.79,0.95,1005.3,1.2,1.83,70,0.0,0,16.093,267.8
14,2020-09-06 02:00:00,Humid,clear-night,0.0,0.0,,26.27,28.99,25.47,0.95,1005.2,1.28,1.6,49,0.0,0,16.093,267.6
15,2020-09-06 03:00:00,Humid,clear-night,0.0,0.0,,25.72,27.45,24.9,0.95,1004.9,1.33,1.6,31,0.0,0,16.093,267.2
16,2020-09-06 04:00:00,Humid,clear-night,0.0135,0.03,rain,25.1,26.08,24.24,0.95,1004.8,1.31,1.59,12,0.04,0,16.093,266.5
17,2020-09-06 05:00:00,Humid,clear-night,0.0426,0.03,rain,24.73,25.74,23.87,0.95,1004.6,1.27,1.62,0,0.09,0,16.093,265.7
