,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.285,0.07,rain,33.27,44.54,27.16,0.7,1006.8,1.16,1.7,193,0.02,11,15.627,269.1
1,2020-09-05 13:00:00,Humid,clear-day,0.43,0.08,rain,33.9,46.94,27.9,0.71,1005.8,1.2,1.66,258,0.08,10,16.093,268.7
2,2020-09-05 14:00:00,Humid,clear-day,0.6118,0.09,rain,34.02,48.69,28.63,0.74,1004.8,1.23,1.61,253,0.15,8,16.093,268.4
3,2020-09-05 15:00:00,Humid,clear-day,0.7262,0.1,rain,33.6,48.93,29.01,0.77,1004.0,1.25,1.72,228,0.21,6,16.093,268.1
4,2020-09-05 16:00:00,Humid,clear-day,0.7162,0.12,rain,33.07,48.97,29.38,0.81,1003.5,1.26,2.11,202,0.25,3,16.093,267.8
5,2020-09-05 17:00:00,Humid,clear-day,0.6465,0.12,rain,32.46,47.92,29.38,0.84,1003.2,1.26,2.54,336,0.28,1,16.093,267.5
6,2020-09-05 18:00:00,Humid,clear-day,0.5179,0.12,rain,31.52,45.42,29.04,0.87,1003.2,1.3,2.76,300,0.26,0,16.093,267.5
7,2020-09-05 19:00:00,Humid,clear-night,0.3067,0.1,rain,30.55,42.42,28.49,0.89,1003.8,1.47,2.69,318,0.19,0,16.093,267.7
8,2020-09-05 20:00:00,Humid,clear-night,0.1255,0.07,rain,29.4,39.08,27.87,0.91,1004.6,1.65,2.49,357,0.1,0,16.093,268.0
9,2020-09-05 21:00:00,Humid,clear-night,0.0458,0.05,rain,28.49,36.16,27.14,0.92,1005.1,1.73,2.36,30,0.04,0,16.093,268.2
10,2020-09-05 22:00:00,Humid,clear-night,0.0275,0.03,rain,28.09,34.98,26.85,0.93,1005.2,1.63,2.33,50,0.03,0,16.093,268.3
11,2020-09-05 23:00:00,Humid,clear-night,0.0341,0.03,rain,27.86,34.26,26.64,0.93,1005.1,1.49,2.32,51,0.03,0,16.093,268.2
12,2020-09-06 00:00:00,Humid,clear-night,0.0375,0.02,rain,27.56,33.32,26.34,0.93,1005.1,1.4,2.27,22,0.03,0,16.093,268.1
