,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.043,0.03,rain,26.15,26.68,18.88,0.64,1008.8,2.16,2.46,245,0.13,11,16.093,263.2
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.1078,0.04,rain,26.9,28.37,19.81,0.65,1007.4,2.17,2.54,247,0.32,10,16.093,263.0
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.2148,0.05,rain,26.72,28.41,20.87,0.7,1006.4,2.05,2.48,240,0.54,7,16.093,263.0
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0.2949,0.06,rain,25.87,27.34,22.1,0.8,1005.5,1.89,2.34,242,0.67,5,16.093,262.9
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2938,0.06,rain,24.83,25.75,23.74,0.94,1005.2,1.67,2.13,246,0.68,3,16.093,262.7
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2513,0.07,rain,23.77,25.01,23.77,1.0,1005.2,1.42,1.85,246,0.64,1,16.093,262.5
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2028,0.07,rain,22.52,23.91,22.52,1.0,1005.6,1.15,1.54,230,0.59,0,16.093,262.6
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.1528,0.08,rain,21.04,22.54,21.04,1.0,1006.6,0.86,1.16,182,0.53,0,16.093,262.9
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1097,0.08,rain,19.64,21.27,19.64,1.0,1008.0,0.58,0.91,27,0.45,0,16.093,263.4
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.0772,0.06,rain,18.66,20.19,18.66,1.0,1009.1,0.47,0.97,24,0.4,0,16.093,263.6
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.0461,0.05,rain,18.22,19.52,18.22,1.0,1009.4,0.64,1.21,35,0.39,0,16.093,263.7
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.0234,0.03,rain,17.99,19.04,17.99,1.0,1009.4,0.91,1.53,46,0.37,0,16.093,263.7
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.0134,0.02,rain,17.78,18.64,17.78,1.0,1008.9,1.1,1.75,53,0.33,0,16.093,263.4
13,2020-09-06 01:00:00,Clear,clear-night,0.0065,0.01,rain,17.53,18.14,17.53,1.0,1008.4,1.17,1.83,53,0.23,0,16.093,262.5
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,,17.37,17.73,17.11,0.98,1008.2,1.21,1.84,51,0.12,0,16.093,261.4
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,17.39,17.55,15.84,0.91,1007.7,1.23,1.86,49,0.05,0,16.093,260.9
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,17.02,17.05,14.75,0.86,1007.7,1.27,1.9,45,0.04,0,16.093,261.0
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,16.44,16.44,13.85,0.85,1007.8,1.28,1.91,43,0.04,0,16.093,261.4
18,2020-09-06 06:00:00,Clear,clear-night,0.0,0.0,,16.38,16.38,13.45,0.83,1008.0,1.24,1.76,56,0.04,0,16.093,261.9
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,17.6,17.6,13.9,0.79,1008.4,1.1,1.33,90,0.04,0,16.093,262.7
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,19.58,19.59,14.99,0.75,1008.8,0.97,0.97,195,0.04,2,16.093,263.3
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,,21.59,21.66,16.14,0.71,1008.9,1.02,1.02,261,0.04,5,16.093,263.5
22,2020-09-06 10:00:00,Clear,clear-day,0.0106,0.02,rain,23.18,23.36,17.2,0.69,1008.6,1.34,1.37,262,0.06,8,16.093,262.9
23,2020-09-06 11:00:00,Clear,clear-day,0.038,0.03,rain,25.09,25.35,18.27,0.66,1008.1,1.75,1.94,254,0.1,10,15.828,262.0
24,2020-09-06 12:00:00,Clear,clear-day,0.0909,0.04,rain,26.46,27.11,19.57,0.66,1006.9,2.0,2.35,242,0.19,11,13.829,261.4
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.186,0.06,rain,27.06,28.95,20.97,0.69,1005.8,2.05,2.47,241,0.34,9,15.132,261.1
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3212,0.06,rain,26.69,28.86,22.49,0.78,1004.9,2.0,2.49,237,0.52,7,16.093,260.9
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4246,0.08,rain,25.7,27.44,24.21,0.92,1004.5,1.88,2.41,242,0.62,5,16.093,260.6
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4553,0.09,rain,24.54,25.88,24.54,1.0,1004.5,1.68,2.2,252,0.64,3,11.566,260.3
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4534,0.12,rain,23.25,24.99,23.25,1.0,1004.8,1.42,1.92,221,0.61,1,5.899,259.9
30,2020-09-06 18:00:00,Partly Cloudy,partly-cloudy-day,0.4447,0.13,rain,22.06,24.01,22.06,1.0,1005.5,1.15,1.66,226,0.58,0,4.435,259.7
31,2020-09-06 19:00:00,Partly Cloudy,partly-cloudy-night,0.4393,0.12,rain,20.99,23.0,20.99,1.0,1006.7,0.87,1.39,189,0.55,0,8.935,259.7
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,0.4378,0.1,rain,20.17,22.08,20.17,1.0,1008.1,0.6,1.16,138,0.5,0,15.511,259.6
33,2020-09-06 21:00:00,Partly Cloudy,partly-cloudy-night,0.383,0.1,rain,19.51,21.31,19.51,1.0,1009.0,0.51,1.15,90,0.45,0,16.093,259.5
34,2020-09-06 22:00:00,Partly Cloudy,partly-cloudy-night,0.2378,0.09,rain,19.01,20.63,19.01,1.0,1009.3,0.65,1.48,73,0.41,0,16.093,259.0
35,2020-09-06 23:00:00,Partly Cloudy,partly-cloudy-night,0.1026,0.07,rain,18.64,20.06,18.64,1.0,1009.6,0.9,1.91,61,0.37,0,16.093,258.5
36,2020-09-07 00:00:00,Clear,clear-night,0.0398,0.05,rain,18.35,19.64,18.35,1.0,1010.0,1.07,2.16,53,0.31,0,16.093,258.5
37,2020-09-07 01:00:00,Clear,clear-night,0.0182,0.04,rain,18.12,19.22,18.12,1.0,1009.7,1.1,2.14,47,0.22,0,16.093,259.2
38,2020-09-07 02:00:00,Clear,clear-night,0.0098,0.03,rain,17.85,18.7,17.85,1.0,1009.0,1.1,2.03,44,0.11,0,16.093,260.1
39,2020-09-07 03:00:00,Clear,clear-night,0.0057,0.01,rain,17.79,18.41,17.79,1.0,1008.6,1.11,1.97,43,0.05,0,16.093,260.5
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,,17.41,17.89,17.41,1.0,1008.5,1.14,2.0,40,0.05,0,16.093,259.9
41,2020-09-07 05:00:00,Clear,clear-night,0.0065,0.01,rain,16.77,17.17,16.77,1.0,1008.7,1.16,2.01,41,0.05,0,16.093,259.0
42,2020-09-07 06:00:00,Clear,clear-night,0.0092,0.01,rain,16.56,16.91,16.56,1.0,1009.0,1.14,1.89,60,0.05,0,16.093,258.6
43,2020-09-07 07:00:00,Clear,clear-day,0.0045,0.01,rain,17.5,17.9,17.41,0.99,1009.2,1.04,1.52,99,0.03,0,16.093,258.7
44,2020-09-07 08:00:00,Clear,clear-day,0.0,0.0,,19.23,19.78,18.95,0.98,1009.8,0.95,1.13,170,0.02,2,16.093,259.0
45,2020-09-07 09:00:00,Clear,clear-day,0.0,0.0,,21.08,21.72,20.25,0.95,1010.0,1.02,1.06,257,0.02,5,16.093,258.7
46,2020-09-07 10:00:00,Clear,clear-day,0.0207,0.03,rain,22.54,23.23,21.04,0.91,1010.0,1.31,1.43,251,0.05,8,16.093,257.5
47,2020-09-07 11:00:00,Clear,clear-day,0.0832,0.05,rain,24.21,24.88,21.32,0.84,1009.7,1.66,1.94,241,0.1,10,11.731,256.2
48,2020-09-07 12:00:00,Clear,clear-day,0.1787,0.06,rain,25.33,26.08,22.15,0.83,1008.6,1.85,2.24,244,0.22,11,9.121,255.6
