,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0542,0.03,rain,27.72,29.15,19.42,0.61,1008.5,1.86,2.34,245,0.19,10,16.093,263.9
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.1237,0.05,rain,28.65,30.55,20.32,0.61,1007.4,1.89,2.39,250,0.35,9,16.093,263.7
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.2516,0.06,rain,28.73,31.16,21.21,0.64,1006.3,1.83,2.32,218,0.54,7,14.544,263.7
3,2020-09-05 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3592,0.06,rain,28.15,31.0,22.25,0.7,1005.6,1.72,2.15,234,0.65,5,14.131,263.5
4,2020-09-05 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3751,0.07,rain,27.17,30.24,23.71,0.81,1005.2,1.53,1.89,240,0.65,3,16.093,263.3
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.34,0.07,rain,26.04,28.37,24.88,0.93,1005.2,1.28,1.62,238,0.6,1,16.093,263.0
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.292,0.08,rain,24.55,25.68,24.55,1.0,1005.5,1.03,1.33,218,0.55,0,16.093,263.0
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2422,0.09,rain,23.02,24.41,23.02,1.0,1006.6,0.76,1.0,164,0.51,0,16.093,263.5
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1975,0.09,rain,21.38,22.88,21.38,1.0,1007.8,0.51,0.8,48,0.46,0,16.093,263.9
9,2020-09-05 21:00:00,Partly Cloudy,partly-cloudy-night,0.155,0.08,rain,20.2,21.57,20.2,1.0,1008.6,0.42,0.83,27,0.42,0,16.093,264.2
10,2020-09-05 22:00:00,Partly Cloudy,partly-cloudy-night,0.1009,0.07,rain,19.64,20.81,19.64,1.0,1008.9,0.59,1.08,32,0.4,0,16.093,264.2
11,2020-09-05 23:00:00,Partly Cloudy,partly-cloudy-night,0.0564,0.05,rain,19.33,20.28,19.33,1.0,1009.2,0.86,1.43,41,0.38,0,16.093,264.1
12,2020-09-06 00:00:00,Partly Cloudy,partly-cloudy-night,0.0327,0.03,rain,19.1,19.87,19.1,1.0,1009.2,1.06,1.69,45,0.33,0,16.093,263.8
13,2020-09-06 01:00:00,Clear,clear-night,0.0151,0.02,rain,18.95,19.5,18.84,0.99,1008.7,1.18,1.83,45,0.23,0,16.093,263.1
14,2020-09-06 02:00:00,Clear,clear-night,0.0036,0.01,rain,18.89,19.21,17.38,0.91,1008.3,1.27,1.92,43,0.12,0,16.093,262.4
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,18.95,19.09,16.16,0.84,1007.8,1.34,1.99,42,0.05,0,16.093,261.9
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,18.67,18.7,15.25,0.81,1007.8,1.41,2.08,37,0.04,0,16.093,261.8
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,18.33,18.32,14.64,0.79,1007.9,1.45,2.11,36,0.04,0,16.093,262.0
18,2020-09-06 06:00:00,Clear,clear-night,0.0,0.0,,18.18,18.18,14.09,0.77,1008.2,1.39,1.93,48,0.04,0,16.093,262.3
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,19.25,19.25,13.98,0.72,1008.5,1.19,1.42,77,0.04,0,16.093,263.2
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,21.27,21.27,14.96,0.67,1009.0,0.96,0.96,116,0.04,2,16.093,264.0
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,,23.25,23.29,16.21,0.65,1009.0,0.94,0.94,279,0.05,4,16.093,264.2
22,2020-09-06 10:00:00,Clear,clear-day,0.0124,0.02,rain,25.04,25.4,17.59,0.63,1008.5,1.22,1.26,218,0.06,7,16.093,263.5
23,2020-09-06 11:00:00,Clear,clear-day,0.043,0.03,rain,26.89,28.14,18.98,0.62,1007.9,1.6,1.88,235,0.09,10,16.093,262.6
24,2020-09-06 12:00:00,Clear,clear-day,0.0928,0.04,rain,28.36,30.15,20.19,0.61,1006.9,1.85,2.3,236,0.17,11,14.047,261.9
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.1702,0.06,rain,29.08,31.63,21.29,0.63,1005.9,1.94,2.44,237,0.33,9,14.423,261.6
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.281,0.06,rain,28.94,32.22,22.42,0.68,1005.0,1.93,2.49,232,0.51,7,15.584,261.4
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3816,0.07,rain,28.06,31.9,23.77,0.78,1004.6,1.84,2.41,233,0.62,5,15.569,261.2
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4541,0.09,rain,26.85,30.54,25.42,0.92,1004.5,1.64,2.15,237,0.64,3,13.686,260.9
29,2020-09-06 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5186,0.1,rain,25.52,27.47,25.52,1.0,1004.8,1.37,1.82,222,0.62,1,11.476,260.6
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5453,0.11,rain,24.16,25.71,24.16,1.0,1005.5,1.11,1.55,215,0.58,0,10.543,260.4
31,2020-09-06 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.5301,0.11,rain,22.88,24.58,22.88,1.0,1006.6,0.84,1.36,167,0.52,0,11.251,260.4
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,0.5137,0.12,rain,21.67,23.31,21.67,1.0,1008.0,0.61,1.24,101,0.45,0,12.797,260.4
33,2020-09-06 21:00:00,Partly Cloudy,partly-cloudy-night,0.4485,0.12,rain,20.68,22.19,20.68,1.0,1008.9,0.54,1.3,49,0.41,0,14.962,260.2
34,2020-09-06 22:00:00,Partly Cloudy,partly-cloudy-night,0.2786,0.1,rain,20.06,21.39,20.06,1.0,1009.2,0.71,1.62,44,0.4,0,16.093,259.6
35,2020-09-06 23:00:00,Partly Cloudy,partly-cloudy-night,0.117,0.08,rain,19.63,20.75,19.63,1.0,1009.4,0.99,2.03,48,0.4,0,16.093,259.0
36,2020-09-07 00:00:00,Partly Cloudy,partly-cloudy-night,0.0406,0.06,rain,19.32,20.28,19.32,1.0,1009.8,1.17,2.28,48,0.36,0,16.093,258.9
37,2020-09-07 01:00:00,Clear,clear-night,0.0132,0.04,rain,19.22,20.01,19.22,1.0,1009.3,1.23,2.32,42,0.26,0,16.093,259.6
38,2020-09-07 02:00:00,Clear,clear-night,0.0037,0.02,rain,19.23,19.82,19.23,1.0,1008.9,1.24,2.28,37,0.15,0,16.093,260.6
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,19.32,19.73,18.17,0.93,1008.5,1.26,2.26,34,0.08,0,16.093,260.9
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,,19.06,19.39,17.49,0.91,1008.5,1.3,2.3,33,0.07,0,16.093,260.4
41,2020-09-07 05:00:00,Clear,clear-night,0.0146,0.02,rain,18.7,18.99,17.12,0.91,1008.8,1.33,2.31,35,0.07,0,16.093,259.5
42,2020-09-07 06:00:00,Clear,clear-night,0.0212,0.02,rain,18.5,18.75,16.8,0.9,1009.2,1.28,2.13,50,0.07,0,16.093,259.1
43,2020-09-07 07:00:00,Clear,clear-day,0.0105,0.01,rain,19.27,19.52,17.03,0.87,1009.4,1.11,1.62,82,0.05,0,16.093,259.4
44,2020-09-07 08:00:00,Clear,clear-day,0.0,0.0,,20.95,21.31,18.3,0.85,1010.0,0.92,1.08,108,0.03,2,16.093,259.8
45,2020-09-07 09:00:00,Clear,clear-day,0.0,0.0,,22.77,23.21,19.51,0.82,1010.2,0.93,0.95,244,0.02,5,16.093,259.6
46,2020-09-07 10:00:00,Clear,clear-day,0.0133,0.02,rain,24.56,25.3,20.61,0.79,1010.0,1.22,1.36,219,0.03,8,16.093,258.3
47,2020-09-07 11:00:00,Clear,clear-day,0.0552,0.04,rain,26.51,28.26,21.37,0.73,1009.6,1.6,1.97,229,0.07,10,13.133,256.9
48,2020-09-07 12:00:00,Clear,clear-day,0.129,0.06,rain,27.64,30.21,22.11,0.72,1008.8,1.81,2.31,238,0.18,11,10.8,256.3
