,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.2467,0.06,rain,31.96,45.54,28.71,0.83,1007.0,1.53,1.76,259,0.02,11,16.093,269.3
1,2020-09-05 13:00:00,Humid,clear-day,0.2575,0.08,rain,33.16,47.65,28.76,0.78,1006.1,1.59,1.98,252,0.16,10,16.093,268.9
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2809,0.08,rain,33.89,48.28,28.53,0.74,1005.0,1.63,2.16,258,0.32,8,16.093,268.6
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3635,0.09,rain,33.9,48.42,28.58,0.74,1004.1,1.53,2.12,255,0.44,5,16.093,268.3
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5595,0.12,rain,33.53,49.76,29.4,0.79,1003.6,1.19,1.72,259,0.52,3,16.093,267.9
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8119,0.14,rain,32.66,49.86,30.03,0.86,1003.2,0.83,1.22,321,0.55,1,16.093,267.5
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8227,0.15,rain,31.55,47.73,30.02,0.92,1003.3,0.75,1.07,297,0.5,0,16.093,267.4
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.4644,0.11,rain,30.32,44.23,29.61,0.96,1003.8,1.06,1.42,332,0.34,0,16.093,267.7
8,2020-09-05 20:00:00,Humid,clear-night,0.1328,0.08,rain,28.9,39.64,28.8,0.99,1004.6,1.48,1.92,33,0.12,0,16.093,268.1
9,2020-09-05 21:00:00,Humid,clear-night,0.0238,0.06,rain,27.8,35.6,27.77,1.0,1005.1,1.68,2.23,37,0.0,0,16.093,268.4
10,2020-09-05 22:00:00,Humid,clear-night,0.0109,0.04,rain,27.24,33.45,27.03,0.99,1005.4,1.57,2.26,60,0.0,0,16.093,268.4
11,2020-09-05 23:00:00,Humid,clear-night,0.011,0.03,rain,27.03,32.49,26.54,0.97,1005.4,1.36,2.18,74,0.0,0,16.093,268.4
12,2020-09-06 00:00:00,Humid,clear-night,0.011,0.03,rain,26.8,31.35,26.06,0.96,1005.3,1.24,2.04,10,0.01,0,16.093,268.4
13,2020-09-06 01:00:00,Humid,clear-night,0.008,0.02,rain,26.45,29.53,25.65,0.95,1005.2,1.27,1.79,77,0.0,0,16.093,268.3
14,2020-09-06 02:00:00,Humid,clear-night,0.0078,0.02,rain,26.05,28.39,25.29,0.96,1005.1,1.34,1.56,54,0.0,0,16.093,268.2
15,2020-09-06 03:00:00,Humid,clear-night,0.0119,0.02,rain,25.49,26.89,24.75,0.96,1005.0,1.37,1.56,37,0.01,0,16.093,267.8
16,2020-09-06 04:00:00,Humid,clear-night,0.0307,0.03,rain,24.93,25.94,24.19,0.96,1004.6,1.33,1.58,25,0.05,0,16.093,267.0
17,2020-09-06 05:00:00,Humid,clear-night,0.0731,0.04,rain,24.58,25.59,23.83,0.96,1004.5,1.26,1.66,12,0.11,0,16.093,266.0
18,2020-09-06 06:00:00,Humid,clear-night,0.0976,0.04,rain,24.83,25.79,24.12,0.96,1004.7,1.14,1.7,16,0.17,0,16.093,265.8
19,2020-09-06 07:00:00,Humid,clear-day,0.0665,0.03,rain,25.77,27.5,24.91,0.95,1005.3,0.95,1.5,71,0.27,0,16.093,266.4
20,2020-09-06 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0325,0.02,rain,27.48,32.63,25.77,0.9,1006.1,0.76,1.26,129,0.37,2,16.093,267.3
21,2020-09-06 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0447,0.03,rain,29.13,36.83,26.74,0.87,1006.4,0.78,1.17,177,0.4,4,16.093,267.6
22,2020-09-06 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1563,0.06,rain,30.64,40.93,27.56,0.84,1006.2,1.11,1.26,187,0.37,6,16.093,266.9
23,2020-09-06 11:00:00,Humid,clear-day,0.384,0.09,rain,31.88,44.17,28.11,0.81,1005.6,1.53,1.54,192,0.3,8,16.093,265.9
24,2020-09-06 12:00:00,Humid,clear-day,0.5848,0.1,rain,32.75,46.34,28.46,0.78,1005.1,1.78,1.86,180,0.26,9,16.093,265.4
25,2020-09-06 13:00:00,Humid,clear-day,0.6399,0.11,rain,33.31,47.67,28.66,0.77,1004.5,1.79,2.26,150,0.26,9,16.093,265.7
26,2020-09-06 14:00:00,Humid,clear-day,0.6428,0.11,rain,33.42,47.53,28.52,0.76,1003.8,1.75,2.84,117,0.27,8,16.093,266.2
27,2020-09-06 15:00:00,Humid,clear-day,0.651,0.12,rain,33.03,46.71,28.43,0.77,1003.4,1.68,3.04,124,0.28,6,16.093,266.3
28,2020-09-06 16:00:00,Humid,clear-day,0.6785,0.13,rain,32.5,46.89,28.91,0.81,1003.1,1.5,2.71,15,0.28,3,16.093,265.8
29,2020-09-06 17:00:00,Humid,clear-day,0.6788,0.14,rain,31.7,46.0,29.14,0.86,1003.1,1.32,2.2,357,0.28,1,16.093,265.1
30,2020-09-06 18:00:00,Humid,clear-day,0.5454,0.13,rain,30.67,43.24,28.78,0.9,1003.3,1.27,1.93,349,0.25,0,16.093,264.8
