,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.1113,0.06,rain,31.3,42.25,27.63,0.81,1006.6,1.61,1.64,307,0.02,11,16.093,270.0
1,2020-09-05 13:00:00,Humid,clear-day,0.2198,0.09,rain,32.17,43.59,27.57,0.77,1005.5,1.63,1.93,288,0.14,10,16.093,269.3
2,2020-09-05 14:00:00,Humid,clear-day,0.3874,0.11,rain,32.82,44.47,27.49,0.74,1004.3,1.66,2.29,291,0.27,8,16.093,268.8
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5699,0.12,rain,33.04,45.1,27.63,0.73,1003.5,1.6,2.43,289,0.36,5,14.892,268.5
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7618,0.15,rain,32.96,45.98,28.13,0.76,1002.9,1.34,2.18,302,0.41,3,14.601,268.4
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9537,0.16,rain,32.41,45.98,28.56,0.8,1002.5,1.07,1.81,341,0.43,1,15.281,268.4
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9042,0.15,rain,31.18,43.62,28.47,0.86,1002.5,1.02,1.63,329,0.38,0,16.093,268.4
7,2020-09-05 19:00:00,Humid,clear-night,0.4994,0.11,rain,29.74,39.95,28.0,0.9,1003.0,1.24,1.73,347,0.25,0,16.093,268.6
8,2020-09-05 20:00:00,Humid,clear-night,0.1405,0.07,rain,28.18,35.81,27.33,0.95,1003.7,1.53,1.91,20,0.09,0,16.093,268.8
9,2020-09-05 21:00:00,Humid,clear-night,0.0246,0.05,rain,27.15,33.09,26.85,0.98,1004.4,1.63,2.04,44,0.0,0,16.093,269.0
10,2020-09-05 22:00:00,Humid,clear-night,0.0078,0.04,rain,26.6,31.11,26.28,0.98,1004.8,1.47,2.13,92,0.0,0,16.093,269.2
11,2020-09-05 23:00:00,Humid,clear-night,0.0059,0.04,rain,26.27,29.06,25.76,0.97,1005.1,1.24,2.17,156,0.0,0,16.093,269.2
12,2020-09-06 00:00:00,Humid,clear-night,0.0056,0.03,rain,25.95,28.14,25.42,0.97,1004.9,1.09,2.05,231,0.0,0,16.093,269.2
13,2020-09-06 01:00:00,Humid,clear-night,0.0,0.0,,25.67,27.31,25.11,0.97,1004.8,1.09,1.67,130,0.0,0,16.093,268.9
14,2020-09-06 02:00:00,Humid,clear-night,0.0,0.0,,25.5,26.84,24.9,0.96,1004.3,1.15,1.28,76,0.0,0,16.093,268.4
15,2020-09-06 03:00:00,Humid,clear-night,0.0036,0.01,rain,25.25,26.35,24.78,0.97,1004.3,1.19,1.23,41,0.01,0,16.093,267.9
16,2020-09-06 04:00:00,Humid,clear-night,0.0457,0.04,rain,24.85,25.97,24.63,0.99,1004.0,1.19,1.34,31,0.05,0,16.093,267.2
17,2020-09-06 05:00:00,Humid,clear-night,0.1499,0.06,rain,24.56,25.67,24.44,0.99,1003.8,1.18,1.59,358,0.1,0,16.093,266.5
18,2020-09-06 06:00:00,Humid,clear-night,0.2051,0.06,rain,24.79,25.85,24.56,0.99,1004.0,1.13,1.79,319,0.16,0,16.093,266.5
19,2020-09-06 07:00:00,Humid,clear-day,0.125,0.05,rain,25.54,27.07,25.07,0.97,1004.7,1.07,1.81,12,0.26,0,16.093,267.2
20,2020-09-06 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0419,0.03,rain,26.97,31.03,25.81,0.93,1005.5,1.0,1.77,96,0.36,2,16.093,268.1
21,2020-09-06 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0361,0.03,rain,28.49,35.28,26.45,0.89,1006.0,1.03,1.69,121,0.4,4,16.093,268.3
