,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.1036,0.05,rain,34.48,43.59,25.62,0.6,1006.1,1.55,2.34,110,0.09,11,16.093,270.0
1,2020-09-05 13:00:00,Humid,clear-day,0.2545,0.07,rain,34.71,44.87,26.2,0.61,1005.1,1.79,2.45,193,0.11,10,16.093,270.5
2,2020-09-05 14:00:00,Humid,clear-day,0.5227,0.1,rain,34.51,45.83,26.89,0.65,1004.0,1.98,2.5,253,0.14,8,13.567,271.0
3,2020-09-05 15:00:00,Humid,clear-day,0.7155,0.12,rain,34.09,45.94,27.27,0.68,1003.3,1.98,2.49,246,0.17,5,12.782,271.4
4,2020-09-05 16:00:00,Humid,clear-day,0.6987,0.12,rain,33.63,45.88,27.58,0.71,1002.7,1.72,2.34,159,0.19,3,16.093,271.3
5,2020-09-05 17:00:00,Humid,clear-day,0.596,0.12,rain,33.04,45.34,27.76,0.74,1002.3,1.37,2.24,27,0.21,1,16.093,271.1
6,2020-09-05 18:00:00,Humid,clear-day,0.4309,0.1,rain,32.14,44.16,27.89,0.78,1002.3,1.16,2.15,303,0.2,0,16.093,270.7
7,2020-09-05 19:00:00,Humid,clear-night,0.1811,0.07,rain,30.97,42.13,27.89,0.84,1002.9,1.2,2.12,312,0.15,0,16.093,270.2
8,2020-09-05 20:00:00,Humid,clear-night,0.0189,0.04,rain,29.57,38.95,27.58,0.89,1003.8,1.33,2.09,350,0.08,0,16.093,269.6
9,2020-09-05 21:00:00,Humid,clear-night,0.0,0.0,,28.47,36.14,27.15,0.93,1004.4,1.4,2.01,13,0.05,0,16.093,268.8
10,2020-09-05 22:00:00,Humid,clear-night,0.0913,0.05,rain,28.01,35.09,27.06,0.95,1004.4,1.34,1.84,12,0.06,0,16.093,267.6
11,2020-09-05 23:00:00,Humid,clear-night,0.2748,0.08,rain,27.71,34.3,26.91,0.95,1004.4,1.29,1.67,8,0.09,0,16.093,266.3
12,2020-09-06 00:00:00,Humid,clear-night,0.3539,0.09,rain,27.36,33.12,26.5,0.95,1004.3,1.33,1.6,8,0.13,0,16.093,265.6
13,2020-09-06 01:00:00,Humid,clear-night,0.1922,0.06,rain,26.85,31.39,26.0,0.95,1004.2,1.52,1.69,13,0.22,0,16.093,265.7
14,2020-09-06 02:00:00,Humid,clear-night,0.049,0.04,rain,26.25,28.93,25.47,0.95,1003.9,1.74,1.84,21,0.31,0,16.093,266.2
15,2020-09-06 03:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0264,0.02,rain,25.63,27.25,24.85,0.95,1003.8,1.86,1.96,28,0.34,0,16.093,266.4
16,2020-09-06 04:00:00,Humid,clear-night,0.0315,0.02,rain,24.96,25.93,24.04,0.95,1003.8,1.85,1.93,30,0.29,0,16.093,266.2
17,2020-09-06 05:00:00,Humid,clear-night,0.042,0.03,rain,24.44,25.4,23.41,0.94,1003.8,1.78,1.86,33,0.22,0,16.093,265.9
18,2020-09-06 06:00:00,Humid,clear-day,0.0537,0.03,rain,24.42,25.32,23.26,0.93,1004.1,1.67,1.74,38,0.19,0,16.093,266.0
19,2020-09-06 07:00:00,Humid,clear-day,0.0725,0.03,rain,25.14,26.28,23.19,0.89,1004.9,1.5,1.54,44,0.23,0,16.093,266.5
20,2020-09-06 08:00:00,Humid,clear-day,0.1298,0.04,rain,26.7,29.38,23.78,0.84,1005.7,1.32,1.39,51,0.29,2,16.093,267.1
21,2020-09-06 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1598,0.05,rain,27.95,32.1,24.34,0.81,1006.2,1.25,1.31,58,0.32,4,16.093,267.0
22,2020-09-06 10:00:00,Humid,clear-day,0.1132,0.05,rain,28.88,34.08,24.75,0.78,1006.2,1.37,1.41,69,0.29,7,16.093,266.2
23,2020-09-06 11:00:00,Humid,clear-day,0.0909,0.05,rain,29.88,36.26,25.22,0.76,1006.0,1.54,1.84,61,0.26,9,16.093,265.1
24,2020-09-06 12:00:00,Humid,clear-day,0.1184,0.06,rain,30.95,38.68,25.76,0.74,1005.4,1.6,2.19,30,0.26,10,16.093,264.3
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1413,0.07,rain,32.51,42.07,26.4,0.7,1004.6,1.49,2.43,23,0.34,9,16.093,264.0
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1639,0.08,rain,33.86,45.27,27.09,0.68,1003.6,1.31,2.72,43,0.44,7,16.093,264.1
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2144,0.09,rain,34.39,46.62,27.39,0.67,1002.9,1.18,2.78,100,0.5,5,16.093,264.2
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.335,0.1,rain,34.08,46.35,27.48,0.69,1002.5,1.05,2.49,111,0.51,3,16.093,264.5
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4762,0.11,rain,33.32,45.39,27.57,0.72,1002.4,0.96,2.09,92,0.5,1,16.093,265.0
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4631,0.11,rain,32.0,43.41,27.62,0.78,1002.7,0.98,1.91,125,0.42,0,16.093,265.3
31,2020-09-06 19:00:00,Humid,clear-night,0.2387,0.09,rain,30.46,40.47,27.48,0.84,1003.5,1.16,2.07,51,0.27,0,16.093,265.4
32,2020-09-06 20:00:00,Humid,clear-night,0.051,0.06,rain,28.75,36.49,27.01,0.9,1004.5,1.41,2.31,25,0.09,0,16.093,265.4
33,2020-09-06 21:00:00,Humid,clear-night,0.0037,0.02,rain,27.75,33.96,26.57,0.93,1005.5,1.56,2.4,22,0.0,0,16.093,265.1
34,2020-09-06 22:00:00,Humid,clear-night,0.0,0.0,,27.39,33.01,26.36,0.94,1005.8,1.54,2.24,21,0.01,0,16.093,264.6
35,2020-09-06 23:00:00,Humid,clear-night,0.0081,0.02,rain,27.21,32.37,26.09,0.94,1005.5,1.48,2.02,23,0.03,0,16.093,264.0
36,2020-09-07 00:00:00,Humid,clear-night,0.009,0.02,rain,26.97,31.56,25.74,0.93,1005.4,1.49,1.91,28,0.06,0,16.093,263.6
37,2020-09-07 01:00:00,Humid,clear-night,0.0,0.0,,26.66,30.52,25.43,0.93,1005.1,1.61,1.96,38,0.05,0,16.093,263.7
38,2020-09-07 02:00:00,Humid,clear-night,0.0,0.0,,26.27,28.9,25.15,0.94,1004.3,1.75,2.04,50,0.04,0,16.093,263.8
39,2020-09-07 03:00:00,Humid,clear-night,0.0,0.0,,25.77,27.53,24.74,0.94,1004.4,1.83,2.08,55,0.04,0,16.093,264.1
40,2020-09-07 04:00:00,Humid,clear-night,0.0165,0.03,rain,25.23,26.2,24.2,0.94,1005.0,1.84,2.06,52,0.03,0,16.093,264.4
41,2020-09-07 05:00:00,Humid,clear-night,0.0625,0.04,rain,24.73,25.71,23.67,0.94,1004.8,1.8,2.01,48,0.03,0,16.093,264.7
42,2020-09-07 06:00:00,Humid,clear-day,0.0958,0.05,rain,24.66,25.56,23.38,0.93,1005.1,1.73,1.92,52,0.08,0,16.093,265.1
43,2020-09-07 07:00:00,Humid,clear-day,0.0854,0.04,rain,25.54,26.81,23.47,0.88,1005.8,1.59,1.74,68,0.22,0,16.093,265.7
44,2020-09-07 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0904,0.04,rain,27.19,30.55,24.17,0.84,1006.5,1.46,1.56,89,0.37,2,16.093,266.2
45,2020-09-07 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1049,0.05,rain,28.69,33.72,24.72,0.79,1006.9,1.48,1.51,107,0.44,4,16.093,266.2
46,2020-09-07 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1101,0.06,rain,30.28,36.96,25.25,0.75,1006.9,1.73,1.73,129,0.38,6,16.093,265.6
47,2020-09-07 11:00:00,Humid,clear-day,0.1605,0.09,rain,31.9,40.17,25.78,0.7,1006.6,2.06,2.07,149,0.29,9,16.093,264.7
48,2020-09-07 12:00:00,Humid,clear-day,0.2379,0.11,rain,33.26,42.61,26.07,0.66,1006.0,2.28,2.35,154,0.29,9,16.093,264.1
