,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.3427,0.07,rain,33.61,44.65,26.97,0.68,1006.3,1.52,2.25,234,0.18,10,9.761,269.3
1,2020-09-05 13:00:00,Humid,clear-day,0.39,0.07,rain,34.88,46.36,26.89,0.63,1005.3,1.59,2.31,232,0.15,10,13.227,270.0
2,2020-09-05 14:00:00,Humid,clear-day,0.4449,0.07,rain,35.84,46.94,26.49,0.59,1004.3,1.64,2.29,249,0.12,8,16.093,270.9
3,2020-09-05 15:00:00,Humid,clear-day,0.5338,0.06,rain,36.17,48.1,26.87,0.59,1003.5,1.66,2.31,222,0.11,5,16.093,271.3
4,2020-09-05 16:00:00,Humid,clear-day,0.6299,0.08,rain,35.43,48.94,27.8,0.65,1003.0,1.67,2.44,138,0.14,3,16.093,271.3
5,2020-09-05 17:00:00,Humid,clear-day,0.679,0.08,rain,33.92,48.19,28.47,0.73,1002.7,1.67,2.57,351,0.19,1,16.093,271.0
6,2020-09-05 18:00:00,Humid,clear-day,0.5517,0.09,rain,32.37,46.88,29.0,0.82,1002.8,1.67,2.57,280,0.19,0,16.093,270.7
7,2020-09-05 19:00:00,Humid,clear-night,0.2372,0.09,rain,31.04,43.89,28.74,0.88,1003.4,1.64,2.42,292,0.13,0,16.093,270.2
8,2020-09-05 20:00:00,Humid,clear-night,0.0247,0.06,rain,29.68,40.4,28.32,0.92,1004.2,1.62,2.2,351,0.06,0,16.093,269.6
9,2020-09-05 21:00:00,Humid,clear-night,0.0,0.0,,28.76,37.99,27.99,0.96,1004.6,1.58,2.01,13,0.01,0,16.093,268.7
10,2020-09-05 22:00:00,Humid,clear-night,0.0,0.0,,28.19,35.88,27.36,0.95,1005.0,1.48,1.87,14,0.01,0,16.093,267.4
11,2020-09-05 23:00:00,Humid,clear-night,0.0184,0.02,rain,27.83,34.31,26.73,0.94,1005.0,1.39,1.77,11,0.02,0,16.093,265.9
12,2020-09-06 00:00:00,Humid,clear-night,0.0367,0.04,rain,27.57,33.14,26.17,0.92,1004.9,1.4,1.73,9,0.07,0,16.093,265.2
13,2020-09-06 01:00:00,Humid,clear-night,0.0487,0.03,rain,27.2,31.75,25.51,0.9,1004.7,1.57,1.77,9,0.18,0,16.093,265.5
14,2020-09-06 02:00:00,Humid,clear-night,0.0585,0.04,rain,26.68,30.0,24.7,0.89,1004.5,1.78,1.86,10,0.29,0,16.093,266.0
15,2020-09-06 03:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0907,0.04,rain,26.05,27.99,23.9,0.88,1004.4,1.93,1.99,14,0.36,0,16.093,266.2
16,2020-09-06 04:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2351,0.05,rain,25.13,25.92,23.06,0.88,1004.4,2.02,2.1,19,0.35,0,16.093,266.0
17,2020-09-06 05:00:00,Humid,clear-night,0.5129,0.07,rain,24.31,25.13,22.47,0.89,1004.5,2.07,2.16,27,0.31,0,16.093,265.6
18,2020-09-06 06:00:00,Humid,clear-day,0.6475,0.07,rain,24.17,24.97,22.45,0.9,1004.8,2.0,2.05,37,0.3,0,16.093,265.6
19,2020-09-06 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4534,0.06,rain,24.96,25.98,22.67,0.87,1005.5,1.75,1.75,49,0.35,0,16.093,266.2
20,2020-09-06 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2072,0.04,rain,26.5,28.87,23.48,0.84,1006.2,1.46,1.46,51,0.42,2,16.093,266.8
21,2020-09-06 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1098,0.04,rain,27.72,31.59,24.23,0.81,1006.6,1.26,1.26,47,0.44,4,16.093,266.8
22,2020-09-06 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.158,0.06,rain,28.66,33.94,25.0,0.81,1006.5,1.22,1.28,77,0.4,6,16.093,265.8
23,2020-09-06 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.304,0.08,rain,29.75,36.79,25.83,0.8,1006.1,1.22,1.68,140,0.34,8,15.025,264.6
24,2020-09-06 12:00:00,Humid,clear-day,0.4187,0.09,rain,30.96,39.89,26.58,0.78,1005.5,1.2,2.08,271,0.31,9,13.427,263.7
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3968,0.08,rain,32.54,42.96,26.9,0.72,1004.7,1.13,2.26,275,0.32,9,15.195,263.5
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3391,0.07,rain,33.82,45.01,26.98,0.68,1003.8,1.06,2.36,275,0.34,7,16.093,263.6
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3384,0.07,rain,34.54,47.03,27.49,0.67,1003.2,0.99,2.34,267,0.36,5,16.093,263.8
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4153,0.08,rain,34.26,48.09,28.2,0.71,1003.0,0.91,2.15,285,0.41,3,16.093,264.2
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4877,0.08,rain,33.25,47.39,28.58,0.77,1002.9,0.86,1.9,334,0.44,1,16.093,264.6
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4158,0.09,rain,31.91,45.37,28.68,0.83,1003.2,0.95,1.85,310,0.43,0,16.093,264.9
31,2020-09-06 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1841,0.09,rain,30.59,42.11,28.27,0.87,1004.0,1.22,2.07,316,0.33,0,16.093,264.8
32,2020-09-06 20:00:00,Humid,clear-night,0.0235,0.06,rain,29.03,38.05,27.69,0.92,1005.0,1.56,2.37,25,0.21,0,16.093,264.7
33,2020-09-06 21:00:00,Humid,clear-night,0.0,0.0,,28.17,35.87,27.38,0.95,1005.7,1.79,2.5,17,0.13,0,16.093,264.4
34,2020-09-06 22:00:00,Humid,clear-night,0.0,0.0,,27.79,34.38,26.85,0.95,1005.8,1.84,2.4,20,0.1,0,16.093,264.0
35,2020-09-06 23:00:00,Humid,clear-night,0.0,0.0,,27.65,33.5,26.34,0.93,1005.7,1.82,2.21,30,0.09,0,16.093,263.6
36,2020-09-07 00:00:00,Humid,clear-night,0.0071,0.02,rain,27.48,32.74,25.95,0.91,1005.6,1.8,2.11,38,0.1,0,16.093,263.3
37,2020-09-07 01:00:00,Humid,clear-night,0.0,0.0,,27.14,31.65,25.51,0.91,1005.5,1.76,2.11,45,0.13,0,16.093,263.4
38,2020-09-07 02:00:00,Humid,clear-night,0.0,0.0,,26.67,30.15,24.92,0.9,1004.8,1.71,2.11,51,0.17,0,16.093,263.6
39,2020-09-07 03:00:00,Humid,clear-night,0.0,0.0,,26.1,28.14,24.21,0.89,1004.4,1.7,2.13,53,0.2,0,16.093,263.8
40,2020-09-07 04:00:00,Humid,clear-night,0.0072,0.01,rain,25.34,26.14,23.3,0.89,1005.2,1.73,2.18,45,0.2,0,16.093,264.1
41,2020-09-07 05:00:00,Humid,clear-night,0.0269,0.03,rain,24.58,25.39,22.46,0.88,1005.4,1.76,2.21,36,0.2,0,16.093,264.3
42,2020-09-07 06:00:00,Humid,clear-day,0.0461,0.03,rain,24.56,25.3,22.22,0.87,1005.6,1.69,2.09,44,0.2,0,16.093,264.7
43,2020-09-07 07:00:00,Humid,clear-day,0.0518,0.03,rain,25.66,26.79,22.53,0.83,1006.3,1.47,1.74,73,0.19,0,16.093,265.4
44,2020-09-07 08:00:00,Humid,clear-day,0.0675,0.04,rain,27.41,30.53,23.36,0.79,1006.9,1.23,1.35,104,0.19,2,15.152,266.1
45,2020-09-07 09:00:00,Humid,clear-day,0.1112,0.05,rain,29.02,33.75,24.15,0.75,1007.3,1.21,1.22,126,0.19,4,13.879,266.2
46,2020-09-07 10:00:00,Humid,clear-day,0.1925,0.06,rain,30.37,36.63,24.87,0.73,1007.1,1.53,1.53,142,0.21,7,16.093,265.4
47,2020-09-07 11:00:00,Humid,clear-day,0.3029,0.08,rain,31.67,39.6,25.63,0.7,1006.8,1.95,1.95,152,0.25,9,16.093,264.4
48,2020-09-07 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3954,0.09,rain,32.87,42.55,26.38,0.69,1006.3,2.14,2.14,157,0.34,9,16.093,263.6
