,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0501,0.05,rain,18.06,18.82,18.06,1.0,1009.2,2.51,2.72,356,0.28,11,14.989,261.0
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.0999,0.06,rain,17.95,18.83,17.95,1.0,1007.9,2.44,2.61,349,0.51,9,13.235,261.5
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.1746,0.07,rain,17.35,18.45,17.35,1.0,1006.7,2.32,2.41,353,0.76,6,11.12,262.4
3,2020-09-05 15:00:00,Overcast,cloudy,0.2515,0.08,rain,16.47,17.79,16.47,1.0,1005.9,2.21,2.25,4,0.89,4,9.615,262.9
4,2020-09-05 16:00:00,Overcast,cloudy,0.3196,0.09,rain,15.78,17.27,15.78,1.0,1005.6,2.13,2.15,25,0.88,2,9.434,263.0
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.3681,0.09,rain,15.26,16.83,15.26,1.0,1005.5,2.05,2.06,17,0.84,1,9.66,263.0
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.3451,0.08,rain,14.92,16.44,14.92,1.0,1005.9,1.98,1.98,28,0.74,0,11.454,263.0
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.23,0.07,rain,14.28,15.54,14.28,1.0,1006.8,1.91,1.91,28,0.57,0,16.093,263.2
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.1128,0.06,rain,13.5,14.48,13.5,1.0,1008.2,1.87,1.87,9,0.37,0,16.093,263.2
9,2020-09-05 21:00:00,Clear,clear-night,0.0596,0.04,rain,12.87,13.62,12.87,1.0,1009.2,1.85,1.85,356,0.23,0,16.093,262.8
10,2020-09-05 22:00:00,Clear,clear-night,0.047,0.04,rain,12.47,13.08,12.47,1.0,1009.6,1.87,1.87,355,0.16,0,16.093,261.3
11,2020-09-05 23:00:00,Clear,clear-night,0.0472,0.04,rain,12.15,12.66,12.15,1.0,1009.7,1.92,1.92,359,0.13,0,16.093,259.6
12,2020-09-06 00:00:00,Clear,clear-night,0.0544,0.04,rain,11.81,12.16,11.81,1.0,1009.7,1.99,2.01,1,0.15,0,16.093,258.8
13,2020-09-06 01:00:00,Clear,clear-night,0.0744,0.04,rain,11.56,11.72,11.56,1.0,1009.5,2.09,2.11,1,0.24,0,16.093,259.1
14,2020-09-06 02:00:00,Partly Cloudy,partly-cloudy-night,0.1002,0.04,rain,11.45,11.48,11.45,1.0,1009.3,2.19,2.21,1,0.34,0,16.093,259.9
15,2020-09-06 03:00:00,Partly Cloudy,partly-cloudy-night,0.0969,0.03,rain,11.6,11.6,11.6,1.0,1009.2,2.24,2.28,1,0.39,0,16.093,260.6
16,2020-09-06 04:00:00,Partly Cloudy,partly-cloudy-night,0.0558,0.03,rain,11.62,11.62,11.33,0.98,1009.2,2.23,2.26,359,0.36,0,16.093,260.9
17,2020-09-06 05:00:00,Clear,clear-night,0.0191,0.03,rain,11.34,11.34,10.89,0.97,1009.0,2.18,2.21,358,0.3,0,16.093,261.2
18,2020-09-06 06:00:00,Clear,clear-day,0.007,0.02,rain,11.14,11.14,11.13,1.0,1008.6,2.12,2.14,8,0.25,0,16.093,261.6
19,2020-09-06 07:00:00,Clear,clear-day,0.0046,0.02,rain,11.53,11.57,11.53,1.0,1009.0,2.03,2.03,35,0.21,1,16.093,262.4
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,12.66,12.94,12.66,1.0,1009.5,1.95,1.95,50,0.18,2,16.093,263.0
21,2020-09-06 09:00:00,Clear,clear-day,0.0043,0.01,rain,14.28,14.82,14.28,1.0,1009.5,1.95,1.95,4,0.16,5,16.093,262.8
22,2020-09-06 10:00:00,Clear,clear-day,0.0142,0.03,rain,15.86,16.57,15.86,1.0,1009.2,2.06,2.06,343,0.15,8,16.093,261.4
23,2020-09-06 11:00:00,Clear,clear-day,0.0527,0.05,rain,17.45,18.22,17.45,1.0,1008.9,2.19,2.24,355,0.15,11,16.093,259.6
24,2020-09-06 12:00:00,Clear,clear-day,0.1164,0.06,rain,18.28,19.08,18.28,1.0,1007.7,2.27,2.44,359,0.24,11,16.093,258.5
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.2023,0.08,rain,18.43,19.31,18.43,1.0,1006.5,2.26,2.49,350,0.44,9,13.538,258.2
26,2020-09-06 14:00:00,Mostly Cloudy,partly-cloudy-day,0.3034,0.09,rain,17.92,18.99,17.92,1.0,1005.6,2.23,2.45,351,0.69,7,10.372,258.3
27,2020-09-06 15:00:00,Mostly Cloudy,partly-cloudy-day,0.3732,0.1,rain,17.03,18.31,17.03,1.0,1005.1,2.16,2.35,8,0.85,4,8.875,258.5
28,2020-09-06 16:00:00,Overcast,cloudy,0.3827,0.1,rain,16.18,17.66,16.18,1.0,1005.1,2.06,2.18,26,0.89,2,9.639,258.8
29,2020-09-06 17:00:00,Overcast,cloudy,0.3518,0.1,rain,15.53,17.11,15.53,1.0,1005.4,1.95,2.03,18,0.92,1,10.971,259.2
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.3029,0.1,rain,15.1,16.68,15.1,1.0,1006.1,1.89,1.93,29,0.87,0,12.799,259.2
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,0.247,0.08,rain,14.52,15.89,14.52,1.0,1007.3,1.88,1.91,29,0.71,0,16.093,258.9
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,0.1898,0.07,rain,13.87,14.98,13.87,1.0,1008.7,1.91,1.92,11,0.5,0,16.093,258.4
33,2020-09-06 21:00:00,Partly Cloudy,partly-cloudy-night,0.1277,0.06,rain,13.22,14.12,13.22,1.0,1009.9,1.96,1.96,0,0.35,0,16.093,257.9
34,2020-09-06 22:00:00,Clear,clear-night,0.0533,0.05,rain,12.79,13.53,12.79,1.0,1010.5,2.02,2.02,359,0.28,0,16.093,257.6
35,2020-09-06 23:00:00,Clear,clear-night,0.0095,0.02,rain,12.45,13.07,12.45,1.0,1010.0,2.09,2.09,2,0.24,0,16.093,257.3
36,2020-09-07 00:00:00,Clear,clear-night,0.0,0.0,,12.04,12.49,12.04,1.0,1009.6,2.12,2.12,4,0.19,0,16.093,257.2
37,2020-09-07 01:00:00,Clear,clear-night,0.0,0.0,,11.76,12.05,11.76,1.0,1009.4,2.1,2.1,4,0.13,0,16.093,257.3
