,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0695,0.03,rain,24.91,25.13,17.67,0.64,1008.4,2.47,2.6,63,0.26,10,16.093,265.2
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.1805,0.06,rain,25.06,25.32,18.0,0.65,1007.4,2.56,2.68,62,0.4,9,16.093,265.6
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.3662,0.07,rain,24.46,24.77,18.5,0.69,1006.3,2.61,2.73,60,0.56,7,16.093,266.2
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0.5486,0.08,rain,23.75,24.14,19.1,0.75,1005.6,2.6,2.71,59,0.65,4,14.983,266.5
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,0.675,0.08,rain,23.02,23.49,19.55,0.81,1005.2,2.49,2.6,57,0.67,2,12.963,266.5
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.7403,0.09,rain,22.29,22.77,19.51,0.84,1005.0,2.34,2.44,57,0.64,1,11.527,266.6
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.6914,0.09,rain,21.47,21.92,19.06,0.86,1005.3,2.21,2.3,54,0.57,0,12.058,266.6
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.5048,0.08,rain,20.5,20.87,18.23,0.87,1006.1,2.09,2.17,41,0.45,0,15.358,267.0
8,2020-09-05 20:00:00,Clear,clear-night,0.3012,0.08,rain,19.54,19.84,17.47,0.88,1007.2,1.99,2.07,19,0.3,0,16.093,267.1
9,2020-09-05 21:00:00,Clear,clear-night,0.1933,0.06,rain,18.91,19.19,17.17,0.9,1007.9,1.95,2.03,4,0.2,0,16.093,266.7
10,2020-09-05 22:00:00,Clear,clear-night,0.1541,0.05,rain,18.53,18.78,16.83,0.9,1008.2,1.96,2.04,1,0.15,0,16.093,264.9
11,2020-09-05 23:00:00,Clear,clear-night,0.1377,0.04,rain,18.21,18.39,16.24,0.88,1008.3,2.01,2.1,3,0.12,0,16.093,262.8
12,2020-09-06 00:00:00,Clear,clear-night,0.1354,0.04,rain,18.01,18.14,15.79,0.87,1008.3,2.1,2.19,4,0.13,0,16.093,261.8
13,2020-09-06 01:00:00,Clear,clear-night,0.1526,0.04,rain,17.75,17.82,15.32,0.86,1008.1,2.22,2.33,4,0.2,0,16.093,262.3
14,2020-09-06 02:00:00,Clear,clear-night,0.1755,0.04,rain,17.44,17.44,14.76,0.84,1007.9,2.35,2.47,4,0.27,0,16.093,263.3
15,2020-09-06 03:00:00,Clear,clear-night,0.1583,0.04,rain,17.26,17.26,14.16,0.82,1007.8,2.43,2.55,3,0.31,0,16.093,264.1
16,2020-09-06 04:00:00,Clear,clear-night,0.0937,0.03,rain,16.74,16.74,13.3,0.8,1007.8,2.43,2.55,0,0.28,0,16.093,264.5
17,2020-09-06 05:00:00,Clear,clear-night,0.037,0.02,rain,16.1,16.1,12.5,0.79,1008.2,2.38,2.5,0,0.23,0,16.093,264.8
18,2020-09-06 06:00:00,Clear,clear-day,0.0138,0.02,rain,16.09,16.09,12.28,0.78,1008.3,2.3,2.4,10,0.22,0,16.093,265.2
19,2020-09-06 07:00:00,Clear,clear-day,0.0067,0.01,rain,17.14,17.14,13.15,0.77,1008.5,2.16,2.22,38,0.28,1,16.093,265.8
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,18.9,18.91,14.77,0.77,1009.0,2.02,2.04,60,0.34,2,16.093,266.1
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0078,0.01,rain,20.7,20.78,16.14,0.75,1009.3,2.0,2.02,42,0.36,4,16.093,265.8
22,2020-09-06 10:00:00,Partly Cloudy,partly-cloudy-day,0.0313,0.02,rain,22.3,22.46,17.0,0.72,1009.0,2.11,2.15,35,0.32,7,16.093,264.3
23,2020-09-06 11:00:00,Clear,clear-day,0.1022,0.04,rain,24.06,24.28,17.66,0.67,1007.9,2.27,2.36,61,0.26,9,16.093,262.5
24,2020-09-06 12:00:00,Clear,clear-day,0.2135,0.06,rain,25.31,25.59,18.23,0.65,1007.1,2.37,2.49,67,0.27,10,16.093,261.3
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.364,0.08,rain,25.52,25.81,18.28,0.64,1006.1,2.39,2.53,67,0.37,9,16.093,261.2
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.5451,0.08,rain,25.04,25.35,18.47,0.67,1005.2,2.4,2.55,65,0.51,7,16.093,261.6
27,2020-09-06 15:00:00,Mostly Cloudy,partly-cloudy-day,0.6739,0.08,rain,24.36,24.74,19.03,0.72,1004.8,2.39,2.54,64,0.62,5,16.093,261.8
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,0.6995,0.08,rain,23.57,24.05,19.72,0.79,1004.7,2.37,2.51,63,0.7,2,16.093,262.1
