,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0702,0.03,rain,23.24,23.45,17.45,0.7,1008.5,2.62,2.73,61,0.29,10,16.093,264.3
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.1798,0.06,rain,23.43,23.68,17.78,0.71,1007.5,2.69,2.76,59,0.44,9,16.093,264.7
2,2020-09-05 14:00:00,Mostly Cloudy,partly-cloudy-day,0.3568,0.08,rain,22.95,23.28,18.49,0.76,1006.4,2.72,2.74,56,0.6,6,16.093,265.4
3,2020-09-05 15:00:00,Mostly Cloudy,partly-cloudy-day,0.5244,0.08,rain,22.26,22.69,19.08,0.82,1005.7,2.69,2.69,57,0.69,4,15.774,265.8
4,2020-09-05 16:00:00,Mostly Cloudy,partly-cloudy-day,0.6312,0.08,rain,21.54,22.06,19.56,0.88,1005.3,2.59,2.62,60,0.71,2,13.886,265.9
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.6745,0.09,rain,20.64,21.19,19.45,0.93,1005.2,2.44,2.51,59,0.69,1,12.453,265.9
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.609,0.09,rain,19.88,20.4,19.07,0.95,1005.5,2.31,2.39,55,0.62,0,13.138,266.0
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.4187,0.08,rain,19.22,19.67,18.33,0.95,1006.3,2.2,2.25,40,0.49,0,16.093,266.4
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.2204,0.07,rain,18.42,18.77,17.42,0.94,1007.4,2.1,2.11,20,0.33,0,16.093,266.7
9,2020-09-05 21:00:00,Clear,clear-night,0.1187,0.05,rain,17.8,18.08,16.77,0.94,1008.1,2.05,2.05,6,0.22,0,16.093,266.3
10,2020-09-05 22:00:00,Clear,clear-night,0.0834,0.04,rain,17.48,17.75,16.61,0.95,1008.4,2.06,2.08,3,0.16,0,16.093,264.5
11,2020-09-05 23:00:00,Clear,clear-night,0.0691,0.03,rain,17.24,17.45,16.07,0.93,1008.7,2.11,2.17,5,0.13,0,16.093,262.3
12,2020-09-06 00:00:00,Clear,clear-night,0.0636,0.03,rain,16.91,17.01,15.32,0.9,1008.8,2.2,2.29,6,0.13,0,16.093,261.3
13,2020-09-06 01:00:00,Clear,clear-night,0.0669,0.04,rain,16.66,16.68,14.66,0.88,1008.6,2.34,2.45,6,0.18,0,16.093,261.7
14,2020-09-06 02:00:00,Clear,clear-night,0.0757,0.03,rain,16.41,16.41,14.03,0.86,1008.2,2.49,2.61,6,0.24,0,16.093,262.6
15,2020-09-06 03:00:00,Clear,clear-night,0.0695,0.03,rain,16.23,16.23,13.31,0.83,1008.2,2.57,2.69,5,0.27,0,16.093,263.4
16,2020-09-06 04:00:00,Clear,clear-night,0.0455,0.02,rain,15.72,15.72,12.41,0.81,1008.4,2.57,2.68,2,0.23,0,16.093,263.9
17,2020-09-06 05:00:00,Clear,clear-night,0.0227,0.02,rain,15.1,15.1,11.63,0.8,1008.5,2.53,2.62,1,0.18,0,16.093,264.3
18,2020-09-06 06:00:00,Clear,clear-day,0.0113,0.02,rain,15.01,15.01,11.4,0.79,1008.5,2.44,2.52,12,0.18,0,16.093,264.8
19,2020-09-06 07:00:00,Clear,clear-day,0.006,0.01,rain,15.89,15.89,12.33,0.79,1008.7,2.31,2.34,40,0.24,1,16.093,265.4
20,2020-09-06 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,17.61,17.62,14.23,0.81,1009.2,2.17,2.17,62,0.31,2,16.093,265.7
21,2020-09-06 09:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,19.37,19.44,15.78,0.8,1009.4,2.14,2.14,41,0.34,4,16.093,265.3
22,2020-09-06 10:00:00,Clear,clear-day,0.0129,0.02,rain,20.93,21.09,16.76,0.77,1009.0,2.24,2.24,32,0.31,7,16.093,263.9
23,2020-09-06 11:00:00,Clear,clear-day,0.0521,0.04,rain,22.76,22.99,17.53,0.72,1008.3,2.4,2.42,58,0.26,9,16.093,262.0
24,2020-09-06 12:00:00,Clear,clear-day,0.131,0.06,rain,23.77,24.02,17.87,0.7,1007.3,2.49,2.54,63,0.28,10,16.093,260.9
25,2020-09-06 13:00:00,Partly Cloudy,partly-cloudy-day,0.2631,0.08,rain,23.95,24.21,17.93,0.69,1006.4,2.5,2.56,62,0.4,9,16.093,260.7
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.4381,0.08,rain,23.43,23.75,18.42,0.73,1005.4,2.5,2.55,60,0.56,7,16.093,261.0
27,2020-09-06 15:00:00,Mostly Cloudy,partly-cloudy-day,0.5728,0.08,rain,22.68,23.08,18.95,0.8,1004.9,2.49,2.55,61,0.68,4,16.093,261.3
28,2020-09-06 16:00:00,Mostly Cloudy,partly-cloudy-day,0.6182,0.08,rain,21.92,22.44,19.68,0.87,1004.9,2.47,2.55,62,0.76,2,16.093,261.6
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.604,0.08,rain,21.13,21.73,19.96,0.93,1005.1,2.44,2.54,61,0.81,1,16.093,262.1
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.5683,0.08,rain,20.41,21.04,19.93,0.97,1005.7,2.41,2.5,57,0.75,0,16.093,262.0
31,2020-09-06 19:00:00,Partly Cloudy,partly-cloudy-night,0.5329,0.08,rain,19.81,20.37,19.23,0.96,1006.9,2.36,2.42,40,0.56,0,16.093,261.7
32,2020-09-06 20:00:00,Clear,clear-night,0.4646,0.08,rain,19.07,19.53,18.35,0.96,1008.1,2.32,2.33,19,0.3,0,16.093,261.2
33,2020-09-06 21:00:00,Clear,clear-night,0.3298,0.08,rain,18.42,18.8,17.59,0.95,1009.0,2.32,2.32,5,0.13,0,16.093,260.9
34,2020-09-06 22:00:00,Clear,clear-night,0.1373,0.06,rain,17.97,18.31,17.17,0.95,1009.4,2.35,2.36,4,0.09,0,16.093,260.6
35,2020-09-06 23:00:00,Clear,clear-night,0.0184,0.03,rain,17.57,17.81,16.4,0.93,1009.7,2.4,2.43,9,0.08,0,16.093,260.3
36,2020-09-07 00:00:00,Clear,clear-night,0.0,0.0,,17.16,17.3,15.63,0.91,1008.9,2.42,2.45,11,0.07,0,16.093,260.2
37,2020-09-07 01:00:00,Clear,clear-night,0.0,0.0,,16.82,16.9,15.1,0.9,1008.6,2.38,2.42,10,0.04,0,16.093,260.4
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,,16.45,16.47,14.6,0.89,1008.7,2.33,2.36,8,0.02,0,16.093,260.6
39,2020-09-07 03:00:00,Clear,clear-night,0.0156,0.02,rain,16.25,16.24,14.08,0.87,1009.1,2.31,2.35,7,0.01,0,16.093,260.8
40,2020-09-07 04:00:00,Clear,clear-night,0.017,0.02,rain,15.78,15.78,13.39,0.86,1009.1,2.35,2.39,3,0.02,0,16.093,261.0
41,2020-09-07 05:00:00,Clear,clear-night,0.0185,0.02,rain,15.22,15.22,12.71,0.85,1009.2,2.4,2.46,0,0.04,0,16.093,261.2
